point_id,member_id,end,D,t,z,zone,propset,environment,category,not_assessable,not_assessable_reason,sn_curve,D_life,D_life_seed_std,D_life_min,D_life_max,life_years,worst_theta_deg,n_bins_used
0,1,1,1.2,0.05,-45.5,submerged,2,seawater_cp,B1,False,,B1,0.00032541058331767237,0.0,0.00032541058331767237,0.00032541058331767237,76826.02005477645,90.0,1
1,1,2,1.2,0.05,-45.0,submerged,2,seawater_cp,B1,False,,B1,0.00016507224224630735,0.0,0.00016507224224630735,0.00016507224224630735,151448.8423965129,90.0,1
2,2,1,1.2,0.05,-45.0,submerged,2,seawater_cp,B1,False,,B1,0.0001669492381815295,0.0,0.0001669492381815295,0.0001669492381815295,149746.11607880873,225.0,1
3,2,2,1.2,0.05,-44.001,submerged,2,seawater_cp,B1,False,,B1,6.04155437467401e-05,0.0,6.04155437467401e-05,6.04155437467401e-05,413800.79445778305,202.5,1
4,3,1,1.2,0.05,-44.001,submerged,2,seawater_cp,B1,False,,B1,7.44253233343153e-05,0.0,7.44253233343153e-05,7.44253233343153e-05,335907.1735261544,202.5,1
5,3,2,1.2,0.05,-43.127,submerged,2,seawater_cp,B1,False,,B1,2.687139991276381e-05,0.0,2.687139991276381e-05,2.687139991276381e-05,930357.1857499355,180.0,1
6,4,1,1.2,0.05,-43.127,submerged,2,seawater_cp,B1,False,,B1,1.3204105601165142e-05,0.0,1.3204105601165142e-05,1.3204105601165142e-05,1893350.5043911475,180.0,1
7,4,2,1.2,0.05,-24.614,submerged,2,seawater_cp,B1,False,,B1,1.5175703961279107e-05,0.0,1.5175703961279107e-05,1.5175703961279107e-05,1647370.0372508345,270.0,1
8,5,1,1.2,0.05,-45.5,submerged,2,seawater_cp,B1,False,,B1,0.000435673679455359,0.0,0.000435673679455359,0.000435673679455359,57382.3969151701,270.0,1
9,5,2,1.2,0.05,-45.0,submerged,2,seawater_cp,B1,False,,B1,0.00023071927307094034,0.0,0.00023071927307094034,0.00023071927307094034,108356.79077539887,270.0,1
10,6,1,1.2,0.05,-45.0,submerged,2,seawater_cp,B1,False,,B1,0.00023340355231880994,0.0,0.00023340355231880994,0.00023340355231880994,107110.62343152374,135.0,1
11,6,2,1.2,0.05,-44.001,submerged,2,seawater_cp,B1,False,,B1,0.00010038345302288973,0.0,0.00010038345302288973,0.00010038345302288973,249045.0293067666,157.5,1
12,7,1,1.2,0.05,-44.001,submerged,2,seawater_cp,B1,False,,B1,0.00012119272124807723,0.0,0.00012119272124807723,0.00012119272124807723,206283.01553544524,157.5,1
13,7,2,1.2,0.05,-43.127,submerged,2,seawater_cp,B1,False,,B1,4.6062989915889515e-05,0.0,4.6062989915889515e-05,4.6062989915889515e-05,542735.0687753815,180.0,1
14,8,1,1.2,0.05,-43.127,submerged,2,seawater_cp,B1,False,,B1,2.3358460612166568e-05,0.0,2.3358460612166568e-05,2.3358460612166568e-05,1070276.0089840172,180.0,1
15,8,2,1.2,0.05,-24.614,submerged,2,seawater_cp,B1,False,,B1,2.284880898536706e-05,0.0,2.284880898536706e-05,2.284880898536706e-05,1094148.9342403193,90.0,1
16,9,1,1.2,0.05,-45.5,submerged,2,seawater_cp,B1,False,,B1,0.00030477704251026836,0.0,0.00030477704251026836,0.00030477704251026836,82027.17564974638,270.0,1
17,9,2,1.2,0.05,-45.0,submerged,2,seawater_cp,B1,False,,B1,0.00015704714205069185,0.0,0.00015704714205069185,0.00015704714205069185,159187.869792183,270.0,1
18,10,1,1.2,0.05,-45.0,submerged,2,seawater_cp,B1,False,,B1,0.00015899337285468665,0.0,0.00015899337285468665,0.00015899337285468665,157239.25815982887,225.0,1
19,10,2,1.2,0.05,-44.001,submerged,2,seawater_cp,B1,False,,B1,5.960004222766999e-05,0.0,5.960004222766999e-05,5.960004222766999e-05,419462.79005140485,202.5,1
20,11,1,1.2,0.05,-44.001,submerged,2,seawater_cp,B1,False,,B1,7.329882323400233e-05,0.0,7.329882323400233e-05,7.329882323400233e-05,341069.59562214144,202.5,1
21,11,2,1.2,0.05,-43.127,submerged,2,seawater_cp,B1,False,,B1,2.6690212020820487e-05,0.0,2.6690212020820487e-05,2.6690212020820487e-05,936672.9638752219,180.0,1
22,12,1,1.2,0.05,-43.127,submerged,2,seawater_cp,B1,False,,B1,1.3086918248131235e-05,0.0,1.3086918248131235e-05,1.3086918248131235e-05,1910304.5901253268,180.0,1
23,12,2,1.2,0.05,-24.614,submerged,2,seawater_cp,B1,False,,B1,1.4856639037356256e-05,0.0,1.4856639037356256e-05,1.4856639037356256e-05,1682749.3713173473,270.0,1
24,13,1,1.2,0.05,-45.5,submerged,2,seawater_cp,B1,False,,B1,0.00042789213697699813,0.0,0.00042789213697699813,0.00042789213697699813,58425.93924866609,90.0,1
25,13,2,1.2,0.05,-45.0,submerged,2,seawater_cp,B1,False,,B1,0.0002280947861788747,0.0,0.0002280947861788747,0.0002280947861788747,109603.55744560815,90.0,1
26,14,1,1.2,0.05,-45.0,submerged,2,seawater_cp,B1,False,,B1,0.00023078807152993145,0.0,0.00023078807152993145,0.00023078807152993145,108324.48936494402,135.0,1
