Vw_bin,Vw_representative_ms,Hs_bin,Hs_representative_m,Tp_bin,Tp_representative_s,Probability,NAME
>=25 m/s (parked),26,combined,3.5,combined,8,0.00895,LC_V26_H3p5_T8
1-3 m/s,2,0.25-0.75 m,0.5,3.5-5.5 s,5,0.01556,LC_V2_H0p5_T5
1-3 m/s,2,0.25-0.75 m,0.5,5.5-7.5 s,6,0.02732,LC_V2_H0p5_T6
1-3 m/s,2,0.75-1.25 m,1.0,5.5-7.5 s,7,0.01531,LC_V2_H1p0_T7
1-3 m/s,2,0.75-1.25 m,1.0,7.5-9.5 s,8,0.00312,LC_V2_H1p0_T8
1-3 m/s,2,1.25-1.75 m,1.5,7.5-9.5 s,8,0.00319,LC_V2_H1p5_T8
3-5 m/s,4,0.25-0.75 m,0.5,3.5-5.5 s,5,0.02376,LC_V4_H0p5_T5
3-5 m/s,4,0.25-0.75 m,0.5,5.5-7.5 s,6,0.01869,LC_V4_H0p5_T6
3-5 m/s,4,0.75-1.25 m,1.0,3.5-5.5 s,5,0.00341,LC_V4_H1p0_T5
3-5 m/s,4,0.75-1.25 m,1.0,5.5-7.5 s,7,0.02984,LC_V4_H1p0_T7
3-5 m/s,4,0.75-1.25 m,1.0,7.5-9.5 s,8,0.0033,LC_V4_H1p0_T8
3-5 m/s,4,1.25-1.75 m,1.5,5.5-7.5 s,7,0.00598,LC_V4_H1p5_T7
3-5 m/s,4,1.25-1.75 m,1.5,7.5-9.5 s,8,0.00414,LC_V4_H1p5_T8
5-7 m/s,6,0.25-0.75 m,0.5,3.5-5.5 s,5,0.03917,LC_V6_H0p5_T5
5-7 m/s,6,0.25-0.75 m,0.5,5.5-7.5 s,6,0.01726,LC_V6_H0p5_T6
5-7 m/s,6,0.75-1.25 m,1.0,3.5-5.5 s,5,0.01019,LC_V6_H1p0_T5
5-7 m/s,6,0.75-1.25 m,1.0,5.5-7.5 s,6,0.05033,LC_V6_H1p0_T6
5-7 m/s,6,0.75-1.25 m,1.0,7.5-9.5 s,8,0.0028,LC_V6_H1p0_T8
5-7 m/s,6,1.25-1.75 m,1.5,5.5-7.5 s,7,0.01621,LC_V6_H1p5_T7
5-7 m/s,6,1.25-1.75 m,1.5,7.5-9.5 s,8,0.00456,LC_V6_H1p5_T8
7-9 m/s,8,0.25-0.75 m,0.5,3.5-5.5 s,5,0.03167,LC_V8_H0p5_T5
7-9 m/s,8,0.25-0.75 m,0.5,5.5-7.5 s,6,0.00764,LC_V8_H0p5_T6
