rank,bin,Vw_m_s,Hs_m,Tp_s,probability,D_raw,D_weighted,D_weighted_pct,D_raw_pct
1,LC_V18_H2p0_T7,18.0,2.0,7.0,0.02345,0.0014931969311330463,46.04183891932565,7.591915877715447,3.673159963552606
2,LC_V20_H2p5_T7,20.0,2.5,7.0,0.01726,0.0018635650002014371,42.29393193989004,6.973917223160523,4.5842394968114935
3,LC_V16_H2p0_T7,16.0,2.0,7.0,0.03395,0.0008493195957765563,37.914352923723555,6.251761109265873,2.0892667741420374
4,LC_V14_H1p5_T6,14.0,1.5,6.0,0.03631,0.0007399117803526627,35.32636209948135,5.825022970844141,1.8201312040535986
5,LC_V12_H1p5_T6,12.0,1.5,6.0,0.04857,0.0005368343848028066,34.2847631772751,5.6532719812808265,1.3205750214205103
6,LC_V24_H3p5_T8,24.0,3.5,8.0,0.00979,0.002219081614488376,28.56595136178584,4.710287529687693,5.458785490544321
7,LC_V22_H3p5_T8,22.0,3.5,8.0,0.01116,0.001715895099562015,25.17953200518555,4.151895174268863,4.220981874497115
8,LC_V14_H2p0_T7,14.0,2.0,7.0,0.02509,0.0007486972101855916,24.700150618376426,4.072849175077248,1.841742746678742
9,LC_V18_H2p5_T7,18.0,2.5,7.0,0.01171,0.0015117948094895111,23.277828831430664,3.8383201551470365,3.7189094429157543
10,LC_V10_H1p5_T6,10.0,1.5,6.0,0.0472,0.00037069835343904434,23.006755705026368,3.793622453650432,0.9118920096989185
11,LC_V16_H1p5_T6,16.0,1.5,6.0,0.01532,0.0008453563063096741,17.029083989793744,2.807954159945586,2.0795173593862257
12,LC_V12_H2p0_T7,12.0,2.0,7.0,0.02097,0.000546997720669078,15.082615941975945,2.4869977858184216,1.3455761164681668
13,LC_V20_H3p0_T8,20.0,3.0,8.0,0.00595,0.0018565506913653588,14.52501209925704,2.3950535549541776,4.566984787903723
14,LC_V10_H1p0_T6,10.0,1.0,6.0,0.03032,0.0003622507977535047,14.442130762651642,2.381387112646273,0.8911116138334781
15,LC_V16_H2p5_T7,16.0,2.5,7.0,0.01226,0.0008708059132363621,14.037978244556585,2.3147457275243455,2.1421216115797574
16,LC_V12_H1p0_T5,12.0,1.0,5.0,0.01966,0.0005307490202949945,13.72035789421056,2.26237277636784,1.3056054505570354
17,LC_V12_H1p0_T6,12.0,1.0,6.0,0.01799,0.0005268331914659299,12.462266012619331,2.0549239003962882,1.2959727856491783
18,LC_V18_H3p0_T8,18.0,3.0,8.0,0.00586,0.0015136770235292206,11.663356760880038,1.9231904167758613,3.723539557744782
19,LC_V10_H1p0_T5,10.0,1.0,5.0,0.0242,0.0003649880077029957,11.614130098153788,1.9150733499703154,0.8978449587718976
20,LC_V10_H0p5_T5,10.0,0.5,5.0,0.02282,0.0003606811431532439,10.822604873716811,1.7845574309701064,0.8872503733540262
21,LC_V20_H2p0_T7,20.0,2.0,7.0,0.00429,0.0018483088414500742,10.426164158223273,1.7191876578860659,4.5467104138387695
22,LC_V20_H3p5_T8,20.0,3.5,8.0,0.00401,0.0018851117680355055,9.939721189798227,1.6389772626831276,4.637243037939862
23,LC_V18_H1p5_T6,18.0,1.5,6.0,0.00482,0.0014977996836441298,9.492781795395617,1.565280677916235,3.6844824126504783
24,LC_V14_H1p0_T5,14.0,1.0,5.0,0.00957,0.0007345504418524785,9.243283798241754,1.5241405355911297,1.8069426865048874
25,LC_V22_H3p0_T8,22.0,3.0,8.0,0.00412,0.0016848434897651329,9.127450903333616,1.5050406556850358,4.144597087245231
26,LC_V22_H2p5_T7,22.0,2.5,7.0,0.00395,0.0016838188763558636,8.745511090056846,1.4420619606370741,4.142076609956149
27,LC_V12_H0p5_T5,12.0,0.5,5.0,0.01181,0.0005256577157980117,8.162922373238132,1.34599793206637,1.2930811977604655
28,LC_V14_H1p0_T6,14.0,1.0,6.0,0.00817,0.000730787075692312,7.8506504340132945,1.2945068893710503,1.7976850690938855
29,LC_V14_H2p5_T7,14.0,2.5,7.0,0.00768,0.0007708425858392947,7.784301435802277,1.283566492010481,1.896218821155597
30,LC_V16_H3p0_T8,16.0,3.0,8.0,0.00571,0.0008810708199342365,6.6151493206614225,1.0907830429837135,2.1673725637656993
31,LC_V10_H2p0_T7,10.0,2.0,7.0,0.01308,0.0003783500341089395,6.507201374835964,1.0729833255285737,0.9307146087175364
32,LC_V18_H3p5_T8,18.0,3.5,8.0,0.00301,0.001545379190846647,6.116377485114684,1.008539720246768,3.8015246709741906
33,LC_V16_H2p5_T8,16.0,2.5,8.0,0.00504,0.0008563272827054598,5.674963109908296,0.9357541651421348,2.1065051936215275
34,LC_V14_H0p5_T5,14.0,0.5,5.0,0.00532,0.0007308742324448475,5.112661130246,0.8430352506142192,1.7978994686062952
35,LC_V14_H2p5_T8,14.0,2.5,8.0,0.00499,0.0007592719528662973,4.98184978721123,0.8214655493277204,1.8677558737015558
36,LC_V14_H3p0_T8,14.0,3.0,8.0,0.00353,0.0007853550340211229,3.645301569847696,0.6010798768415723,1.9319184281687014
