rank,bin,Vw_m_s,Hs_m,Tp_s,probability,D_raw,D_weighted,D_weighted_pct,D_raw_pct
1,LC_V18_H2p0_T7,18.0,2.0,7.0,0.02345,2.5864379245018487e-06,0.07975127447144695,6.511423697773158,3.244061680958394
2,LC_V14_H1p5_T6,14.0,1.5,6.0,0.03631,1.6621992765717335e-06,0.07936007384242472,6.47948348034991,2.0848275259811944
3,LC_V16_H2p0_T7,16.0,2.0,7.0,0.03395,1.699043681467716e-06,0.07584676262306449,6.192633419545115,2.1310399329941303
4,LC_V20_H2p5_T7,20.0,2.5,7.0,0.01726,3.2491974979970944e-06,0.07374110257740621,6.020713349155992,4.075333491387926
5,LC_V12_H1p5_T6,12.0,1.5,6.0,0.04857,1.1367650006791014e-06,0.07259914778151333,5.927476575586627,1.4257971335878776
6,LC_V14_H2p0_T7,14.0,2.0,7.0,0.02509,1.666567442919733e-06,0.05498146152513925,4.489051665765804,2.090306335633402
7,LC_V24_H3p5_T8,24.0,3.5,8.0,0.00979,4.1267955429632604e-06,0.05312370666793868,4.337372221368213,5.176068274925047
8,LC_V22_H3p5_T8,22.0,3.5,8.0,0.01116,3.0245336974577584e-06,0.044382866444063224,3.6237119751915996,3.7935470160490636
9,LC_V10_H1p5_T6,10.0,1.5,6.0,0.0472,6.526835089313293e-07,0.04050767936618542,3.3073159659813403,0.818633821078615
10,LC_V18_H2p5_T7,18.0,2.5,7.0,0.01171,2.6220956008898754e-06,0.04037366195069224,3.296373894134337,3.288785623685414
11,LC_V16_H1p5_T6,16.0,1.5,6.0,0.01532,1.699937040097799e-06,0.03424398731885466,2.7959065483532233,2.132160435625085
12,LC_V12_H2p0_T7,12.0,2.0,7.0,0.02097,1.1446805820379017e-06,0.03156279622883263,2.576996301243903,1.4357253185736194
13,LC_V12_H1p0_T5,12.0,1.0,5.0,0.01966,1.129954611904847e-06,0.02921038209534581,2.384929588363387,1.4172551457652844
14,LC_V16_H2p5_T7,16.0,2.5,7.0,0.01226,1.7291089733758464e-06,0.027874402070264828,2.275851306508739,2.1687495801045586
15,LC_V12_H1p0_T6,12.0,1.0,6.0,0.01799,1.1204413110719594e-06,0.026504096355911885,2.1639704474156813,1.4053230075921466
16,LC_V10_H1p0_T6,10.0,1.0,6.0,0.03032,6.359695144775885e-07,0.025354685058263438,2.0701248755223336,0.7976701519220957
17,LC_V20_H3p0_T8,20.0,3.0,8.0,0.00595,3.237434248378553e-06,0.025328568644496167,2.06799255805616,4.0605793358872075
18,LC_V14_H1p0_T5,14.0,1.0,5.0,0.00957,1.6581925527837045e-06,0.020866020199859413,1.7036404660369677,2.0798020587222292
19,LC_V10_H1p0_T5,10.0,1.0,5.0,0.0242,6.431568965398386e-07,0.02046562547889571,1.6709495818871505,0.8066849867703142
20,LC_V18_H3p0_T8,18.0,3.0,8.0,0.00586,2.620468515180096e-06,0.020191532736574473,1.6485708300795274,3.2867448376480892
21,LC_V10_H0p5_T5,10.0,0.5,5.0,0.02282,6.320596159867356e-07,0.018965592214369137,1.5484769040419415,0.792766128612487
22,LC_V20_H2p0_T7,20.0,2.0,7.0,0.00429,3.216937496011571e-06,0.018146490276936815,1.4815999819910186,4.034871110567774
23,LC_V14_H1p0_T6,14.0,1.0,6.0,0.00817,1.6477316821090808e-06,0.017701141516536713,1.4452387515096006,2.0666814230466044
24,LC_V12_H0p5_T5,12.0,0.5,5.0,0.01181,1.1196361110307986e-06,0.017386794459476034,1.4195733701067867,1.40431307861829
25,LC_V20_H3p5_T8,20.0,3.5,8.0,0.00401,3.292983617002721e-06,0.017363076073565527,1.4176368435607953,4.130252602138051
26,LC_V14_H2p5_T7,14.0,2.5,7.0,0.00768,1.699902643930903e-06,0.01716635125635476,1.4015749229806433,2.1321172939413264
27,LC_V18_H1p5_T6,18.0,1.5,6.0,0.00482,2.594367679408744e-06,0.01644263017717339,1.342485527647573,3.2540076432369225
28,LC_V22_H3p0_T8,22.0,3.0,8.0,0.00412,2.9665123522883226e-06,0.01607074841913691,1.3121226311534833,3.7207732522719654
29,LC_V22_H2p5_T7,22.0,2.5,7.0,0.00395,2.970859082947514e-06,0.015430211302260275,1.2598249269503101,3.726225176029867
30,LC_V16_H3p0_T8,16.0,3.0,8.0,0.00571,1.7314258809265337e-06,0.01299968229663907,1.0613803971266125,2.1716555810305063
31,LC_V14_H0p5_T5,14.0,0.5,5.0,0.00532,1.6483759739048702e-06,0.011530831702223894,0.941453679561899,2.067489531490374
32,LC_V10_H2p0_T7,10.0,2.0,7.0,0.01308,6.610633192576131e-07,0.0113695566330716,0.928286111844668,0.829144269180103
33,LC_V16_H2p5_T8,16.0,2.5,8.0,0.00504,1.6998281296203374e-06,0.011264924198492836,0.9197432249931758,2.1320238337359614
34,LC_V14_H2p5_T8,14.0,2.5,8.0,0.00499,1.6718545856000396e-06,0.010969624757079507,0.8956330174322128,2.096937779136631
35,LC_V18_H3p5_T8,18.0,3.5,8.0,0.00301,2.6764064611692447e-06,0.010592812635930302,0.8648675733497166,3.356905480351265
36,LC_V6_H1p0_T6,6.0,1.0,6.0,0.05033,1.4877460772188725e-07,0.00984574241613265,0.8038717991087337,0.18660181226005923
37,LC_V8_H1p0_T6,8.0,1.0,6.0,0.043,1.6918697856993085e-07,0.009565950199227034,0.7810277043442798,0.21220420134442292
38,LC_V14_H3p0_T8,14.0,3.0,8.0,0.00353,1.7061952461370675e-06,0.007919470735882558,0.6465981862385042,2.1400098435738353
39,LC_V6_H0p5_T5,6.0,0.5,5.0,0.03917,1.451733984258347e-07,0.007477102607284319,0.6104803143325773,0.18208496498846452
40,LC_V12_H2p5_T8,12.0,2.5,8.0,0.00488,1.151609320029584e-06,0.007389545343143978,0.6033315577965332,1.4444157469049108
41,LC_V16_H1p0_T5,16.0,1.0,5.0,0.00328,1.7050726583693446e-06,0.007353760126245322,0.6004098150295599,2.138601828354802
42,LC_V8_H0p5_T5,8.0,0.5,5.0,0.03167,1.6512609834086472e-07,0.006876326793453489,0.5614289869757012,0.20711080791043504
