entity_type,entity_id,bay_id
joint,4,1
joint,5,1
joint,9,1
joint,10,1
joint,14,1
joint,15,1
joint,19,1
joint,20,1
joint,37,1
joint,38,1
joint,39,1
joint,40,1
member,4,1
member,8,1
member,12,1
member,16,1
member,37,1
member,38,1
member,39,1
member,40,1
member,41,1
member,42,1
member,43,1
member,44,1
member,45,1
member,46,1
member,47,1
member,48,1
member,49,1
member,50,1
member,51,1
member,52,1
joint,5,2
joint,10,2
joint,15,2
joint,20,2
joint,21,2
joint,25,2
joint,29,2
joint,33,2
joint,41,2
joint,42,2
joint,43,2
joint,44,2
member,17,2
member,21,2
member,25,2
member,29,2
member,53,2
member,54,2
member,55,2
member,56,2
member,57,2
member,58,2
member,59,2
member,60,2
member,61,2
member,62,2
member,63,2
member,64,2
member,65,2
member,66,2
member,67,2
member,68,2
joint,21,3
joint,22,3
joint,25,3
joint,26,3
joint,29,3
joint,30,3
joint,33,3
joint,34,3
joint,45,3
joint,46,3
joint,47,3
joint,48,3
member,18,3
member,22,3
member,26,3
member,30,3
member,69,3
member,70,3
member,71,3
member,72,3
member,73,3
member,74,3
member,75,3
member,76,3
member,77,3
member,78,3
member,79,3
member,80,3
member,81,3
member,82,3
member,83,3
member,84,3
joint,22,4
joint,23,4
joint,26,4
joint,27,4
joint,30,4
joint,31,4
joint,34,4
joint,35,4
joint,49,4
joint,50,4
joint,51,4
joint,52,4
member,19,4
member,23,4
member,27,4
member,31,4
member,85,4
member,86,4
member,87,4
member,88,4
member,89,4
member,90,4
member,91,4
member,92,4
member,93,4
member,94,4
member,95,4
member,96,4
member,97,4
member,98,4
member,99,4
member,100,4
