node,family,in_splash_zone,D_S1-K,D_S1-Y,D_S2-K,D_S2.1-K,D_S2-Y,D_S2.1-Y,D_S3-K,D_S3-Y,D_S4-K,D_S4.1-K,D_S4-Y,D_S4.1-Y,D_S5-K,D_S5-Y,n_scenarios_failed,n_scenarios_tested
3,TY,False,0.1288,0.1288,0.0597,0.0597,0.0597,0.0597,0.0597,0.0597,0.023,0.023,0.023,0.023,0.023,0.023,0,14
4,TY,False,0.9499,0.9499,0.4591,0.4591,0.4591,0.4591,0.4591,0.4591,0.1854,0.1854,0.1854,0.1854,0.1854,0.1854,0,14
5,K,False,0.4968,4.9626,0.1844,0.1844,2.6041,2.6041,0.1844,2.6041,0.0617,0.0617,1.1628,1.1628,0.0617,1.1628,7,14
8,TY,False,0.1283,0.1283,0.0596,0.0596,0.0596,0.0596,0.0596,0.0596,0.023,0.023,0.023,0.023,0.023,0.023,0,14
9,TY,False,1.001,1.001,0.4837,0.4837,0.4837,0.4837,0.4837,0.4837,0.1953,0.1953,0.1953,0.1953,0.1953,0.1953,2,14
10,K,False,0.3858,4.5768,0.1401,0.1401,2.4054,2.4054,0.1401,2.4054,0.0458,0.0458,1.0748,1.0748,0.0458,1.0748,7,14
13,TY,False,0.1049,0.1049,0.0487,0.0487,0.0487,0.0487,0.0487,0.0487,0.0188,0.0188,0.0188,0.0188,0.0188,0.0188,0,14
14,TY,False,0.7697,0.7697,0.3719,0.3719,0.3719,0.3719,0.3719,0.3719,0.1501,0.1501,0.1501,0.1501,0.1501,0.1501,0,14
15,K,False,0.4187,4.028,0.1556,0.1556,2.1107,2.1107,0.1556,2.1107,0.0522,0.0522,0.9393,0.9393,0.0522,0.9393,4,14
18,TY,False,0.1051,0.1051,0.0488,0.0488,0.0488,0.0488,0.0488,0.0488,0.0188,0.0188,0.0188,0.0188,0.0188,0.0188,0,14
19,TY,False,0.8201,0.8201,0.3961,0.3961,0.3961,0.3961,0.3961,0.3961,0.1598,0.1598,0.1598,0.1598,0.1598,0.1598,0,14
20,K,False,0.3213,3.6725,0.1168,0.1168,1.9252,1.9252,0.1168,1.9252,0.0382,0.0382,0.8589,0.8589,0.0382,0.8589,4,14
21,K,False,0.9957,23.2962,0.3504,0.3504,8.9395,8.9395,0.3504,8.9395,0.1012,0.1012,2.7024,2.7024,0.1012,2.7024,7,14
22,K,True,7.503,38.0676,3.9426,0.4375,19.9918,4.2459,7.424,39.28,1.8348,0.1138,9.3124,1.1974,3.5558,18.5727,12,14
23,TY,False,5.3663,5.3663,1.9156,1.9156,1.9156,1.9156,1.9156,1.9156,0.5035,0.5035,0.5035,0.5035,0.5035,0.5035,8,14
25,K,False,1.0966,24.394,0.3847,0.3847,9.3294,9.3294,0.3847,9.3294,0.1107,0.1107,2.8054,2.8054,0.1107,2.8054,8,14
26,K,True,8.031,36.5506,4.211,0.4677,19.2113,3.9985,7.955,37.713,1.9541,0.1236,8.9581,1.1298,3.7984,17.8518,12,14
27,TY,False,5.3282,5.3282,1.9008,1.9008,1.9008,1.9008,1.9008,1.9008,0.5003,0.5003,0.5003,0.5003,0.5003,0.5003,8,14
29,K,False,0.8214,18.8508,0.2884,0.2884,7.1845,7.1845,0.2884,7.1845,0.0831,0.0831,2.167,2.167,0.0831,2.167,7,14
30,K,True,6.7676,31.7519,3.5471,0.4556,16.6762,3.2889,6.726,32.7632,1.6454,0.1166,7.769,0.9264,3.1997,15.4928,11,14
31,TY,False,4.316,4.316,1.535,1.535,1.535,1.535,1.535,1.535,0.4054,0.4054,0.4054,0.4054,0.4054,0.4054,8,14
33,K,False,0.9479,20.0906,0.3311,0.3311,7.6388,7.6388,0.3311,7.6388,0.0948,0.0948,2.291,2.291,0.0948,2.291,7,14
34,K,True,7.1342,30.9867,3.733,0.4744,16.2757,3.2283,7.0762,31.9734,1.7281,0.1224,7.5835,0.9086,3.3679,15.1214,11,14
35,TY,False,4.3067,4.3067,1.5295,1.5295,1.5295,1.5295,1.5295,1.5295,0.4028,0.4028,0.4028,0.4028,0.4028,0.4028,8,14
37,X,False,10.449,10.449,0.2075,0.2075,0.2075,0.2075,0.2075,0.2075,0.1105,0.1105,0.1105,0.1105,0.1105,0.1105,2,14
38,X,False,10.8361,10.8361,0.2154,0.2154,0.2154,0.2154,0.2154,0.2154,0.1148,0.1148,0.1148,0.1148,0.1148,0.1148,2,14
39,X,False,74.1621,74.1621,1.8358,1.8358,1.8358,1.8358,1.8358,1.8358,0.9789,0.9789,0.9789,0.9789,0.9789,0.9789,8,14
40,X,False,62.4147,62.4147,1.5163,1.5163,1.5163,1.5163,1.5163,1.5163,0.8081,0.8081,0.8081,0.8081,0.8081,0.8081,8,14
41,X,False,10.0437,10.0437,1.2409,1.2409,1.2409,1.2409,1.2409,1.2409,0.1138,0.1138,0.1138,0.1138,0.1138,0.1138,8,14
42,X,False,10.4659,10.4659,1.2996,1.2996,1.2996,1.2996,1.2996,1.2996,0.1187,0.1187,0.1187,0.1187,0.1187,0.1187,8,14
