member_id,zone,D_0,life_years_0,D_5,life_years_5,D_10,life_years_10,D_15,life_years_15,D_20,life_years_20,D_25,life_years_25,n_checkpoints_failed,n_checkpoints_tested
1,submerged,0.009465,2641.361119,0.009465,2641.361119,0.009465,2641.361119,0.009465,2641.361119,0.009465,2641.361119,0.009465,2641.361119,0,6
2,submerged,0.004937,5063.896427,0.004937,5063.896427,0.004937,5063.896427,0.004937,5063.896427,0.004937,5063.896427,0.004937,5063.896427,0,6
3,submerged,0.002313,10807.619328,0.002313,10807.619328,0.002313,10807.619328,0.002313,10807.619328,0.002313,10807.619328,0.002313,10807.619328,0,6
4,submerged,0.000488,51208.318065,0.000488,51208.318065,0.000488,51208.318065,0.000488,51208.318065,0.000488,51208.318065,0.000488,51208.318065,0,6
5,submerged,0.011407,2191.593937,0.011407,2191.593937,0.011407,2191.593937,0.011407,2191.593937,0.011407,2191.593937,0.011407,2191.593937,0,6
6,submerged,0.006093,4102.959344,0.006093,4102.959344,0.006093,4102.959344,0.006093,4102.959344,0.006093,4102.959344,0.006093,4102.959344,0,6
7,submerged,0.003085,8103.712372,0.003085,8103.712372,0.003085,8103.712372,0.003085,8103.712372,0.003085,8103.712372,0.003085,8103.712372,0,6
8,submerged,0.00064,39072.400298,0.00064,39072.400298,0.00064,39072.400298,0.00064,39072.400298,0.00064,39072.400298,0.00064,39072.400298,0,6
9,submerged,0.00871,2870.369393,0.00871,2870.369393,0.00871,2870.369393,0.00871,2870.369393,0.00871,2870.369393,0.00871,2870.369393,0,6
10,submerged,0.004613,5419.166021,0.004613,5419.166021,0.004613,5419.166021,0.004613,5419.166021,0.004613,5419.166021,0.004613,5419.166021,0,6
11,submerged,0.002257,11075.607649,0.002257,11075.607649,0.002257,11075.607649,0.002257,11075.607649,0.002257,11075.607649,0.002257,11075.607649,0,6
12,submerged,0.000481,52002.624225,0.000481,52002.624225,0.000481,52002.624225,0.000481,52002.624225,0.000481,52002.624225,0.000481,52002.624225,0,6
13,submerged,0.010671,2342.77701,0.010671,2342.77701,0.010671,2342.77701,0.010671,2342.77701,0.010671,2342.77701,0.010671,2342.77701,0,6
14,submerged,0.005783,4322.789153,0.005783,4322.789153,0.005783,4322.789153,0.005783,4322.789153,0.005783,4322.789153,0.005783,4322.789153,0,6
15,submerged,0.003052,8190.471718,0.003052,8190.471718,0.003052,8190.471718,0.003052,8190.471718,0.003052,8190.471718,0.003052,8190.471718,0,6
16,submerged,0.000643,38865.751451,0.000643,38865.751451,0.000643,38865.751451,0.000643,38865.751451,0.000643,38865.751451,0.000643,38865.751451,0,6
17,submerged,0.00111,22517.131443,0.00111,22517.131443,0.00111,22517.131443,0.00111,22517.131443,0.00111,22517.131443,0.00111,22517.131443,0,6
18,splash,0.059315,421.476406,0.013522,369.765199,0.029028,344.491514,0.046927,319.642559,0.067739,295.249274,0.092133,271.345686,0,6
19,splash,0.040214,621.66725,0.009165,545.528328,0.019673,508.307946,0.031799,471.707584,0.045895,435.772664,0.062414,400.553167,0,6
20,atmospheric,0.000545,45895.207139,0.000545,45895.207139,0.000545,45895.207139,0.000545,45895.207139,0.000545,45895.207139,0.000545,45895.207139,0,6
21,submerged,0.001496,16716.674102,0.001496,16716.674102,0.001496,16716.674102,0.001496,16716.674102,0.001496,16716.674102,0.001496,16716.674102,0,6
22,splash,0.073644,339.470511,0.016789,297.819047,0.036041,277.462121,0.058264,257.447365,0.084104,237.799701,0.114392,218.546536,0,6
23,splash,0.048668,513.682274,0.011092,450.758471,0.02381,419.998874,0.038486,389.752099,0.055547,360.055696,0.07554,330.950981,0,6
24,atmospheric,0.000653,38280.59261,0.000653,38280.59261,0.000653,38280.59261,0.000653,38280.59261,0.000653,38280.59261,0.000653,38280.59261,0,6
25,submerged,0.001091,22908.672528,0.001091,22908.672528,0.001091,22908.672528,0.001091,22908.672528,0.001091,22908.672528,0.001091,22908.672528,0,6
26,splash,0.058845,424.848529,0.013415,372.724353,0.028798,347.248786,0.046555,322.201311,0.067201,297.613115,0.091401,273.518493,0,6
27,splash,0.03949,633.070656,0.009,555.526017,0.019319,517.618974,0.031228,480.343761,0.045071,443.746654,0.061293,407.878564,0,6
28,atmospheric,0.000501,49872.802002,0.000501,49872.802002,0.000501,49872.802002,0.000501,49872.802002,0.000501,49872.802002,0.000501,49872.802002,0,6
29,submerged,0.00151,16553.930029,0.00151,16553.930029,0.00151,16553.930029,0.00151,16553.930029,0.00151,16553.930029,0.00151,16553.930029,0,6
30,splash,0.074042,337.647496,0.016879,296.219157,0.036236,275.971316,0.058579,256.063831,0.084559,236.521495,0.11501,217.371567,0,6
31,splash,0.049349,506.593253,0.011248,444.536972,0.024143,414.2015,0.039025,384.371813,0.056325,355.084946,0.076597,326.381645,0,6
32,atmospheric,0.000649,38523.450878,0.000649,38523.450878,0.000649,38523.450878,0.000649,38523.450878,0.000649,38523.450878,0.000649,38523.450878,0,6
33,submerged,6e-06,4284444.102166,6e-06,4284444.102166,6e-06,4284444.102166,6e-06,4284444.102166,6e-06,4284444.102166,6e-06,4284444.102166,0,6
34,submerged,1e-06,20679853.244818,1e-06,20679853.244818,1e-06,20679853.244818,1e-06,20679853.244818,1e-06,20679853.244818,1e-06,20679853.244818,0,6
35,submerged,5e-06,5240910.050672,5e-06,5240910.050672,5e-06,5240910.050672,5e-06,5240910.050672,5e-06,5240910.050672,5e-06,5240910.050672,0,6
36,submerged,1e-06,20762899.197723,1e-06,20762899.197723,1e-06,20762899.197723,1e-06,20762899.197723,1e-06,20762899.197723,1e-06,20762899.197723,0,6
37,submerged,6e-05,415172.213986,6e-05,415172.213986,6e-05,415172.213986,6e-05,415172.213986,6e-05,415172.213986,6e-05,415172.213986,0,6
38,submerged,0.000125,199574.098442,0.000125,199574.098442,0.000125,199574.098442,0.000125,199574.098442,0.000125,199574.098442,0.000125,199574.098442,0,6
39,submerged,8e-05,313041.785509,8e-05,313041.785509,8e-05,313041.785509,8e-05,313041.785509,8e-05,313041.785509,8e-05,313041.785509,0,6
40,submerged,0.000164,152792.268384,0.000164,152792.268384,0.000164,152792.268384,0.000164,152792.268384,0.000164,152792.268384,0.000164,152792.268384,0,6
41,submerged,7.7e-05,323899.026438,7.7e-05,323899.026438,7.7e-05,323899.026438,7.7e-05,323899.026438,7.7e-05,323899.026438,7.7e-05,323899.026438,0,6
42,submerged,0.000154,162241.129993,0.000154,162241.129993,0.000154,162241.129993,0.000154,162241.129993,0.000154,162241.129993,0.000154,162241.129993,0,6
43,submerged,7.2e-05,345458.371292,7.2e-05,345458.371292,7.2e-05,345458.371292,7.2e-05,345458.371292,7.2e-05,345458.371292,7.2e-05,345458.371292,0,6
44,submerged,0.000145,172189.620397,0.000145,172189.620397,0.000145,172189.620397,0.000145,172189.620397,0.000145,172189.620397,0.000145,172189.620397,0,6
45,submerged,0.000404,61931.20723,0.000404,61931.20723,0.000404,61931.20723,0.000404,61931.20723,0.000404,61931.20723,0.000404,61931.20723,0,6
46,submerged,0.000413,60512.301139,0.000413,60512.301139,0.000413,60512.301139,0.000413,60512.301139,0.000413,60512.301139,0.000413,60512.301139,0,6
47,submerged,0.000431,58017.681994,0.000431,58017.681994,0.000431,58017.681994,0.000431,58017.681994,0.000431,58017.681994,0.000431,58017.681994,0,6
48,submerged,0.000385,64953.471282,0.000385,64953.471282,0.000385,64953.471282,0.000385,64953.471282,0.000385,64953.471282,0.000385,64953.471282,0,6
49,submerged,0.000363,68784.094189,0.000363,68784.094189,0.000363,68784.094189,0.000363,68784.094189,0.000363,68784.094189,0.000363,68784.094189,0,6
50,submerged,0.000323,77477.149318,0.000323,77477.149318,0.000323,77477.149318,0.000323,77477.149318,0.000323,77477.149318,0.000323,77477.149318,0,6
51,submerged,0.000337,74178.034747,0.000337,74178.034747,0.000337,74178.034747,0.000337,74178.034747,0.000337,74178.034747,0.000337,74178.034747,0,6
52,submerged,0.000353,70781.202817,0.000353,70781.202817,0.000353,70781.202817,0.000353,70781.202817,0.000353,70781.202817,0.000353,70781.202817,0,6
53,submerged,9.7e-05,257050.575382,9.7e-05,257050.575382,9.7e-05,257050.575382,9.7e-05,257050.575382,9.7e-05,257050.575382,9.7e-05,257050.575382,0,6
54,submerged,4e-05,626326.537904,4e-05,626326.537904,4e-05,626326.537904,4e-05,626326.537904,4e-05,626326.537904,4e-05,626326.537904,0,6
55,submerged,9.1e-05,275695.963819,9.1e-05,275695.963819,9.1e-05,275695.963819,9.1e-05,275695.963819,9.1e-05,275695.963819,9.1e-05,275695.963819,0,6
56,submerged,4e-05,631087.331543,4e-05,631087.331543,4e-05,631087.331543,4e-05,631087.331543,4e-05,631087.331543,4e-05,631087.331543,0,6
57,submerged,9.5e-05,263611.169349,9.5e-05,263611.169349,9.5e-05,263611.169349,9.5e-05,263611.169349,9.5e-05,263611.169349,9.5e-05,263611.169349,0,6
58,submerged,3.8e-05,658543.500437,3.8e-05,658543.500437,3.8e-05,658543.500437,3.8e-05,658543.500437,3.8e-05,658543.500437,3.8e-05,658543.500437,0,6
