node,sub_joint_id,brace_member,brace_end,chord_t_scenario,direction,treatment,LC_V26_H3p5_T8,LC_V2_H0p5_T5,LC_V2_H0p5_T6,LC_V2_H1p0_T7,LC_V2_H1p0_T8,LC_V2_H1p5_T8,LC_V4_H0p5_T5,LC_V4_H0p5_T6,LC_V4_H1p0_T5,LC_V4_H1p0_T7,LC_V4_H1p0_T8,LC_V4_H1p5_T7,LC_V4_H1p5_T8,LC_V6_H0p5_T5,LC_V6_H0p5_T6,LC_V6_H1p0_T5,LC_V6_H1p0_T6,LC_V6_H1p0_T8,LC_V6_H1p5_T7,LC_V6_H1p5_T8,LC_V8_H0p5_T5,LC_V8_H0p5_T6,LC_V8_H1p0_T5,LC_V8_H1p0_T6,LC_V8_H1p5_T6,LC_V8_H1p5_T8,LC_V8_H2p0_T7,LC_V8_H2p0_T8,LC_V10_H0p5_T5,LC_V10_H0p5_T6,LC_V10_H1p0_T5,LC_V10_H1p0_T6,LC_V10_H1p5_T6,LC_V10_H2p0_T7,LC_V10_H2p0_T8,LC_V12_H0p5_T5,LC_V12_H1p0_T5,LC_V12_H1p0_T6,LC_V12_H1p5_T6,LC_V12_H2p0_T7,LC_V12_H2p5_T7,LC_V12_H2p5_T8,LC_V14_H0p5_T5,LC_V14_H1p0_T5,LC_V14_H1p0_T6,LC_V14_H1p5_T6,LC_V14_H2p0_T7,LC_V14_H2p5_T7,LC_V14_H2p5_T8,LC_V14_H3p0_T8,LC_V16_H1p0_T5,LC_V16_H1p5_T6,LC_V16_H2p0_T7,LC_V16_H2p5_T7,LC_V16_H2p5_T8,LC_V16_H3p0_T8,LC_V18_H1p5_T6,LC_V18_H2p0_T7,LC_V18_H2p5_T7,LC_V18_H3p0_T8,LC_V18_H3p5_T8,LC_V20_H2p0_T7,LC_V20_H2p5_T7,LC_V20_H3p0_T8,LC_V20_H3p5_T8,LC_V22_H2p5_T7,LC_V22_H3p0_T8,LC_V22_H3p5_T8,LC_V24_H3p5_T8,worst_bin,worst_bin_damage
22,"(22, 0)",72,2,single,,K,1.4576937372970291e-06,6.864706583622512e-07,6.852200599051332e-07,6.873458054940202e-07,6.856617865307473e-07,6.902658258851041e-07,9.984883969456067e-07,9.931255929816288e-07,1.0344146921114203e-06,1.0020076973566906e-06,9.953131225626427e-07,1.0225871755695739e-06,1.0080390491852893e-06,8.851678292404875e-07,8.803299823717366e-07,9.13570327417481e-07,8.959137067894e-07,8.791593303508746e-07,9.017146657916393e-07,8.880567291221362e-07,1.1319674088764467e-06,1.1295041817112023e-06,1.154411324570942e-06,1.1411082678676635e-06,1.1651560258655208e-06,1.1381677751917994e-06,1.169793426991283e-06,1.1519978176257172e-06,2.530424946248338e-06,2.5213683110035313e-06,2.5615040876034217e-06,2.536265384651137e-06,2.564474467059775e-06,2.5583671604531828e-06,2.5283769202509428e-06,5.151886101463955e-06,5.176133189928955e-06,5.150365855722189e-06,5.173614241474736e-06,5.16120708286193e-06,5.1957228637015556e-06,5.1450598181091815e-06,7.442385002710746e-06,7.485542390651008e-06,7.458511585118267e-06,7.5013905329236655e-06,7.495311864789214e-06,7.542999579489313e-06,7.478436494092665e-06,7.5175091419827925e-06,7.0157041798788065e-06,6.984405545765165e-06,6.9443254012261534e-06,7.009259751906686e-06,6.939158873273169e-06,6.96663544100393e-06,1.0495137551769622e-05,1.0440361725431594e-05,1.045512681885441e-05,1.0383908410656436e-05,1.040459969422625e-05,1.2755650953732794e-05,1.275527087368145e-05,1.2667860831019071e-05,1.2675564193164462e-05,1.2516867668669432e-05,1.2416088320908007e-05,1.2432730836082286e-05,1.669574355570737e-05,LC_V24_H3p5_T8,1.669574355570737e-05
22,"(22, 0)",72,2,single,,Y,2.070201789964553e-06,5.984117915151198e-07,5.965978271875719e-07,5.974344526670303e-07,5.951327265340647e-07,5.983395321559498e-07,1.1977477209599084e-06,1.1921831819989607e-06,1.2269539930354538e-06,1.1964064180701014e-06,1.1899738393819963e-06,1.2111960374110495e-06,1.197921549940148e-06,1.7444084265503152e-06,1.7385932513758191e-06,1.761079654709426e-06,1.7421049219343535e-06,1.7226828976004673e-06,1.7340224186588778e-06,1.7187650808189984e-06,3.0447856407511802e-06,3.0410095359266377e-06,3.0612242895234565e-06,3.046317191234936e-06,3.0634735757543607e-06,3.034349823434948e-06,3.060165649465539e-06,3.041139020886476e-06,8.613601610414833e-06,8.600534742275829e-06,8.587460063555455e-06,8.552270134038987e-06,8.522203220775178e-06,8.44964229780617e-06,8.410912216248469e-06,1.2933241936418903e-05,1.2880190609667629e-05,1.2847609618628448e-05,1.2792773697573206e-05,1.2697092585218648e-05,1.2661978617987976e-05,1.2600926232787913e-05,1.7474806626188934e-05,1.7425878175356035e-05,1.7391591544357087e-05,1.733619178473518e-05,1.722108545833011e-05,1.7180596022272987e-05,1.709779679001333e-05,1.7049758022757975e-05,1.9981308283033908e-05,1.9741593606930506e-05,1.9503195859586978e-05,1.9478709118951007e-05,1.936428379409882e-05,1.925318067291573e-05,3.191305542489208e-05,3.155355753689871e-05,3.134946650337564e-05,3.101042350435268e-05,3.084728229527992e-05,3.981528181277524e-05,3.946997996172845e-05,3.8977303115659576e-05,3.8691858385939666e-05,4.0105041179560666e-05,3.9628349745055075e-05,3.9350157692463736e-05,5.2064092329817635e-05,LC_V24_H3p5_T8,5.2064092329817635e-05
22,"(22, 1)",80,2,single,,K,1.7841981638100405e-06,1.2115491437359405e-07,1.1795570498135482e-07,1.3509718752387288e-07,1.2774115925898848e-07,1.539183131648671e-07,1.325879723361386e-07,1.3160961396429558e-07,1.610044013582895e-07,1.3949285840620275e-07,1.3491507810430613e-07,1.7937950047334448e-07,1.5937617341337958e-07,4.2185786224977585e-07,4.196844495387564e-07,4.3609619758841856e-07,4.2931522484146373e-07,4.200908488667369e-07,4.3633381159522895e-07,4.282378459487994e-07,6.265564840943806e-07,6.245507710047494e-07,6.424736764165889e-07,6.349773053518774e-07,6.557975342567202e-07,6.361254013182302e-07,6.682696521752156e-07,6.526355615702223e-07,4.010071093873789e-06,4.003040446634172e-06,4.008742026776219e-06,3.988451580218834e-06,3.989349218459208e-06,3.958771946793887e-06,3.9241179684546875e-06,5.867891199001376e-06,5.863853422275612e-06,5.831324222361149e-06,5.828114471118875e-06,5.7872781807194136e-06,5.798829067061579e-06,5.737438373625598e-06,8.793543235514139e-06,8.786860502939627e-06,8.741201503977055e-06,8.732269289254441e-06,8.665211667001952e-06,8.666261050736806e-06,8.59254581057242e-06,8.583738668685072e-06,1.0041402212126461e-05,9.954266239830768e-06,9.862049147575725e-06,9.829010759161454e-06,9.749857775121629e-06,9.723971826820379e-06,1.5663857713346215e-05,1.554059478109981e-05,1.5546589324165036e-05,1.54019624454924e-05,1.5415453610063757e-05,1.886241080722425e-05,1.8870094222423182e-05,1.8644342178995015e-05,1.862511640100934e-05,1.7502658819663615e-05,1.7336522682416745e-05,1.7349268151059946e-05,2.2911940692841762e-05,LC_V24_H3p5_T8,2.2911940692841762e-05
22,"(22, 1)",80,2,single,,Y,2.849415260570992e-06,3.230211715915621e-07,3.1474193208282155e-07,3.5131635495011364e-07,3.3380531070846876e-07,3.8845967322326026e-07,7.070721113741345e-07,7.04019164570023e-07,7.827227004622653e-07,7.166337827541857e-07,7.032149556460995e-07,8.1525599549132e-07,7.625718541046894e-07,2.471397788085238e-06,2.467476796187525e-06,2.4591933786626525e-06,2.4459601471349073e-06,2.431123544009201e-06,2.4170255312999935e-06,2.404885694623275e-06,3.5424580870842426e-06,3.5370756438550093e-06,3.5502371304985493e-06,3.5326271294347146e-06,3.537881272115703e-06,3.503570243134803e-06,3.5323171101622103e-06,3.4973848960502117e-06,2.8011445688683062e-05,2.7966693119390993e-05,2.780193323346548e-05,2.7695476594443234e-05,2.744333345546871e-05,2.702657475020709e-05,2.6900385176333333e-05,3.706172593136234e-05,3.6803477222108835e-05,3.665247141073553e-05,3.6330115199064636e-05,3.585226939007648e-05,3.55298844066424e-05,3.53547844015129e-05,4.9502494061741545e-05,4.9081554856537486e-05,4.895238299995885e-05,4.848509286554977e-05,4.784788790431396e-05,4.738503365752839e-05,4.7202236912609423e-05,4.67175654184583e-05,5.413630885449881e-05,5.334816367505028e-05,5.254833480835219e-05,5.195103496731188e-05,5.171436908916115e-05,5.113180165404865e-05,8.715965113300756e-05,8.598329266355856e-05,8.521431519480198e-05,8.401007583951643e-05,8.325302869511875e-05,9.939157076997426e-05,9.851552578839775e-05,9.69229187788154e-05,9.598210672135737e-05,9.06530148569063e-05,8.939100043339839e-05,8.865212684063967e-05,0.00010768271567445212,LC_V24_H3p5_T8,0.00010768271567445212
22,"(22, 0)",85,1,single,,K,1.432382030346335e-06,6.059523878324076e-07,6.04486775253285e-07,6.054096210695951e-07,6.038594368039854e-07,6.067644038466992e-07,8.715486975170618e-07,8.66128245803406e-07,9.037229766075562e-07,8.722190751509769e-07,8.664730124357035e-07,8.880801459701863e-07,8.755641944150076e-07,7.615377530247979e-07,7.559801261463256e-07,7.89540730781423e-07,7.697053409729029e-07,7.534578399305519e-07,7.717025034638573e-07,7.594577423992888e-07,1.011243318304296e-06,1.0087769298335997e-06,1.0298467192278195e-06,1.0156831773056865e-06,1.033791046175902e-06,1.009303705926621e-06,1.0318197169721772e-06,1.0165355549712191e-06,2.2640922504972135e-06,2.2550345931156975e-06,2.2948690937881903e-06,2.2670308108834187e-06,2.2913065782471082e-06,2.27868169751518e-06,2.250839061801295e-06,4.844676569882373e-06,4.860987728583401e-06,4.835167407065508e-06,4.848744908984012e-06,4.8273351357163e-06,4.845860710112684e-06,4.801308026759038e-06,6.980784249091124e-06,7.009677652931209e-06,6.979737331920996e-06,7.0044968211658785e-06,6.986639599162627e-06,7.011293336468517e-06,6.963343587574249e-06,6.9783679362200114e-06,6.932561873161401e-06,6.887926498307036e-06,6.831466356102599e-06,6.823116254524984e-06,6.768538977738347e-06,6.756334005079976e-06,9.93965609472674e-06,9.871316979511455e-06,9.871651110941199e-06,9.797233876432375e-06,9.798792828238148e-06,1.2304641948744822e-05,1.2293432686752392e-05,1.2160818348438119e-05,1.2139923052161915e-05,1.1746906450166945e-05,1.1632206328413325e-05,1.1628914629044705e-05,1.581205304888823e-05,LC_V24_H3p5_T8,1.581205304888823e-05
22,"(22, 0)",85,1,single,,Y,2.698389095658542e-06,8.426048979219819e-07,8.400684598795755e-07,8.40160030704403e-07,8.375646945137204e-07,8.402854911070573e-07,1.4893959034899268e-06,1.480625078894539e-06,1.5350150977992153e-06,1.486493306376545e-06,1.4774959402994176e-06,1.5070333883929995e-06,1.4877970211701228e-06,1.7757073019545211e-06,1.7649488205891388e-06,1.8161001177383637e-06,1.7814424298631216e-06,1.7507523022526763e-06,1.7753453923577205e-06,1.752758662958651e-06,2.9653313813357393e-06,2.961059950906706e-06,2.986688261396114e-06,2.964026224529165e-06,2.983600283186074e-06,2.9451241893952975e-06,2.9709136248457417e-06,2.946943402012565e-06,7.935787488045658e-06,7.916390458268689e-06,7.953830669239348e-06,7.898202519861549e-06,7.901716979965639e-06,7.832954422742731e-06,7.77967612953872e-06,1.3360965149132287e-05,1.3328609386817009e-05,1.328327609636354e-05,1.3247213031645666e-05,1.3149620428524968e-05,1.3124039689208236e-05,1.304351937653564e-05,1.8478410692151428e-05,1.848467509677225e-05,1.841157041963244e-05,1.8403800500963225e-05,1.8291169013938504e-05,1.827772123931532e-05,1.8169590893783537e-05,1.8137145426694503e-05,2.0703813427679033e-05,2.0491706023007738e-05,2.0261146681966078e-05,2.0126706114878896e-05,1.9998510850308064e-05,1.9880337130718246e-05,3.175428172385106e-05,3.1416760894110704e-05,3.126734756625219e-05,3.093724613711556e-05,3.080883651473644e-05,4.019722332996164e-05,3.9933893042151905e-05,3.940140456058398e-05,3.914986068860813e-05,3.905837725854561e-05,3.8584665787444404e-05,3.836557431459058e-05,5.149798484817904e-05,LC_V24_H3p5_T8,5.149798484817904e-05
22,"(22, 1)",93,1,single,,K,1.3266164233695383e-06,1.4389673185773096e-07,1.412743920023789e-07,1.4745162705354578e-07,1.4363795071960876e-07,1.527976039810671e-07,1.9138090447122588e-07,1.8797240517371078e-07,2.1474848365222833e-07,1.956198559214074e-07,1.9102384772885317e-07,2.123184918604852e-07,2.0225340542473688e-07,4.861219565753791e-07,4.8087350097202e-07,5.160029538550982e-07,4.981821011473005e-07,4.801798454226099e-07,5.067255929192863e-07,4.917587410346048e-07,5.859295170247129e-07,5.821185732511943e-07,6.16481098821275e-07,6.002660742814503e-07,6.351317835954453e-07,5.984721713503484e-07,6.464239777465801e-07,6.208507489033268e-07,4.342730154035549e-06,4.328557212993641e-06,4.373067021692239e-06,4.327236024983009e-06,4.3560777475197356e-06,4.3138274134504906e-06,4.2482527244775424e-06,6.219532107120166e-06,6.2577974960894135e-06,6.198007663340277e-06,6.231538167125217e-06,6.184349611242064e-06,6.22977222207839e-06,6.116278012881996e-06,9.173960229961615e-06,9.219414038783316e-06,9.14226702085926e-06,9.173534463674938e-06,9.095404108793976e-06,9.132270466342463e-06,9.0010254214381e-06,9.015483702923883e-06,9.931346503677077e-06,9.840694891250873e-06,9.727427681913654e-06,9.716948486574241e-06,9.59321891119435e-06,9.574357534739086e-06,1.53876736028355e-05,1.521929050033056e-05,1.5233790411720085e-05,1.5029488510989615e-05,1.5048889418885822e-05,1.8376027153682973e-05,1.838383474306446e-05,1.8101674387951548e-05,1.8086128014875694e-05,1.670488020348317e-05,1.6499925845742936e-05,1.6548112446614115e-05,2.167920196268114e-05,LC_V24_H3p5_T8,2.167920196268114e-05
22,"(22, 1)",93,1,single,,Y,2.4186538187359766e-06,3.8024328370878205e-07,3.7523296856905704e-07,3.8069970127189635e-07,3.7455149346989184e-07,3.844053759652942e-07,7.759191126001545e-07,7.679243855524583e-07,8.167974231659731e-07,7.75984689497075e-07,7.672251335393494e-07,7.987096894252352e-07,7.80837798786166e-07,2.3080101290681764e-06,2.296473711165279e-06,2.3449246761376064e-06,2.306725912514887e-06,2.2699815298101507e-06,2.294566320544036e-06,2.265618367630015e-06,2.950202330504061e-06,2.9407128058239393e-06,2.9985923055730143e-06,2.9617617831647485e-06,3.010801081822476e-06,2.9374739076179073e-06,3.0098146098158587e-06,2.9609085306821056e-06,2.4212927914998583e-05,2.4160238467235076e-05,2.4116886224486494e-05,2.397124902332436e-05,2.3837754701354358e-05,2.3481119769604432e-05,2.3303530520423172e-05,3.2290836352383756e-05,3.21789311209089e-05,3.198794479538488e-05,3.1816353839978844e-05,3.141651380781397e-05,3.1247400359817585e-05,3.0972609957082124e-05,4.380227926511078e-05,4.360879658216546e-05,4.3393550151313045e-05,4.313455729795372e-05,4.258915229740837e-05,4.232274869043929e-05,4.201820765206346e-05,4.170025576476507e-05,4.7092926908725544e-05,4.643050306564779e-05,4.571429667379699e-05,4.535258087285248e-05,4.50165602642604e-05,4.457783820457831e-05,7.503750623739298e-05,7.398247697965324e-05,7.345162608838434e-05,7.233298674728208e-05,7.181480235597211e-05,8.646290755187301e-05,8.583646133688507e-05,8.433437329032871e-05,8.362632288893346e-05,7.758239614742865e-05,7.64562123930877e-05,7.594443243152698e-05,9.392161858825095e-05,LC_V24_H3p5_T8,9.392161858825095e-05
26,"(26, 1)",76,2,single,,K,1.4015563457821663e-06,6.763949150804871e-07,6.770015747404508e-07,6.768543122798602e-07,6.766428497890123e-07,6.794807963687725e-07,1.0458628723819414e-06,1.0399194465577198e-06,1.0889667955008601e-06,1.049782791311922e-06,1.042462464656263e-06,1.0742960873891065e-06,1.056868987075611e-06,9.220939014067132e-07,9.149275924689336e-07,9.664806165422118e-07,9.39202957477476e-07,9.155404472296653e-07,9.491952600651049e-07,9.296914105028518e-07,1.142045425804046e-06,1.136360020827106e-06,1.1821212932374734e-06,1.1587395925220745e-06,1.1988008527055503e-06,1.1529856773925897e-06,1.205275519668609e-06,1.1754417641881195e-06,2.7712314700440676e-06,2.7575352853595107e-06,2.82599057116521e-06,2.7837901393137192e-06,2.835282025705758e-06,2.827690356401744e-06,2.7792113664005898e-06,5.229641971316628e-06,5.2731549777907995e-06,5.234628732824784e-06,5.2721125409859845e-06,5.254308956854739e-06,5.306094121778154e-06,5.230166260027517e-06,7.440757017279511e-06,7.48784701144524e-06,7.455346179838595e-06,7.5053492437115e-06,7.498904121553096e-06,7.563481083279543e-06,7.477700720601076e-06,7.5288332013099e-06,7.06658094863969e-06,7.048987700437628e-06,7.011581350393134e-06,7.037261866841014e-06,6.944032257656328e-06,6.971721936707302e-06,1.0560480090499967e-05,1.0483784509850733e-05,1.0506343207903467e-05,1.0406173277535666e-05,1.0424822498714116e-05,1.2864193438519818e-05,1.2861965912435482e-05,1.2723693427131885e-05,1.2725632725172318e-05,1.2350961742679592e-05,1.2248164057383462e-05,1.225917335479581e-05,1.6535479900440045e-05,LC_V24_H3p5_T8,1.6535479900440045e-05
26,"(26, 1)",76,2,single,,Y,2.0302199234558918e-06,6.014780220452617e-07,6.016068456404108e-07,5.998273144991569e-07,5.992496242238956e-07,6.000127654778946e-07,1.1812996828865726e-06,1.1763913376943033e-06,1.212826728250416e-06,1.1798082683527166e-06,1.1733946219700062e-06,1.195559083658663e-06,1.1807687440294925e-06,1.7372071741749996e-06,1.7283438048762083e-06,1.7713551067908114e-06,1.7425802943326755e-06,1.7146774414281085e-06,1.7390789775993915e-06,1.7172162599828668e-06,2.8532147588056385e-06,2.8478324080565974e-06,2.887496333049528e-06,2.862845379926117e-06,2.8967253009823537e-06,2.8490083076878783e-06,2.8945384086884235e-06,2.8635286930365706e-06,9.121334604021536e-06,9.099049937645297e-06,9.127308303548517e-06,9.065237159922408e-06,9.060570719764298e-06,8.975623002106676e-06,8.91146930558672e-06,1.3206434214623738e-05,1.3181731114277187e-05,1.3130535787105681e-05,1.310119852314008e-05,1.2996358650712572e-05,1.2981968720812188e-05,1.2876888348504507e-05,1.7442841971329066e-05,1.7418857530466177e-05,1.736596203804896e-05,1.7332903795649363e-05,1.722340240312254e-05,1.7213784771493794e-05,1.7095314699203205e-05,1.7065881778766906e-05,1.9743774121297325e-05,1.9527099564180686e-05,1.929643341487184e-05,1.917546911000006e-05,1.9018029660349023e-05,1.8915131334943142e-05,3.202200592985438e-05,3.157234407822058e-05,3.136782695054906e-05,3.091419056234985e-05,3.072347662611936e-05,4.022673062447697e-05,3.987461751222792e-05,3.92270072006716e-05,3.8909261625989356e-05,3.96585561565531e-05,3.91611481793582e-05,3.88940972152699e-05,5.208618923417579e-05,LC_V24_H3p5_T8,5.208618923417579e-05
