node,sub_joint_id,brace_member,brace_end,chord_t_scenario,direction,treatment,LC_V26_H3p5_T8,LC_V2_H0p5_T5,LC_V2_H0p5_T6,LC_V2_H1p0_T7,LC_V2_H1p0_T8,LC_V2_H1p5_T8,LC_V4_H0p5_T5,LC_V4_H0p5_T6,LC_V4_H1p0_T5,LC_V4_H1p0_T7,LC_V4_H1p0_T8,LC_V4_H1p5_T7,LC_V4_H1p5_T8,LC_V6_H0p5_T5,LC_V6_H0p5_T6,LC_V6_H1p0_T5,LC_V6_H1p0_T6,LC_V6_H1p0_T8,LC_V6_H1p5_T7,LC_V6_H1p5_T8,LC_V8_H0p5_T5,LC_V8_H0p5_T6,LC_V8_H1p0_T5,LC_V8_H1p0_T6,LC_V8_H1p5_T6,LC_V8_H1p5_T8,LC_V8_H2p0_T7,LC_V8_H2p0_T8,LC_V10_H0p5_T5,LC_V10_H0p5_T6,LC_V10_H1p0_T5,LC_V10_H1p0_T6,LC_V10_H1p5_T6,LC_V10_H2p0_T7,LC_V10_H2p0_T8,LC_V12_H0p5_T5,LC_V12_H1p0_T5,LC_V12_H1p0_T6,LC_V12_H1p5_T6,LC_V12_H2p0_T7,LC_V12_H2p5_T7,LC_V12_H2p5_T8,LC_V14_H0p5_T5,LC_V14_H1p0_T5,LC_V14_H1p0_T6,LC_V14_H1p5_T6,LC_V14_H2p0_T7,LC_V14_H2p5_T7,LC_V14_H2p5_T8,LC_V14_H3p0_T8,LC_V16_H1p0_T5,LC_V16_H1p5_T6,LC_V16_H2p0_T7,LC_V16_H2p5_T7,LC_V16_H2p5_T8,LC_V16_H3p0_T8,LC_V18_H1p5_T6,LC_V18_H2p0_T7,LC_V18_H2p5_T7,LC_V18_H3p0_T8,LC_V18_H3p5_T8,LC_V20_H2p0_T7,LC_V20_H2p5_T7,LC_V20_H3p0_T8,LC_V20_H3p5_T8,LC_V22_H2p5_T7,LC_V22_H3p0_T8,LC_V22_H3p5_T8,LC_V24_H3p5_T8,worst_bin,worst_bin_damage
22,"(22, 0)",72,2,single,,K,4.70426196534959e-07,2.1473401207528724e-07,2.143343668154531e-07,2.1498162248227196e-07,2.1444048380109172e-07,2.158789648643546e-07,3.180788729979293e-07,3.1635581314431124e-07,3.2935687151630063e-07,3.190610071147246e-07,3.1695230494199983e-07,3.2552733761298896e-07,3.2091002476410584e-07,2.925525823031704e-07,2.910098607787935e-07,3.013225535610253e-07,2.957011349530616e-07,2.9042691342166175e-07,2.973106904786912e-07,2.929806168814207e-07,3.8398793761233136e-07,3.8320235852133043e-07,3.9110895365276454e-07,3.868638236664893e-07,3.9445541248716854e-07,3.85777032201379e-07,3.958669199939261e-07,3.9013727437145903e-07,8.780168703616711e-07,8.751846337488574e-07,8.873229430144182e-07,8.792140628102275e-07,8.873598619196991e-07,8.848147769217851e-07,8.751948523768341e-07,1.7308378327068181e-06,1.7375067229957073e-06,1.7291585875466271e-06,1.7357976630062275e-06,1.731160782172951e-06,1.741101320833273e-06,1.7249015742810044e-06,2.4881352595050977e-06,2.5016452329190944e-06,2.4927539658151077e-06,2.5054931881669674e-06,2.5020732249307554e-06,2.516212387406896e-06,2.4950170028828733e-06,2.5065314779009286e-06,2.3914205078123207e-06,2.3790946871951718e-06,2.364262874534356e-06,2.3837567639831184e-06,2.3613726040406573e-06,2.3681564769242215e-06,3.6058071460544644e-06,3.5842928516041553e-06,3.5868460875529678e-06,3.5604544378329653e-06,3.5652081649561708e-06,4.39410767852194e-06,4.390066479068535e-06,4.3578647440476425e-06,4.356777703416638e-06,4.328642837853993e-06,4.2917546104139505e-06,4.293562318302884e-06,5.756706660768023e-06,LC_V24_H3p5_T8,5.756706660768023e-06
22,"(22, 0)",72,2,single,,Y,6.771770289485928e-07,1.8590912972806721e-07,1.8531126890837015e-07,1.8553925990661588e-07,1.8476800274366106e-07,1.8574343586917588e-07,3.8593469747717025e-07,3.8414894670082585e-07,3.949375964016933e-07,3.853321582338619e-07,3.8329564244772533e-07,3.8981440326977116e-07,3.8562081149468366e-07,5.869858282034521e-07,5.85124376037925e-07,5.916299591099412e-07,5.855659638655062e-07,5.793992926583702e-07,5.823072566740206e-07,5.774636593323085e-07,1.047236970380013e-06,1.0459590789780935e-06,1.0522104624563332e-06,1.0473551960663886e-06,1.0525576259085483e-06,1.0430155999585137e-06,1.0510459426343006e-06,1.0448688981987406e-06,3.003847979994748e-06,2.9996280413702453e-06,2.993392026585448e-06,2.9815943410170547e-06,2.9698223463885246e-06,2.943715630348997e-06,2.9306669656613473e-06,4.439708811992857e-06,4.419544937016795e-06,4.4089640203864935e-06,4.388343671943819e-06,4.353994125758283e-06,4.339407347155501e-06,4.319011586982862e-06,5.96600211292882e-06,5.946803937882679e-06,5.93484469679369e-06,5.9136643604339215e-06,5.872856581803444e-06,5.856604484541761e-06,5.829506299283216e-06,5.810824183842288e-06,6.899765086590704e-06,6.815188670310713e-06,6.730526885307686e-06,6.716406365729976e-06,6.678864679303583e-06,6.636783938463408e-06,1.1058235388898479e-05,1.093003223234415e-05,1.0854396167636937e-05,1.0734667958046317e-05,1.0673114113336303e-05,1.3816477395330932e-05,1.3690970888289846e-05,1.3517622579999395e-05,1.34126718071935e-05,1.3920499846997262e-05,1.37513733243083e-05,1.3649921089380865e-05,1.8047974965255507e-05,LC_V24_H3p5_T8,1.8047974965255507e-05
22,"(22, 1)",80,2,single,,K,5.830994079521558e-07,4.211781773136214e-08,4.1033016558490134e-08,4.68001831575575e-08,4.430709599429102e-08,5.287227326458155e-08,4.915363670270465e-08,4.8630387341816255e-08,5.857967600488912e-08,5.142166921510323e-08,5.007878359064802e-08,6.457030672020547e-08,5.7774581687977665e-08,1.573269822180963e-07,1.5661871651896942e-07,1.614862039344642e-07,1.5928089430968495e-07,1.5632653266967374e-07,1.6101026222337197e-07,1.5844517444164852e-07,2.3342874726583454e-07,2.327602171367124e-07,2.3811970265053358e-07,2.3570001248771423e-07,2.418061068850842e-07,2.3564937767765956e-07,2.4562839652461156e-07,2.4039754988890275e-07,1.5395999086072476e-06,1.5368989416086446e-06,1.5366212379648983e-06,1.5292875017771216e-06,1.5264857538972825e-06,1.5123565797408218e-06,1.5007724121664375e-06,2.216416407793629e-06,2.2116576098967565e-06,2.200266615093958e-06,2.1951267969349636e-06,2.1768595986072443e-06,2.1760308698068913e-06,2.1559531902274305e-06,3.2634283038960374e-06,3.256347526774437e-06,3.2408447031315247e-06,3.232199009336643e-06,3.2035546534848182e-06,3.197776289559136e-06,3.173666668266864e-06,3.164430578189357e-06,3.7054189077997696e-06,3.6690902548699267e-06,3.6313087769229452e-06,3.6132200771699714e-06,3.5872589589234873e-06,3.5715469672155595e-06,5.805021732514033e-06,5.7542707630461456e-06,5.746778078860324e-06,5.6892474239070176e-06,5.683942568806107e-06,6.931429743261788e-06,6.92335275513743e-06,6.836811863346849e-06,6.819522432275495e-06,6.418555839027019e-06,6.3527002675080415e-06,6.34731511628502e-06,8.287756951924471e-06,LC_V24_H3p5_T8,8.287756951924471e-06
22,"(22, 1)",80,2,single,,Y,9.364966089295487e-07,1.1094915726162114e-07,1.0816011723721862e-07,1.2025020066221824e-07,1.14394092431657e-07,1.3249316499273207e-07,2.517981241159396e-07,2.5069809641047864e-07,2.7759171468034894e-07,2.549930836925595e-07,2.5038067054219415e-07,2.882055339970378e-07,2.7035995110705965e-07,8.820354021463902e-07,8.807067100633854e-07,8.772388677682536e-07,8.726200193314094e-07,8.675030431685509e-07,8.620292623059734e-07,8.57796599044897e-07,1.2598580278779157e-06,1.2579271293130247e-06,1.2625927163478345e-06,1.256266288721045e-06,1.258160863594164e-06,1.2458229059135515e-06,1.255681345735513e-06,1.2434429724835087e-06,1.0050856930517967e-05,1.0034767950176368e-05,9.975362804024623e-06,9.936937538841984e-06,9.845942072423004e-06,9.695438217437374e-06,9.649901628830326e-06,1.3253347875886434e-05,1.3160804921568313e-05,1.3106487752482798e-05,1.2990637731856196e-05,1.2818478277557505e-05,1.2702351453630712e-05,1.2639167285208039e-05,1.7629516545047766e-05,1.747689466807492e-05,1.7431841704799853e-05,1.7262765826095222e-05,1.7034012848295178e-05,1.6867047723024635e-05,1.680228931372436e-05,1.6627459566708143e-05,1.924687648287738e-05,1.896349022333193e-05,1.8675933575597108e-05,1.8462709180328154e-05,1.8377858447652655e-05,1.8168695040705165e-05,3.1024603227563895e-05,3.0601634477403065e-05,3.0321996111474416e-05,2.9888387912286066e-05,2.9613619572211338e-05,3.531125229235092e-05,3.499383993022999e-05,3.442217881312972e-05,3.4082713007882035e-05,3.218346969914264e-05,3.1729677206017074e-05,3.146379731046923e-05,3.808246146218209e-05,LC_V24_H3p5_T8,3.808246146218209e-05
22,"(22, 0)",85,1,single,,K,4.800866048882816e-07,1.9833233199220057e-07,1.9785311483531343e-07,1.9812065714114624e-07,1.976208071589123e-07,1.9853875529859668e-07,2.895635731364836e-07,2.8779578549337343e-07,3.00080493609289e-07,2.897243559958165e-07,2.8784978844288775e-07,2.94878598727014e-07,2.907541090706404e-07,2.594098072688966e-07,2.5757870826570993e-07,2.68717535897839e-07,2.6201574928539197e-07,2.566000567019634e-07,2.626169947771865e-07,2.5847701272164897e-07,3.518406046229791e-07,3.509403148167894e-07,3.5777493787930307e-07,3.531280353574341e-07,3.588879161550511e-07,3.509271241853115e-07,3.5814179152240073e-07,3.531011932010457e-07,8.019706778369536e-07,7.988837200147818e-07,8.118215280873844e-07,8.025034875810912e-07,8.100993199506419e-07,8.053099570360613e-07,7.960089728413452e-07,1.6752352197148988e-06,1.6799993827593878e-06,1.6713485423974947e-06,1.675097045598399e-06,1.6672938506821633e-06,1.67262489027739e-06,1.6577855580630516e-06,2.4030576297289145e-06,2.4120578385841617e-06,2.401826387062194e-06,2.4095515585228997e-06,2.4026505705626687e-06,2.410287398270288e-06,2.39395111990761e-06,2.398155012232413e-06,2.4184258252002585e-06,2.401947701962988e-06,2.381576551987633e-06,2.377377130326757e-06,2.3588710399149638e-06,2.353709355092436e-06,3.4912457660197193e-06,3.4659063189936188e-06,3.4640675350179114e-06,3.4368682452842418e-06,3.4361180315265003e-06,4.33487006238883e-06,4.328486696341686e-06,4.281007261719277e-06,4.27121859396229e-06,4.145652103833652e-06,4.104049465774996e-06,4.100705024371903e-06,5.5691271235034976e-06,LC_V24_H3p5_T8,5.5691271235034976e-06
22,"(22, 0)",85,1,single,,Y,9.028355257957385e-07,2.7459307332689654e-07,2.7375730501205164e-07,2.73746741488113e-07,2.728769114336348e-07,2.737454862733722e-07,4.94559966678707e-07,4.916781237805455e-07,5.094683519775304e-07,4.934804352703456e-07,4.905457830690394e-07,5.001050059372598e-07,4.938155727191573e-07,6.04785650961932e-07,6.012300286109037e-07,6.177620052696173e-07,6.063033353581974e-07,5.961625226545924e-07,6.039347861871429e-07,5.964217346976026e-07,1.0255826785545269e-06,1.024125671654955e-06,1.0325540495878668e-06,1.0249534946267394e-06,1.0312972331931991e-06,1.0184266537122942e-06,1.0268725489234739e-06,1.0188879791569798e-06,2.7742974682828997e-06,2.7677700563442543e-06,2.7789966093906057e-06,2.760007200018723e-06,2.759902324836721e-06,2.7354400646993893e-06,2.717583747638652e-06,4.604817100603035e-06,4.592053321194755e-06,4.577173853397739e-06,4.562735921239563e-06,4.528095306087838e-06,4.517846615631765e-06,4.490673617069168e-06,6.354901332455706e-06,6.355394328472147e-06,6.3305175048469234e-06,6.325625936737058e-06,6.285739971258474e-06,6.2793558173139685e-06,6.242898148377563e-06,6.230228547639208e-06,7.166308187695916e-06,7.090752524261622e-06,7.00957104968499e-06,6.9608107799860376e-06,6.9175083574311304e-06,6.874651153261861e-06,1.1033867574464539e-05,1.0914112175655211e-05,1.085882511500493e-05,1.074200165097984e-05,1.0693363980627396e-05,1.3982685668528219e-05,1.3887588117297163e-05,1.370070484594989e-05,1.3608413863091422e-05,1.3598150601545712e-05,1.3431712504482263e-05,1.3351252008075045e-05,1.7908574508006616e-05,LC_V24_H3p5_T8,1.7908574508006616e-05
22,"(22, 1)",93,1,single,,K,4.432193847988495e-07,4.968986086661562e-08,4.881422273098915e-08,5.080212690085651e-08,4.9537582338828573e-08,5.250559073520716e-08,6.919374349731758e-08,6.802534378627352e-08,7.699668686655557e-08,7.051701893785933e-08,6.897263759513547e-08,7.601278649917567e-08,7.265040249350746e-08,1.7908164892896254e-07,1.7731492323779146e-07,1.8893495929587306e-07,1.8285140708866147e-07,1.7676833217245225e-07,1.853884383629436e-07,1.803489605874376e-07,2.175067514438539e-07,2.1619852376752737e-07,2.277384158858082e-07,2.2218585424659956e-07,2.337726120874043e-07,2.2132218096368145e-07,2.3731181793347033e-07,2.2868564010146198e-07,1.6352594217472318e-06,1.6302137934460387e-06,1.644011089881583e-06,1.6278423210625265e-06,1.6356548181633968e-06,1.6184254964206764e-06,1.5955955424901157e-06,2.3175202486634356e-06,2.328859588080259e-06,2.3076679943909283e-06,2.3165644858510417e-06,2.297083023812848e-06,2.309670342347246e-06,2.27060924781231e-06,3.379977602779017e-06,3.392340756202217e-06,3.3656267708945717e-06,3.3727354467600668e-06,3.3420381828134826e-06,3.350510511264877e-06,3.305710462224612e-06,3.306303148929816e-06,3.6552758395281226e-06,3.6194319083236133e-06,3.5757700591308874e-06,3.568371570686066e-06,3.525572097780491e-06,3.514630447988467e-06,5.6841709371055366e-06,5.619213011998135e-06,5.618054056437258e-06,5.540895330099283e-06,5.541843261932872e-06,6.754117462154164e-06,6.749558721565067e-06,6.6445010747380265e-06,6.632262872747513e-06,6.127567878919345e-06,6.050219788928464e-06,6.059623286881627e-06,7.88284030807716e-06,LC_V24_H3p5_T8,7.88284030807716e-06
22,"(22, 1)",93,1,single,,Y,8.075041291377283e-07,1.303936148621336e-07,1.287113849548096e-07,1.3036654917576389e-07,1.2833983384461234e-07,1.3143899292553748e-07,2.72780856717485e-07,2.700721719586529e-07,2.8631571568025836e-07,2.725519310810053e-07,2.6965088866293333e-07,2.7986695988616006e-07,2.7394687054420513e-07,8.180147660835322e-07,8.141326793708488e-07,8.296425870189502e-07,8.16788872688852e-07,8.043899677690717e-07,8.118316344552869e-07,8.020934977330287e-07,1.0485620287757103e-06,1.0452645611116742e-06,1.0643261586220478e-06,1.051856992218738e-06,1.0675954957668492e-06,1.0430122961838338e-06,1.0664061368615533e-06,1.0501755098917066e-06,8.641509766319503e-06,8.623112897849445e-06,8.603902695090938e-06,8.553454539762479e-06,8.502028960325973e-06,8.373517286741085e-06,8.312463142880307e-06,1.1493402483000692e-05,1.1449064953831488e-05,1.1382928588988284e-05,1.131714310187316e-05,1.1172940394970039e-05,1.1107786166816636e-05,1.1014049648246765e-05,1.5534972893241257e-05,1.5460398289334054e-05,1.5386266341849456e-05,1.528869621225661e-05,1.5093071545025945e-05,1.4992490566115794e-05,1.4888879741586693e-05,1.4771005748123355e-05,1.6697131376631582e-05,1.6459306117559635e-05,1.6203388194992695e-05,1.6071747037229577e-05,1.5956372975084185e-05,1.5796327675316892e-05,2.664058229979672e-05,2.626270615840763e-05,2.606581168878516e-05,2.5667109879298274e-05,2.5474389849240245e-05,3.06504195314132e-05,3.04189845499735e-05,2.988486292033266e-05,2.9625747678968084e-05,2.749412382069346e-05,2.7091902349845684e-05,2.6901632350846005e-05,3.317826713633035e-05,LC_V24_H3p5_T8,3.317826713633035e-05
26,"(26, 1)",76,2,single,,K,4.529350735582118e-07,2.1177174847098146e-07,2.11965493024272e-07,2.1188949734552195e-07,2.118164801457944e-07,2.1268110010685222e-07,3.3210651890914857e-07,3.3027152510427397e-07,3.45570561727104e-07,3.332756679125117e-07,3.309861859410355e-07,3.4093917174776587e-07,3.3545622117289606e-07,3.0326893854556153e-07,3.00962745536053e-07,3.172353409691496e-07,3.0856413116460323e-07,3.009763790565337e-07,3.1153748791845946e-07,3.0529505173345785e-07,3.8409990422640526e-07,3.823086327143208e-07,3.9688868912877517e-07,3.8942072354415316e-07,4.021610532073152e-07,3.8749378276512724e-07,4.040191153499412e-07,3.944329524730529e-07,9.585130179965253e-07,9.539630979867762e-07,9.756492128507574e-07,9.619172146323112e-07,9.775508085232724e-07,9.742252869894132e-07,9.58344107602823e-07,1.7570288378873284e-06,1.769720109970263e-06,1.757431124372432e-06,1.7682342602677815e-06,1.7615607972089844e-06,1.7769356812354566e-06,1.7526928929650325e-06,2.486306415701211e-06,2.500470647207564e-06,2.4900987709729394e-06,2.5047184987567565e-06,2.501491388969473e-06,2.521190014467772e-06,2.493380614877568e-06,2.5079380274066543e-06,2.399827011354916e-06,2.3919363977808993e-06,2.3778725918593847e-06,2.3842229383407795e-06,2.354077563326973e-06,2.3613988268893e-06,3.6232125300776986e-06,3.5942869097728933e-06,3.5991036917336274e-06,3.5627704257475974e-06,3.566179845219268e-06,4.427451309346447e-06,4.423437765544992e-06,4.372563266724536e-06,4.369518466623323e-06,4.265827053288242e-06,4.2283520333118835e-06,4.2290904387621434e-06,5.697924894318518e-06,LC_V24_H3p5_T8,5.697924894318518e-06
26,"(26, 1)",76,2,single,,Y,6.652291612455823e-07,1.874569729982727e-07,1.8745820298313015e-07,1.868895140047443e-07,1.8665547444318894e-07,1.8685624096512005e-07,3.780283569372639e-07,3.764882526461785e-07,3.875502868218782e-07,3.77358287917184e-07,3.753599480907103e-07,3.8197415135627677e-07,3.774415532972392e-07,5.831940904132172e-07,5.803315952753524e-07,5.934004928192286e-07,5.842807746376247e-07,5.75363013406608e-07,5.825203937339123e-07,5.755458371453452e-07,9.781688453633352e-07,9.76410089977501e-07,9.885615050469326e-07,9.809025205296781e-07,9.909495279891804e-07,9.760340226674268e-07,9.897990679112628e-07,9.801046339223318e-07,3.1764189804403957e-06,3.1689981042870937e-06,3.1758888683524735e-06,3.155677192536148e-06,3.1508761756030958e-06,3.1203280547818893e-06,3.099833858696437e-06,4.5345098638594965e-06,4.523177958010788e-06,4.506385811725696e-06,4.4934529804415375e-06,4.455919010904118e-06,4.447202348015336e-06,4.413751166397934e-06,5.961985777332389e-06,5.949615486070206e-06,5.932024023393451e-06,5.91704005791247e-06,5.877577467558305e-06,5.870090523213834e-06,5.832124341330991e-06,5.8186635473207645e-06,6.8190612963225636e-06,6.74079808939013e-06,6.658446168346829e-06,6.613167898846504e-06,6.561662737353914e-06,6.52194565193554e-06,1.1093198257325533e-05,1.0933883698021348e-05,1.0857575156425939e-05,1.0698371048729089e-05,1.0626804597459137e-05,1.3966491280136577e-05,1.3836177946659638e-05,1.3607851851601323e-05,1.3489426083526115e-05,1.3788960014917602e-05,1.361318214546093e-05,1.3514866201431742e-05,1.8089480131427806e-05,LC_V24_H3p5_T8,1.8089480131427806e-05
