node,sub_joint_id,plane_id,family,type_label,brace_member,brace_end,chord_t_scenario,direction,treatment,environment,category,corrosion_horizon_years,D_life,life_years,worst_year,worst_side,worst_position,worst_segment,n_bins_used
22,"(22, 0)",0,K,K,72,2,single,,K,free_corrosion,T,25.0,5.582504702649236,4.478276567888243,25,chord,3,,345
22,"(22, 0)",0,K,K,72,2,single,,Y,free_corrosion,T,25.0,15.124262363933278,1.6529731763723778,25,chord,3,,345
22,"(22, 1)",1,K,K,80,2,single,,K,free_corrosion,T,25.0,6.878422165796381,3.634554465748688,25,chord,3,,345
22,"(22, 1)",1,K,K,80,2,single,,Y,free_corrosion,T,25.0,39.13941339941273,0.6387423272004151,25,chord,3,,345
22,"(22, 0)",0,K,K,85,1,single,,K,free_corrosion,T,25.0,5.211232148409311,4.7973299381089864,25,chord,7,,345
22,"(22, 0)",0,K,K,85,1,single,,Y,free_corrosion,T,25.0,15.326782297619689,1.6311316696840277,25,chord,7,,345
22,"(22, 1)",1,K,K,93,1,single,,K,free_corrosion,T,25.0,6.992936751331203,3.5750359096614024,25,chord,7,,345
22,"(22, 1)",1,K,K,93,1,single,,Y,free_corrosion,T,25.0,34.17032262800152,0.7316290300259932,25,chord,7,,345
26,"(26, 1)",1,K,K,76,2,single,,K,free_corrosion,T,25.0,5.673723610269867,4.4062773792414065,25,chord,3,,345
26,"(26, 1)",1,K,K,76,2,single,,Y,free_corrosion,T,25.0,15.222408470584755,1.6423156722084498,25,chord,3,,345
26,"(26, 0)",0,K,K,78,2,single,,K,free_corrosion,T,25.0,6.443288008136752,3.8800066004234717,25,chord,3,,345
26,"(26, 0)",0,K,K,78,2,single,,Y,free_corrosion,T,25.0,37.50392116692517,0.666596964320829,25,chord,3,,345
26,"(26, 1)",1,K,K,89,1,single,,K,free_corrosion,T,25.0,5.416095483774137,4.615871355092704,25,chord,7,,345
26,"(26, 1)",1,K,K,89,1,single,,Y,free_corrosion,T,25.0,15.785159390469884,1.583766079365247,25,chord,7,,345
26,"(26, 0)",0,K,K,95,1,single,,K,free_corrosion,T,25.0,7.679254499702736,3.255524348225176,25,chord,7,,345
26,"(26, 0)",0,K,K,95,1,single,,Y,free_corrosion,T,25.0,35.84991053920929,0.6973518099203436,25,chord,7,,345
30,"(30, 1)",1,K,K,74,2,single,,K,free_corrosion,T,25.0,5.969795019098413,4.187748477128721,25,chord,3,,345
30,"(30, 1)",1,K,K,74,2,single,,Y,free_corrosion,T,25.0,16.114899648101417,1.5513593348963475,25,chord,3,,345
30,"(30, 0)",0,K,K,82,2,single,,K,free_corrosion,T,25.0,5.8008924999917335,4.309681656751203,25,chord,3,,345
30,"(30, 0)",0,K,K,82,2,single,,Y,free_corrosion,T,25.0,32.66714045544512,0.7652950228103873,25,chord,3,,345
30,"(30, 1)",1,K,K,91,1,single,,K,free_corrosion,T,25.0,4.738178422601801,5.276289276221925,25,chord,7,,345
30,"(30, 1)",1,K,K,91,1,single,,Y,free_corrosion,T,25.0,14.130182738417227,1.7692623275161083,25,chord,7,,345
30,"(30, 0)",0,K,K,99,1,single,,K,free_corrosion,T,25.0,6.335872838244574,3.9457862615384394,25,chord,7,,345
30,"(30, 0)",0,K,K,99,1,single,,Y,free_corrosion,T,25.0,29.95162812533409,0.8346791665343282,25,chord,7,,345
34,"(34, 0)",0,K,K,70,2,single,,K,free_corrosion,T,25.0,5.8616843046091045,4.26498574485532,25,chord,3,,345
34,"(34, 0)",0,K,K,70,2,single,,Y,free_corrosion,T,25.0,15.131741202876555,1.6521561970176626,25,chord,3,,345
34,"(34, 1)",1,K,K,84,2,single,,K,free_corrosion,T,25.0,5.639789559301826,4.432789510517633,25,chord,3,,345
34,"(34, 1)",1,K,K,84,2,single,,Y,free_corrosion,T,25.0,31.803922207757083,0.7860665686668802,25,chord,3,,345
34,"(34, 0)",0,K,K,87,1,single,,K,free_corrosion,T,25.0,4.9225326042376665,5.078686523778069,25,chord,7,,345
34,"(34, 0)",0,K,K,87,1,single,,Y,free_corrosion,T,25.0,14.099859022143757,1.7730673732792381,25,chord,7,,345
34,"(34, 1)",1,K,K,97,1,single,,K,free_corrosion,T,25.0,6.743816771418766,3.707099532412191,25,chord,7,,345
34,"(34, 1)",1,K,K,97,1,single,,Y,free_corrosion,T,25.0,30.70326089471801,0.8142457599446982,25,chord,7,,345
45,"(45,)",0,X,X,69,2,single,B_as_chord,X,free_corrosion,T,25.0,8.24272125874288,3.0329789416914985,25,chord,3,,345
45,"(45,)",0,X,X,71,2,single,A_as_chord,X,free_corrosion,T,25.0,8.989551294297645,2.7810064353109913,25,chord,3,,345
46,"(46,)",0,X,X,73,2,single,B_as_chord,X,free_corrosion,T,25.0,9.175094643084606,2.724767533470932,25,chord,3,,345
46,"(46,)",0,X,X,75,2,single,A_as_chord,X,free_corrosion,T,25.0,8.576130473400129,2.9150675910937247,25,chord,3,,345
47,"(47,)",0,X,X,77,2,single,B_as_chord,X,free_corrosion,T,25.0,29.564869087650763,0.8455981971671402,25,chord,3,,345
47,"(47,)",0,X,X,79,2,single,A_as_chord,X,free_corrosion,T,25.0,30.67929400240751,0.8148818547792581,25,chord,3,,345
48,"(48,)",0,X,X,81,2,single,B_as_chord,X,free_corrosion,T,25.0,26.83100648352964,0.9317578159189215,25,chord,3,,345
48,"(48,)",0,X,X,83,2,single,A_as_chord,X,free_corrosion,T,25.0,25.956309086332574,0.9631569695386266,25,chord,3,,345
