node,sub_joint_id,plane_id,family,type_label,brace_member,brace_end,chord_t_scenario,direction,treatment,environment,category,corrosion_horizon_years,D_life,life_years,worst_year,worst_side,worst_position,worst_segment,n_bins_used
22,"(22, 0)",0,K,K,72,2,single,,K,free_corrosion,T,25.0,2.539032219869501,9.846271269958491,25,chord,3,,345
22,"(22, 0)",0,K,K,72,2,single,,Y,free_corrosion,T,25.0,6.98141130424968,3.5809378520331783,25,chord,3,,345
22,"(22, 1)",1,K,K,80,2,single,,K,free_corrosion,T,25.0,3.3245658033869043,7.519778966182961,25,chord,3,,345
22,"(22, 1)",1,K,K,80,2,single,,Y,free_corrosion,T,25.0,18.51226525550732,1.3504560168595579,25,chord,3,,345
22,"(22, 0)",0,K,K,85,1,single,,K,free_corrosion,T,25.0,2.412483470034879,10.362765304103227,25,chord,7,,345
22,"(22, 0)",0,K,K,85,1,single,,Y,free_corrosion,T,25.0,7.097307036460059,3.522462797730294,25,chord,7,,345
22,"(22, 1)",1,K,K,93,1,single,,K,free_corrosion,T,25.0,3.368661484481168,7.4213452776928195,25,chord,7,,345
22,"(22, 1)",1,K,K,93,1,single,,Y,free_corrosion,T,25.0,16.120130407101485,1.5508559402836233,25,chord,7,,345
26,"(26, 1)",1,K,K,76,2,single,,K,free_corrosion,T,25.0,2.5773672260076066,9.699820711511684,25,chord,3,,345
26,"(26, 1)",1,K,K,76,2,single,,Y,free_corrosion,T,25.0,7.026425642051926,3.557996807136104,25,chord,3,,345
26,"(26, 0)",0,K,K,78,2,single,,K,free_corrosion,T,25.0,3.1163191351399204,8.022284918799729,25,chord,3,,345
26,"(26, 0)",0,K,K,78,2,single,,Y,free_corrosion,T,25.0,17.7635398925079,1.4073771416779495,25,chord,3,,345
26,"(26, 1)",1,K,K,89,1,single,,K,free_corrosion,T,25.0,2.5058497037554357,9.976655807622185,25,chord,7,,345
26,"(26, 1)",1,K,K,89,1,single,,Y,free_corrosion,T,25.0,7.306497752405624,3.4216119469507653,25,chord,7,,345
26,"(26, 0)",0,K,K,95,1,single,,K,free_corrosion,T,25.0,3.6859336177385664,6.782542116246322,25,chord,7,,345
26,"(26, 0)",0,K,K,95,1,single,,Y,free_corrosion,T,25.0,16.883324613527883,1.480751011561347,25,chord,7,,345
30,"(30, 1)",1,K,K,74,2,single,,K,free_corrosion,T,25.0,2.717752491472456,9.19877732738466,25,chord,3,,345
30,"(30, 1)",1,K,K,74,2,single,,Y,free_corrosion,T,25.0,7.429933730805979,3.364767561296683,25,chord,3,,345
30,"(30, 0)",0,K,K,82,2,single,,K,free_corrosion,T,25.0,2.7985576481427303,8.933173135308223,25,chord,3,,345
30,"(30, 0)",0,K,K,82,2,single,,Y,free_corrosion,T,25.0,15.454339876778022,1.6176685771978825,25,chord,3,,345
30,"(30, 1)",1,K,K,91,1,single,,K,free_corrosion,T,25.0,2.19367586418978,11.396396526992646,25,chord,7,,345
30,"(30, 1)",1,K,K,91,1,single,,Y,free_corrosion,T,25.0,6.551558587033489,3.815885894614256,25,chord,7,,345
30,"(30, 0)",0,K,K,99,1,single,,K,free_corrosion,T,25.0,3.0438945006837024,8.213162445145402,25,chord,7,,345
30,"(30, 0)",0,K,K,99,1,single,,Y,free_corrosion,T,25.0,14.11292363115613,1.771426010186098,25,chord,7,,345
34,"(34, 0)",0,K,K,70,2,single,,K,free_corrosion,T,25.0,2.659767158226131,9.399319005304646,25,chord,3,,345
34,"(34, 0)",0,K,K,70,2,single,,Y,free_corrosion,T,25.0,6.966171070465122,3.5887720452335636,25,chord,3,,345
34,"(34, 1)",1,K,K,84,2,single,,K,free_corrosion,T,25.0,2.71858807824568,9.195949985969422,25,chord,3,,345
34,"(34, 1)",1,K,K,84,2,single,,Y,free_corrosion,T,25.0,15.053070541631541,1.6607907290980084,25,chord,3,,345
34,"(34, 0)",0,K,K,87,1,single,,K,free_corrosion,T,25.0,2.2732965332327253,10.997245469093698,25,chord,7,,345
34,"(34, 0)",0,K,K,87,1,single,,Y,free_corrosion,T,25.0,6.5251290193304925,3.83134186710152,25,chord,7,,345
34,"(34, 1)",1,K,K,97,1,single,,K,free_corrosion,T,25.0,3.229690486237634,7.7406798287730885,25,chord,7,,345
34,"(34, 1)",1,K,K,97,1,single,,Y,free_corrosion,T,25.0,14.448474131043548,1.7302865183726057,25,chord,7,,345
45,"(45,)",0,X,X,69,2,single,B_as_chord,X,free_corrosion,T,25.0,1.6755193989316048,14.920746376282635,25,chord,3,,345
45,"(45,)",0,X,X,71,2,single,A_as_chord,X,free_corrosion,T,25.0,1.8287936785284749,13.67021348199107,25,chord,3,,345
46,"(46,)",0,X,X,73,2,single,B_as_chord,X,free_corrosion,T,25.0,1.8665576078458073,13.393639657793623,25,chord,3,,345
46,"(46,)",0,X,X,75,2,single,A_as_chord,X,free_corrosion,T,25.0,1.7423757180333415,14.348225667548938,25,chord,3,,345
47,"(47,)",0,X,X,77,2,single,B_as_chord,X,free_corrosion,T,25.0,5.991087012158787,4.172865449836235,25,chord,3,,345
47,"(47,)",0,X,X,79,2,single,A_as_chord,X,free_corrosion,T,25.0,6.220803575127681,4.018773410553616,25,chord,3,,345
48,"(48,)",0,X,X,81,2,single,B_as_chord,X,free_corrosion,T,25.0,5.442873385964645,4.593162145653923,25,chord,3,,345
48,"(48,)",0,X,X,83,2,single,A_as_chord,X,free_corrosion,T,25.0,5.263133211340564,4.750022276869616,25,chord,3,,345
