node,sub_joint_id,brace_member,brace_end,chord_t_scenario,direction,treatment,LC_V26_H3p5_T8,LC_V2_H0p5_T5,LC_V2_H0p5_T6,LC_V2_H1p0_T7,LC_V2_H1p0_T8,LC_V2_H1p5_T8,LC_V4_H0p5_T5,LC_V4_H0p5_T6,LC_V4_H1p0_T5,LC_V4_H1p0_T7,LC_V4_H1p0_T8,LC_V4_H1p5_T7,LC_V4_H1p5_T8,LC_V6_H0p5_T5,LC_V6_H0p5_T6,LC_V6_H1p0_T5,LC_V6_H1p0_T6,LC_V6_H1p0_T8,LC_V6_H1p5_T7,LC_V6_H1p5_T8,LC_V8_H0p5_T5,LC_V8_H0p5_T6,LC_V8_H1p0_T5,LC_V8_H1p0_T6,LC_V8_H1p5_T6,LC_V8_H1p5_T8,LC_V8_H2p0_T7,LC_V8_H2p0_T8,LC_V10_H0p5_T5,LC_V10_H0p5_T6,LC_V10_H1p0_T5,LC_V10_H1p0_T6,LC_V10_H1p5_T6,LC_V10_H2p0_T7,LC_V10_H2p0_T8,LC_V12_H0p5_T5,LC_V12_H1p0_T5,LC_V12_H1p0_T6,LC_V12_H1p5_T6,LC_V12_H2p0_T7,LC_V12_H2p5_T7,LC_V12_H2p5_T8,LC_V14_H0p5_T5,LC_V14_H1p0_T5,LC_V14_H1p0_T6,LC_V14_H1p5_T6,LC_V14_H2p0_T7,LC_V14_H2p5_T7,LC_V14_H2p5_T8,LC_V14_H3p0_T8,LC_V16_H1p0_T5,LC_V16_H1p5_T6,LC_V16_H2p0_T7,LC_V16_H2p5_T7,LC_V16_H2p5_T8,LC_V16_H3p0_T8,LC_V18_H1p5_T6,LC_V18_H2p0_T7,LC_V18_H2p5_T7,LC_V18_H3p0_T8,LC_V18_H3p5_T8,LC_V20_H2p0_T7,LC_V20_H2p5_T7,LC_V20_H3p0_T8,LC_V20_H3p5_T8,LC_V22_H2p5_T7,LC_V22_H3p0_T8,LC_V22_H3p5_T8,LC_V24_H3p5_T8,worst_bin,worst_bin_damage
3,"(3, 1)",33,2,single,,TY,1.1379397561987e-08,2.4921529242139056e-11,2.5553102189176073e-11,6.130240807842013e-11,6.685726684436152e-11,1.9042021757246336e-10,1.1890948995974601e-10,1.211313859147334e-10,1.862423450570399e-10,2.1045497478557614e-10,2.2200632973620575e-10,4.2745629982398786e-10,4.66789052566549e-10,9.553698784949863e-10,9.646467199208062e-10,1.1357231268839823e-09,1.1755269147334168e-09,1.2431983893458404e-09,1.7397940915244956e-09,1.8223034322290406e-09,1.8281657149634537e-09,1.8443947837979523e-09,2.147261623934785e-09,2.212977884028459e-09,2.9057270726755823e-09,3.2407300317857475e-09,4.488840189900523e-09,4.829601424779752e-09,6.442379716933344e-08,6.434615309022854e-08,6.588254393553134e-08,6.579533085711242e-08,6.914356747642519e-08,7.522948740132524e-08,7.571475634245128e-08,8.681586049063831e-08,8.844172311030821e-08,8.788049299972344e-08,9.205750838228719e-08,9.955523180841875e-08,1.1084370309675487e-07,1.1234554586567124e-07,1.2412039941692817e-07,1.2564304438942243e-07,1.2508073341938215e-07,1.292798849237241e-07,1.3739666338758596e-07,1.5023601260477397e-07,1.5241090397022753e-07,1.721541581616107e-07,1.4886152286370405e-07,1.5201140070247303e-07,1.6004751339391938e-07,1.8178035692172285e-07,1.825941481289123e-07,2.0591032488115388e-07,3.628541036280794e-07,3.774601934960146e-07,4.0019425637149644e-07,4.389183658055971e-07,4.86436341492772e-07,4.5354508973898766e-07,4.766486010390163e-07,5.167649867978515e-07,5.656567106949028e-07,3.938474972568438e-07,4.295771220667607e-07,4.7591308404271777e-07,6.141200548042368e-07,LC_V24_H3p5_T8,6.141200548042368e-07
3,"(3, 0)",36,2,single,,TY,9.49389242100871e-10,3.0353954024377664e-11,3.0369612538137414e-11,3.162832242456876e-11,3.12968134361132e-11,3.396614555718792e-11,1.0958623931779306e-10,1.0855536431399799e-10,1.1943988042740816e-10,1.1298812634436605e-10,1.1118897901164198e-10,1.230755780694262e-10,1.191690724315724e-10,3.3020063697520074e-10,3.2780837388237516e-10,3.432722645491066e-10,3.3717204753350294e-10,3.2673509545404897e-10,3.475857122395213e-10,3.3829478728695235e-10,7.584643188280164e-10,7.554143610260476e-10,7.752042609650537e-10,7.678919900161026e-10,7.987652599535557e-10,7.743822187246036e-10,8.280870674342245e-10,8.083278544057988e-10,8.473379848957554e-09,8.439987747396322e-09,8.435676792222502e-09,8.357926655820162e-09,8.360635749699982e-09,8.284569962352657e-09,8.132010204742684e-09,1.2161445402980696e-08,1.2106969906957599e-08,1.2040885059335447e-08,1.2045277373431621e-08,1.2036676372876703e-08,1.2198834373527174e-08,1.204302953037994e-08,1.6675036420236997e-08,1.6644667643791346e-08,1.6580619046599546e-08,1.6630370491932757e-08,1.658452995469464e-08,1.678932994441086e-08,1.651383557543899e-08,1.674808017894505e-08,2.34167061576855e-08,2.284606468386546e-08,2.229942652697933e-08,2.258664172622275e-08,2.2110633248307484e-08,2.219029399423587e-08,5.523718825034479e-08,5.359972329351589e-08,5.2991847734482356e-08,5.1627874993611195e-08,5.143117714500413e-08,8.456228998191833e-08,8.316152646015547e-08,8.095638789926399e-08,8.014619004892885e-08,7.418421377340918e-08,7.237811169061738e-08,7.165052731518608e-08,1.1497346622681543e-07,LC_V24_H3p5_T8,1.1497346622681543e-07
4,"(4, 0)",37,1,single,,TY,6.195536853682037e-09,7.752595846477722e-11,7.739370480978624e-11,8.456408455596035e-11,9.015864422296577e-11,1.3256477653086497e-10,3.8030396711489874e-10,3.762706706954598e-10,4.063335111497826e-10,3.8862171583539864e-10,4.009814313540357e-10,4.520013366348519e-10,5.340633396770219e-10,1.519667905094973e-09,1.5088364618683928e-09,1.553964054482769e-09,1.5290968528530612e-09,1.536116156790471e-09,1.6374349557830963e-09,1.798059645904139e-09,5.6474426126820044e-09,5.6475663836172705e-09,5.680813419463755e-09,5.721411441304077e-09,5.918867109242672e-09,6.487561527237868e-09,6.692988775191419e-09,7.364259434117296e-09,5.8523534414514114e-08,5.836356970834952e-08,5.784803045952092e-08,5.760638279788022e-08,5.7371292355888885e-08,5.848401104765174e-08,6.025503237962312e-08,1.0518591656178847e-07,1.0443730675827063e-07,1.041653890810354e-07,1.040052605453007e-07,1.0638188986828113e-07,1.0937282621668253e-07,1.1480859604822656e-07,1.2002570452349842e-07,1.1872526792063874e-07,1.1851214259407158e-07,1.1789614762864262e-07,1.2001440105553728e-07,1.2255568645296318e-07,1.280987345919273e-07,1.350717560301847e-07,1.4755447861890443e-07,1.4547457219555416e-07,1.4621238948357047e-07,1.4792775986242732e-07,1.525132380387894e-07,1.5896416426692584e-07,3.1272654732335513e-07,3.1070024685830795e-07,3.121406833180262e-07,3.245949664895056e-07,3.360394725810843e-07,4.627546813844575e-07,4.6040716382879756e-07,4.6370346097641057e-07,4.719161105905135e-07,4.2079939345790144e-07,4.3614401433771457e-07,4.4808831158961164e-07,7.435947907480991e-07,LC_V24_H3p5_T8,7.435947907480991e-07
4,"(4, 1)",45,1,single,,TY,6.837190197406441e-08,2.4530291086638883e-10,2.5034198916541236e-10,5.68069779411974e-10,5.774648756441993e-10,1.538378631838942e-09,1.0840913191128335e-09,1.0961338759188043e-09,1.7490676533011967e-09,1.8597364175899204e-09,1.8686761629305434e-09,3.755105440629756e-09,3.796374174624212e-09,7.888443594837035e-09,7.969839043247876e-09,9.606345776448061e-09,9.89133426350164e-09,1.010954334085577e-08,1.4474405412263219e-08,1.4602195812502226e-08,1.2168428958034556e-08,1.2276894795730071e-08,1.4898769031647271e-08,1.5241166285497816e-08,2.093531171985954e-08,2.204753482405243e-08,3.2531144508988757e-08,3.335822301318798e-08,5.081320554503575e-07,5.075362580112132e-07,5.232964553954946e-07,5.216644646255548e-07,5.523960346509285e-07,5.987503931712166e-07,5.925896463878804e-07,6.782700223774529e-07,6.941889105540398e-07,6.888382060259412e-07,7.26359112351659e-07,7.83787864706602e-07,8.773558178154895e-07,8.683194640068718e-07,9.415436810890415e-07,9.555704110429807e-07,9.53512652541459e-07,9.922944065532436e-07,1.0581586695141132e-06,1.1622185707929635e-06,1.1577370235170894e-06,1.3037353969264075e-06,1.0998340005941393e-06,1.1300783318110364e-06,1.192406277338487e-06,1.3064797468244306e-06,1.2919467870191578e-06,1.449992301687855e-06,2.629402682576203e-06,2.72317640933659e-06,2.889053056790441e-06,3.092857398197972e-06,3.4007161760941906e-06,3.297773960685375e-06,3.474374866939351e-06,3.6980500767662603e-06,4.03303128563968e-06,2.750213502971093e-06,2.937750328538316e-06,3.2419413644182424e-06,4.11349969029265e-06,LC_V24_H3p5_T8,4.11349969029265e-06
5,"(5, 0)",40,2,thick,,K,9.609793297065631e-09,1.221196957399386e-09,1.2286301072268224e-09,1.2851798891231164e-09,1.2875135116322446e-09,1.4048492561819005e-09,2.2112222604683115e-09,2.2004967918497123e-09,2.4355528005107824e-09,2.3366990506665894e-09,2.3208669177520924e-09,2.6174303543137657e-09,2.574345728854353e-09,3.898308127962055e-09,3.8818870562053055e-09,4.208787480592157e-09,4.136506263080941e-09,4.012076128584494e-09,4.48530099139789e-09,4.367042173677202e-09,6.769202038798785e-09,6.767008342301069e-09,7.143188097449209e-09,7.078059156473152e-09,7.748834058755635e-09,7.637957249341396e-09,8.668342248401815e-09,8.558444462755484e-09,7.089123791358819e-08,7.057431059022355e-08,7.275822030794758e-08,7.171991803917844e-08,7.444802026116542e-08,7.640460104364123e-08,7.491793470993432e-08,1.538779133464773e-07,1.5541451330383445e-07,1.544503723186257e-07,1.579835366821809e-07,1.620781270063646e-07,1.693773337121304e-07,1.6632788626773922e-07,2.673685697498776e-07,2.70764576125086e-07,2.694232753477661e-07,2.7522915717883007e-07,2.7965392223399225e-07,2.897562001487938e-07,2.8402088868218e-07,2.951569228329544e-07,3.0389594138554135e-07,3.001421262092204e-07,2.994131371236052e-07,3.0720874051761696e-07,3.0182200878599085e-07,3.095272453780942e-07,5.946715949359495e-07,5.892021588511746e-07,5.933574638801994e-07,5.929947015553569e-07,6.069347296322858e-07,7.647843261821057e-07,7.67679619921622e-07,7.651843286976055e-07,7.792051818605567e-07,6.994600102855737e-07,6.975783980364531e-07,7.101626028687589e-07,1.0015312281373371e-06,LC_V24_H3p5_T8,1.0015312281373371e-06
5,"(5, 0)",40,2,thin,,K,1.402320661908323e-07,2.033568548325928e-08,2.047628288385021e-08,2.1376171260248508e-08,2.14196703909352e-08,2.3309791592563307e-08,3.3749917080398995e-08,3.3573868843335646e-08,3.7287866540462415e-08,3.571634305319399e-08,3.5474570069752747e-08,4.0102126774459506e-08,3.94620444774764e-08,5.385037493160696e-08,5.355992565088068e-08,5.855449855626617e-08,5.7440196019727946e-08,5.551954956225209e-08,6.268360559724349e-08,6.091923135398655e-08,8.877000699566084e-08,8.859453654386659e-08,9.412880593387048e-08,9.298734997848462e-08,1.0293446308323328e-07,1.0132795869528902e-07,1.1619638612518321e-07,1.1462466270898054e-07,9.281673367279587e-07,9.235820194155479e-07,9.575628714523175e-07,9.423393119788049e-07,9.837049338975646e-07,1.0184947826207688e-06,9.948229679875745e-07,2.103545659970138e-06,2.127835538740542e-06,2.1127530948824256e-06,2.1658222162909653e-06,2.2265492510393394e-06,2.3372199524048904e-06,2.289388664562299e-06,3.6573126182614705e-06,3.7097524546140173e-06,3.6897584488586926e-06,3.780113923682216e-06,3.853009104603829e-06,4.010289808255996e-06,3.927959044192894e-06,4.099277739847841e-06,3.960705849828174e-06,3.936164088977797e-06,3.943384216142567e-06,4.0645384483323956e-06,3.995354162628612e-06,4.125484670704137e-06,7.560996237582182e-06,7.545276307692394e-06,7.640385136002921e-06,7.68510584904647e-06,7.889741884480778e-06,9.589906599371887e-06,9.68316734348649e-06,9.704604719982441e-06,9.910052129772575e-06,8.79965832460996e-06,8.802553912992124e-06,9.002385053516305e-06,1.261197324423447e-05,LC_V24_H3p5_T8,1.261197324423447e-05
5,"(5, 0)",40,2,thick,,Y,4.271948639655746e-08,2.514356058525147e-09,2.5260013520990703e-09,2.655318146586311e-09,2.651688541161158e-09,2.9086610290577693e-09,7.761262386293518e-09,7.721206072646833e-09,8.428251151186797e-09,8.111659360826586e-09,8.044582556917765e-09,8.92956861453969e-09,8.767200462371892e-09,2.279141351481462e-08,2.2718393287485654e-08,2.364878012609369e-08,2.3391248305033294e-08,2.286695873791669e-08,2.450742961551179e-08,2.3995566529261294e-08,5.243563758382631e-08,5.2347180758165966e-08,5.419121304048425e-08,5.3825378628194874e-08,5.655832889518711e-08,5.602496880422383e-08,6.008674135511961e-08,5.970358906407307e-08,5.240845632517144e-07,5.222798774938602e-07,5.279244154780388e-07,5.230088377003313e-07,5.293680681209977e-07,5.31210244115568e-07,5.246279490465867e-07,9.352416623841559e-07,9.36135512969471e-07,9.323577710099678e-07,9.391144090623554e-07,9.476174600485527e-07,9.69873874179435e-07,9.579293899588114e-07,1.5689926181810326e-06,1.5795905340705583e-06,1.570846921776616e-06,1.5842164438614404e-06,1.5868564128446656e-06,1.6161141376936651e-06,1.5900865606358028e-06,1.6231499314897544e-06,2.086839197607894e-06,2.046584725392906e-06,2.0136768347789945e-06,2.027942634684375e-06,1.9972288910841104e-06,2.008716897850143e-06,4.330470714118382e-06,4.258732247941818e-06,4.248685577543902e-06,4.204519928230594e-06,4.230895816833159e-06,6.022340356180214e-06,5.970878248506029e-06,5.888483146146247e-06,5.878582456800318e-06,5.819606722412179e-06,5.7261110925336554e-06,5.715313692128759e-06,8.32161837946564e-06,LC_V24_H3p5_T8,8.32161837946564e-06
5,"(5, 0)",40,2,thin,,Y,6.080392541044662e-07,4.093910281247439e-08,4.1124240959025746e-08,4.3228309965864004e-08,4.319327118211966e-08,4.737197721727831e-08,1.1462000642066348e-07,1.1406452750622755e-07,1.2485449886962675e-07,1.2011139371867723e-07,1.1917078067203428e-07,1.326921264925189e-07,1.3034780452480388e-07,3.1093934225473483e-07,3.100073660267009e-07,3.2424475533258885e-07,3.2052113839450556e-07,3.132203448628216e-07,3.3770942762047976e-07,3.3026393801388333e-07,6.851501800202627e-07,6.844608366497139e-07,7.098985244899376e-07,7.053948674616898e-07,7.441196730501304e-07,7.37826165006732e-07,7.968068307555782e-07,7.917772125475378e-07,6.915959225493586e-06,6.88858323040347e-06,6.982466521392853e-06,6.911899773704947e-06,7.016900486290095e-06,7.059711323986212e-06,6.962267103831303e-06,1.2266257426221675e-05,1.2281742795818064e-05,1.2220110900370208e-05,1.231970569274449e-05,1.2420164965033822e-05,1.27160426339641e-05,1.2565819183504998e-05,1.9841798656185936e-05,1.991760183805463e-05,1.9797482034700933e-05,1.992866424308103e-05,1.9888583383016208e-05,2.0203563841585353e-05,1.9863904860464036e-05,2.0221317649725586e-05,2.5036999438486285e-05,2.4647736704410332e-05,2.4345266982431966e-05,2.4611324379723584e-05,2.4233790584593186e-05,2.446844257491579e-05,4.9003369875633294e-05,4.829814275434525e-05,4.821867735901371e-05,4.780928404013521e-05,4.809856567150414e-05,6.610051389700399e-05,6.561478344511573e-05,6.478693660896293e-05,6.468972901656018e-05,6.458070859675914e-05,6.376110639258679e-05,6.364989079830232e-05,8.961308099033997e-05,LC_V24_H3p5_T8,8.961308099033997e-05
5,"(5, 1)",48,2,thick,,K,3.069380249279972e-08,3.154610317261954e-10,3.180729897643453e-10,4.682652051382231e-10,4.605575980041956e-10,8.049917821697689e-10,1.165764760262533e-09,1.164227539574171e-09,1.5990898262720872e-09,1.5461563047420416e-09,1.5154781959726994e-09,2.420032889319538e-09,2.331263054927198e-09,4.882926631570133e-09,4.888817331290928e-09,5.7871136525149655e-09,5.779661546256135e-09,5.653749212700566e-09,7.499705656514003e-09,7.290446851187624e-09,7.19798963291642e-09,7.233797800465896e-09,8.460113469389375e-09,8.523604666865484e-09,1.0993066394405666e-08,1.0865812185237171e-08,1.5102736057602983e-08,1.4770485124558346e-08,2.391825033581792e-07,2.382768633855043e-07,2.4631067073048114e-07,2.436260121481112e-07,2.559728573673363e-07,2.69860391386167e-07,2.632600659984366e-07,3.4992116443979495e-07,3.5763815623535874e-07,3.5388283091140495e-07,3.699103224868368e-07,3.88964829871529e-07,4.2503346452222314e-07,4.120165140717502e-07,5.37105075505993e-07,5.456205171531255e-07,5.428767659955057e-07,5.623738609774481e-07,5.863869640998127e-07,6.281957882652231e-07,6.150282772279387e-07,6.674461789018887e-07,6.262768811593977e-07,6.36125580715871e-07,6.545535076919743e-07,6.952059929338474e-07,6.79443565910472e-07,7.329365984914089e-07,1.389565351701435e-06,1.4141489886711806e-06,1.4753695484798107e-06,1.527391408352201e-06,1.6290450136257713e-06,1.766323274753334e-06,1.8348047762067251e-06,1.900886202253962e-06,2.018143248024816e-06,1.5762882778295317e-06,1.6121434743125335e-06,1.7175890518767372e-06,2.2368809964825125e-06,LC_V24_H3p5_T8,2.2368809964825125e-06
5,"(5, 1)",48,2,thin,,K,1.7049650123167866e-07,7.032147085274732e-10,7.106060726211112e-10,1.2601464139351312e-09,1.2563172533687193e-09,2.680953751598494e-09,1.745142841069727e-09,1.7469268464817282e-09,2.5898225942874324e-09,2.659194442862787e-09,2.6609052528698996e-09,5.060181927718552e-09,5.035000313867739e-09,1.2097444763057322e-08,1.216403775270784e-08,1.4529484222166976e-08,1.4840792829091193e-08,1.4981803590533618e-08,2.088218777892346e-08,2.0779723353215365e-08,2.2533033989235172e-08,2.2757896061790935e-08,2.6061184497691645e-08,2.682333331568393e-08,3.4771497656553777e-08,3.706169391177068e-08,5.153625168221097e-08,5.2688210581958e-08,6.4741256502442e-07,6.449571117052011e-07,6.675683353339579e-07,6.620363318044931e-07,6.997817734673461e-07,7.533180889483986e-07,7.42987718048047e-07,9.626955865575745e-07,9.842349839793789e-07,9.780974766431474e-07,1.02746861982412e-06,1.1090148863476044e-06,1.2343595145228888e-06,1.2248790081417842e-06,1.6998489277225544e-06,1.742175945539724e-06,1.7346334716668522e-06,1.809605931806183e-06,1.9083781526195976e-06,2.0669145754541855e-06,2.046083292225392e-06,2.2636576887581574e-06,2.325249707683263e-06,2.366161138371396e-06,2.452229224955033e-06,2.620953511227161e-06,2.5931111381314e-06,2.819651944175548e-06,5.071308084060319e-06,5.212461133411096e-06,5.4488618155018515e-06,5.768392683753787e-06,6.202425356344646e-06,7.082077713886191e-06,7.3373214218253274e-06,7.63870335043145e-06,8.124435550542077e-06,6.61747054036406e-06,6.933131907154374e-06,7.423843806208516e-06,1.0578700530063556e-05,LC_V24_H3p5_T8,1.0578700530063556e-05
