node,sub_joint_id,brace_member,brace_end,chord_t_scenario,direction,treatment,LC_V26_H3p5_T8,LC_V2_H0p5_T5,LC_V2_H0p5_T6,LC_V2_H1p0_T7,LC_V2_H1p0_T8,LC_V2_H1p5_T8,LC_V4_H0p5_T5,LC_V4_H0p5_T6,LC_V4_H1p0_T5,LC_V4_H1p0_T7,LC_V4_H1p0_T8,LC_V4_H1p5_T7,LC_V4_H1p5_T8,LC_V6_H0p5_T5,LC_V6_H0p5_T6,LC_V6_H1p0_T5,LC_V6_H1p0_T6,LC_V6_H1p0_T8,LC_V6_H1p5_T7,LC_V6_H1p5_T8,LC_V8_H0p5_T5,LC_V8_H0p5_T6,LC_V8_H1p0_T5,LC_V8_H1p0_T6,LC_V8_H1p5_T6,LC_V8_H1p5_T8,LC_V8_H2p0_T7,LC_V8_H2p0_T8,LC_V10_H0p5_T5,LC_V10_H0p5_T6,LC_V10_H1p0_T5,LC_V10_H1p0_T6,LC_V10_H1p5_T6,LC_V10_H2p0_T7,LC_V10_H2p0_T8,LC_V12_H0p5_T5,LC_V12_H1p0_T5,LC_V12_H1p0_T6,LC_V12_H1p5_T6,LC_V12_H2p0_T7,LC_V12_H2p5_T7,LC_V12_H2p5_T8,LC_V14_H0p5_T5,LC_V14_H1p0_T5,LC_V14_H1p0_T6,LC_V14_H1p5_T6,LC_V14_H2p0_T7,LC_V14_H2p5_T7,LC_V14_H2p5_T8,LC_V14_H3p0_T8,LC_V16_H1p0_T5,LC_V16_H1p5_T6,LC_V16_H2p0_T7,LC_V16_H2p5_T7,LC_V16_H2p5_T8,LC_V16_H3p0_T8,LC_V18_H1p5_T6,LC_V18_H2p0_T7,LC_V18_H2p5_T7,LC_V18_H3p0_T8,LC_V18_H3p5_T8,LC_V20_H2p0_T7,LC_V20_H2p5_T7,LC_V20_H3p0_T8,LC_V20_H3p5_T8,LC_V22_H2p5_T7,LC_V22_H3p0_T8,LC_V22_H3p5_T8,LC_V24_H3p5_T8,worst_bin,worst_bin_damage
3,"(3, 1)",33,2,single,,TY,5.291622293339487e-09,1.1606674600514253e-11,1.1899794658535717e-11,2.8504349141038768e-11,3.108179685117427e-11,8.841156023600758e-11,5.5160290705733334e-11,5.6189589870120906e-11,8.636925564100186e-11,9.759815630521087e-11,1.029537036886838e-10,1.981668807064634e-10,2.163992687032844e-10,4.4316699761680446e-10,4.4743762311507477e-10,5.267644574387556e-10,5.45156491518572e-10,5.764792870226387e-10,8.066277808671423e-10,8.448325022688839e-10,8.47655595627892e-10,8.551488522443072e-10,9.954933089410178e-10,1.0259213234228475e-09,1.3468954566991608e-09,1.5022788330686582e-09,2.08048847790227e-09,2.2385412334443436e-09,2.9859154304557994e-08,2.982296662986823e-08,3.053428843648872e-08,3.04928085003916e-08,3.204340972615118e-08,3.4861023991651813e-08,3.5085856039643135e-08,4.024557155838708e-08,4.0999138358578494e-08,4.073788836763361e-08,4.267323222650494e-08,4.614725602631872e-08,5.137818603792377e-08,5.2072828103290404e-08,5.757609742061651e-08,5.828322373743226e-08,5.802082861458248e-08,5.996907222346841e-08,6.372557960833731e-08,6.967872331151149e-08,7.068223538236657e-08,7.983151921261555e-08,6.907831909992438e-08,7.053837306685771e-08,7.426564443310042e-08,8.433813893655608e-08,8.471333044534591e-08,9.551234547441694e-08,1.6837113828792258e-07,1.7514002339735263e-07,1.8566990658654808e-07,2.0363210275277454e-07,2.256580882798932e-07,2.105008687472418e-07,2.212088266943265e-07,2.397854296193451e-07,2.624478827158327e-07,1.827896872028382e-07,1.9935827040397098e-07,2.208347221445819e-07,2.851503709130496e-07,LC_V24_H3p5_T8,2.851503709130496e-07
3,"(3, 0)",36,2,single,,TY,4.5015991434002775e-10,1.4669690667549706e-11,1.4679040823225862e-11,1.5290530159278272e-11,1.513309825943358e-11,1.6431600410575405e-11,5.2290738597093825e-11,5.1800558887424626e-11,5.703957246581149e-11,5.395555581450578e-11,5.3100426313470384e-11,5.882793777594624e-11,5.695660601446785e-11,1.5590597456854778e-10,1.547720626240926e-10,1.6224587790356725e-10,1.593315373049015e-10,1.543643047707601e-10,1.6443671996273972e-10,1.6000450382284775e-10,3.5566750880200724e-10,3.5420351074794555e-10,3.637621225897268e-10,3.602887361817632e-10,3.7525040132480605e-10,3.6358542621427914e-10,3.8949059769377527e-10,3.8011103664046004e-10,3.983910891576557e-09,3.967943652275926e-09,3.967385956946156e-09,3.930613640330351e-09,3.933323959114431e-09,3.899100662262161e-09,3.826237444144776e-09,5.737810246499429e-09,5.71356954268537e-09,5.681136595618418e-09,5.685110920729762e-09,5.6834077339352985e-09,5.763432468715314e-09,5.689282006875641e-09,7.869606321838611e-09,7.857367190522894e-09,7.827018994420279e-09,7.853703617015593e-09,7.83583164779219e-09,7.936129163757904e-09,7.805259263418238e-09,7.919968705105727e-09,1.1022786178200424e-08,1.0756057704678296e-08,1.0500784065933824e-08,1.0640487065572718e-08,1.0414102644147633e-08,1.0457281933846379e-08,2.5977332352620112e-08,2.5212625836491174e-08,2.4934171202451434e-08,2.429928154231137e-08,2.4218683384628028e-08,3.9697904911885474e-08,3.904815587160713e-08,3.802627289229914e-08,3.766049017924873e-08,3.4810071414206435e-08,3.3968532269087664e-08,3.364176318770189e-08,5.389691693823233e-08,LC_V24_H3p5_T8,5.389691693823233e-08
4,"(4, 0)",37,1,single,,TY,2.407542410548383e-09,3.6085399689412326e-11,3.582434718178799e-11,3.716578261342048e-11,3.671989572426609e-11,5.170090878483e-11,1.827727504726378e-10,1.8084278229009238e-10,1.951948480466656e-10,1.8521781566957186e-10,1.8233429134355776e-10,1.9800722838305897e-10,2.0516152812598462e-10,7.258493083902519e-10,7.203859051661247e-10,7.417527987108192e-10,7.282139885701257e-10,7.102613802452077e-10,7.388914398475905e-10,7.384700130736643e-10,2.1492919696864084e-09,2.1495158824101194e-09,2.161987284934099e-09,2.1780835068396242e-09,2.255082187945046e-09,2.4789285071480273e-09,2.558112078623576e-09,2.8219553188329117e-09,2.237516397424754e-08,2.2315102391936304e-08,2.2121836365077925e-08,2.202635118054035e-08,2.1939192552218607e-08,2.239098302814672e-08,2.3096998800503857e-08,4.059818261547145e-08,4.030248104542172e-08,4.020013728685374e-08,4.014412687141572e-08,4.108496686189929e-08,4.225926671662524e-08,4.439779874460112e-08,4.6071787527774165e-08,4.557024353178363e-08,4.5493249244337744e-08,4.5263339061236914e-08,4.6106708619065276e-08,4.7111896928449495e-08,4.930511168890836e-08,5.2058845933230617e-08,5.8219919012183515e-08,5.6634014640675016e-08,5.584583570381758e-08,5.652978951058217e-08,5.833619046742219e-08,6.08832276084488e-08,1.3162532244836066e-07,1.2783629005397434e-07,1.2621318778591275e-07,1.2597507645988981e-07,1.2833800570135438e-07,2.042793654809788e-07,2.0166373327773348e-07,1.9891709438369995e-07,1.9907615338423723e-07,1.753304683364383e-07,1.7621589907590093e-07,1.785073561175315e-07,2.900446502619299e-07,LC_V24_H3p5_T8,2.900446502619299e-07
4,"(4, 1)",45,1,single,,TY,3.2982879049796554e-08,1.1764421035644594e-10,1.2006706214599032e-10,2.731605387936518e-10,2.7767544432572056e-10,7.411957829212388e-10,5.218487074769714e-10,5.277323473229442e-10,8.425236710311671e-10,8.961098337288173e-10,9.004766115268909e-10,1.8110045638976991e-09,1.8308330131425712e-09,3.808958462111991e-09,3.8482427950021305e-09,4.6383922862783666e-09,4.776731230441778e-09,4.8821631233184905e-09,6.991717511883506e-09,7.0530249477292974e-09,5.8903622054734986e-09,5.942831588682616e-09,7.211071898578897e-09,7.377056222117868e-09,1.0132576507714996e-08,1.0671440767054242e-08,1.5744018161134367e-08,1.6143676523207518e-08,2.4554235933917523e-07,2.4525951153538977e-07,2.5286933672776895e-07,2.520995343011607e-07,2.6695403247331323e-07,2.893826403113152e-07,2.864108332074158e-07,3.276724370394068e-07,3.353687675227973e-07,3.327937324601516e-07,3.5092232003030744e-07,3.7869260739872535e-07,4.2392366981932806e-07,4.195726680814799e-07,4.549243535928805e-07,4.6170102273336797e-07,4.607073028120129e-07,4.794803663519886e-07,5.113295439082963e-07,5.616465069098242e-07,5.594969226244597e-07,6.300784972263728e-07,5.314969819734962e-07,5.46145800863441e-07,5.76309192734521e-07,6.314700863759126e-07,6.244411709925444e-07,7.008676949263981e-07,1.2707784123529036e-06,1.3161729445916137e-06,1.3964114802842336e-06,1.4950115291758973e-06,1.6438819328751e-06,1.5937802973177372e-06,1.6792526296578991e-06,1.7875266801333334e-06,1.949467483586291e-06,1.329948654057612e-06,1.4207075310425947e-06,1.5678800930813988e-06,1.9888793214912613e-06,LC_V24_H3p5_T8,1.9888793214912613e-06
5,"(5, 0)",40,2,thick,,K,4.308568512689367e-09,5.403283533461121e-10,5.435854907459648e-10,5.687571405444205e-10,5.697372662207322e-10,6.217924744365829e-10,9.87139920180723e-10,9.823544194192965e-10,1.0869129943965315e-09,1.0429380442435202e-09,1.0358579582389184e-09,1.1678501097526055e-09,1.1485691234639771e-09,1.7576090260205605e-09,1.750384020119321e-09,1.8960551967457953e-09,1.8637134806242697e-09,1.8082127265638188e-09,2.019465504902219e-09,1.96658209985133e-09,3.0688878835323774e-09,3.0673420840107838e-09,3.2369534280122307e-09,3.207273684925136e-09,3.507256581847211e-09,3.4577381316405893e-09,3.9195283395620336e-09,3.8704424737017716e-09,3.212366477500175e-08,3.198187685257671e-08,3.295397089940475e-08,3.2488547152434774e-08,3.370763492367048e-08,3.456973511978298e-08,3.390207142822853e-08,6.94410410594882e-08,7.012942604921557e-08,6.969869366388438e-08,7.128331866767717e-08,7.30964819288634e-08,7.635921488095378e-08,7.500122026632921e-08,1.2064352047551835e-07,1.22144684909884e-07,1.215496379947428e-07,1.2413230667230955e-07,1.2607890819676566e-07,1.3059816301765238e-07,1.2802435688016586e-07,1.3299567278655393e-07,1.3762278011432503e-07,1.358867765238924e-07,1.3550917836773328e-07,1.3899706578276462e-07,1.3654486999871194e-07,1.3997294482672813e-07,2.6957072128885006e-07,2.6699496865062894e-07,2.6881567034923355e-07,2.685474680048207e-07,2.74794357928108e-07,3.4716760303415395e-07,3.483539903378536e-07,3.47160180512947e-07,3.5338642035860236e-07,3.180417238772818e-07,3.1707589342993355e-07,3.2261936301328675e-07,4.553670783648873e-07,LC_V24_H3p5_T8,4.553670783648873e-07
5,"(5, 0)",40,2,thin,,K,1.402320661908323e-07,2.033568548325928e-08,2.047628288385021e-08,2.1376171260248508e-08,2.14196703909352e-08,2.3309791592563307e-08,3.3749917080398995e-08,3.3573868843335646e-08,3.7287866540462415e-08,3.571634305319399e-08,3.5474570069752747e-08,4.0102126774459506e-08,3.94620444774764e-08,5.385037493160696e-08,5.355992565088068e-08,5.855449855626617e-08,5.7440196019727946e-08,5.551954956225209e-08,6.268360559724349e-08,6.091923135398655e-08,8.877000699566084e-08,8.859453654386659e-08,9.412880593387048e-08,9.298734997848462e-08,1.0293446308323328e-07,1.0132795869528902e-07,1.1619638612518321e-07,1.1462466270898054e-07,9.281673367279587e-07,9.235820194155479e-07,9.575628714523175e-07,9.423393119788049e-07,9.837049338975646e-07,1.0184947826207688e-06,9.948229679875745e-07,2.103545659970138e-06,2.127835538740542e-06,2.1127530948824256e-06,2.1658222162909653e-06,2.2265492510393394e-06,2.3372199524048904e-06,2.289388664562299e-06,3.6573126182614705e-06,3.7097524546140173e-06,3.6897584488586926e-06,3.780113923682216e-06,3.853009104603829e-06,4.010289808255996e-06,3.927959044192894e-06,4.099277739847841e-06,3.960705849828174e-06,3.936164088977797e-06,3.943384216142567e-06,4.0645384483323956e-06,3.995354162628612e-06,4.125484670704137e-06,7.560996237582182e-06,7.545276307692394e-06,7.640385136002921e-06,7.68510584904647e-06,7.889741884480778e-06,9.589906599371887e-06,9.68316734348649e-06,9.704604719982441e-06,9.910052129772575e-06,8.79965832460996e-06,8.802553912992124e-06,9.002385053516305e-06,1.261197324423447e-05,LC_V24_H3p5_T8,1.261197324423447e-05
5,"(5, 0)",40,2,thick,,Y,2.0932933078927832e-08,1.1842235775718127e-09,1.189524128746148e-09,1.2504353007917372e-09,1.2483459552698387e-09,1.3697101044788962e-09,3.7631345861242754e-09,3.743148750119316e-09,4.081302114947453e-09,3.930928488583933e-09,3.897613583510242e-09,4.32075187478355e-09,4.241107312848809e-09,1.1306083960994307e-08,1.1267605739338816e-08,1.1713148798944633e-08,1.1588709987679668e-08,1.1328542516136419e-08,1.2123057875263257e-08,1.1871833183518923e-08,2.6333450563914467e-08,2.628757977813934e-08,2.719790001396389e-08,2.701325191698022e-08,2.835372930724864e-08,2.8064521050702644e-08,3.0046198408673856e-08,2.985205779680168e-08,2.624364237485111e-07,2.615395808633233e-07,2.6414090294577626e-07,2.6172927177495167e-07,2.647454788192319e-07,2.654928601966275e-07,2.622713976137031e-07,4.647370620346235e-07,4.649445062231082e-07,4.63110798394788e-07,4.6607602634565084e-07,4.69865716094079e-07,4.803967789179559e-07,4.7457179028656276e-07,7.77298707156842e-07,7.822289621731493e-07,7.778197783409756e-07,7.84178066941958e-07,7.850823148411834e-07,7.989031317122963e-07,7.861643703252356e-07,8.018087557362612e-07,1.0405204974401689e-06,1.0202405090718242e-06,1.0036333229048431e-06,1.0098354409880833e-06,9.946453663036732e-07,9.995028336301736e-07,2.181782514988064e-06,2.14103013020715e-06,2.1319073697462024e-06,2.107050897022814e-06,2.1194426625758273e-06,3.0454189815830892e-06,3.0203515751504908e-06,2.9833648963508684e-06,2.978903411724302e-06,2.9241344585026488e-06,2.8759109708055923e-06,2.868125438512039e-06,4.1823736264643695e-06,LC_V24_H3p5_T8,4.1823736264643695e-06
5,"(5, 0)",40,2,thin,,Y,6.080392541044662e-07,4.093910281247439e-08,4.1124240959025746e-08,4.3228309965864004e-08,4.319327118211966e-08,4.737197721727831e-08,1.1462000642066348e-07,1.1406452750622755e-07,1.2485449886962675e-07,1.2011139371867723e-07,1.1917078067203428e-07,1.326921264925189e-07,1.3034780452480388e-07,3.1093934225473483e-07,3.100073660267009e-07,3.2424475533258885e-07,3.2052113839450556e-07,3.132203448628216e-07,3.3770942762047976e-07,3.3026393801388333e-07,6.851501800202627e-07,6.844608366497139e-07,7.098985244899376e-07,7.053948674616898e-07,7.441196730501304e-07,7.37826165006732e-07,7.968068307555782e-07,7.917772125475378e-07,6.915959225493586e-06,6.88858323040347e-06,6.982466521392853e-06,6.911899773704947e-06,7.016900486290095e-06,7.059711323986212e-06,6.962267103831303e-06,1.2266257426221675e-05,1.2281742795818064e-05,1.2220110900370208e-05,1.231970569274449e-05,1.2420164965033822e-05,1.27160426339641e-05,1.2565819183504998e-05,1.9841798656185936e-05,1.991760183805463e-05,1.9797482034700933e-05,1.992866424308103e-05,1.9888583383016208e-05,2.0203563841585353e-05,1.9863904860464036e-05,2.0221317649725586e-05,2.5036999438486285e-05,2.4647736704410332e-05,2.4345266982431966e-05,2.4611324379723584e-05,2.4233790584593186e-05,2.446844257491579e-05,4.9003369875633294e-05,4.829814275434525e-05,4.821867735901371e-05,4.780928404013521e-05,4.809856567150414e-05,6.610051389700399e-05,6.561478344511573e-05,6.478693660896293e-05,6.468972901656018e-05,6.458070859675914e-05,6.376110639258679e-05,6.364989079830232e-05,8.961308099033997e-05,LC_V24_H3p5_T8,8.961308099033997e-05
5,"(5, 1)",48,2,thick,,K,1.1429728878616359e-08,1.2134160389729398e-10,1.2232886894926508e-10,1.7827635944830183e-10,1.7533358182252681e-10,3.027125999792407e-10,4.424540066300024e-10,4.417667878734206e-10,6.040665198168697e-10,5.83420533472477e-10,5.718100090919084e-10,9.06901677815964e-10,8.736242862336716e-10,1.8237626516984067e-09,1.8254975803839186e-09,2.1591871139681976e-09,2.155208312799443e-09,2.1069054711459086e-09,2.7879064550006735e-09,2.7086328962795563e-09,2.6789318198657534e-09,2.691444786069896e-09,3.144182135262297e-09,3.1665160597673606e-09,4.0763698530020105e-09,4.0276747970034194e-09,5.5871515554981795e-09,5.460946642031357e-09,8.857265099882706e-08,8.823498450903389e-08,9.120620197720119e-08,9.019583140095549e-08,9.474156866247913e-08,9.980946953949934e-08,9.734532832745782e-08,1.299181651596453e-07,1.3276569307205983e-07,1.3136558444859774e-07,1.372580802197277e-07,1.4424990192009973e-07,1.575299163120432e-07,1.5266429516111092e-07,1.9964934714305995e-07,2.0278999201078435e-07,2.0174128464331986e-07,2.0894256801207092e-07,2.177503820923167e-07,2.3316050217212906e-07,2.2822024322127224e-07,2.474906716823305e-07,2.3263520397417684e-07,2.3621302637234466e-07,2.429337334749809e-07,2.578563048659066e-07,2.5198889118762814e-07,2.7158055912881763e-07,5.15623221346482e-07,5.245384807757566e-07,5.469752681065236e-07,5.658624646836994e-07,6.030705718142377e-07,6.556547348274279e-07,6.80802436789953e-07,7.048566903622293e-07,7.479230510033635e-07,5.852095419138425e-07,5.981143244352712e-07,6.367405991618223e-07,8.305175272926084e-07,LC_V24_H3p5_T8,8.305175272926084e-07
5,"(5, 1)",48,2,thin,,K,1.7049650123167866e-07,7.032147085274732e-10,7.106060726211112e-10,1.2601464139351312e-09,1.2563172533687193e-09,2.680953751598494e-09,1.745142841069727e-09,1.7469268464817282e-09,2.5898225942874324e-09,2.659194442862787e-09,2.6609052528698996e-09,5.060181927718552e-09,5.035000313867739e-09,1.2097444763057322e-08,1.216403775270784e-08,1.4529484222166976e-08,1.4840792829091193e-08,1.4981803590533618e-08,2.088218777892346e-08,2.0779723353215365e-08,2.2533033989235172e-08,2.2757896061790935e-08,2.6061184497691645e-08,2.682333331568393e-08,3.4771497656553777e-08,3.706169391177068e-08,5.153625168221097e-08,5.2688210581958e-08,6.4741256502442e-07,6.449571117052011e-07,6.675683353339579e-07,6.620363318044931e-07,6.997817734673461e-07,7.533180889483986e-07,7.42987718048047e-07,9.626955865575745e-07,9.842349839793789e-07,9.780974766431474e-07,1.02746861982412e-06,1.1090148863476044e-06,1.2343595145228888e-06,1.2248790081417842e-06,1.6998489277225544e-06,1.742175945539724e-06,1.7346334716668522e-06,1.809605931806183e-06,1.9083781526195976e-06,2.0669145754541855e-06,2.046083292225392e-06,2.2636576887581574e-06,2.325249707683263e-06,2.366161138371396e-06,2.452229224955033e-06,2.620953511227161e-06,2.5931111381314e-06,2.819651944175548e-06,5.071308084060319e-06,5.212461133411096e-06,5.4488618155018515e-06,5.768392683753787e-06,6.202425356344646e-06,7.082077713886191e-06,7.3373214218253274e-06,7.63870335043145e-06,8.124435550542077e-06,6.61747054036406e-06,6.933131907154374e-06,7.423843806208516e-06,1.0578700530063556e-05,LC_V24_H3p5_T8,1.0578700530063556e-05
