node,sub_joint_id,brace_member,brace_end,chord_t_scenario,direction,treatment,LC_V26_H3p5_T8,LC_V2_H0p5_T5,LC_V2_H0p5_T6,LC_V2_H1p0_T7,LC_V2_H1p0_T8,LC_V2_H1p5_T8,LC_V4_H0p5_T5,LC_V4_H0p5_T6,LC_V4_H1p0_T5,LC_V4_H1p0_T7,LC_V4_H1p0_T8,LC_V4_H1p5_T7,LC_V4_H1p5_T8,LC_V6_H0p5_T5,LC_V6_H0p5_T6,LC_V6_H1p0_T5,LC_V6_H1p0_T6,LC_V6_H1p0_T8,LC_V6_H1p5_T7,LC_V6_H1p5_T8,LC_V8_H0p5_T5,LC_V8_H0p5_T6,LC_V8_H1p0_T5,LC_V8_H1p0_T6,LC_V8_H1p5_T6,LC_V8_H1p5_T8,LC_V8_H2p0_T7,LC_V8_H2p0_T8,LC_V10_H0p5_T5,LC_V10_H0p5_T6,LC_V10_H1p0_T5,LC_V10_H1p0_T6,LC_V10_H1p5_T6,LC_V10_H2p0_T7,LC_V10_H2p0_T8,LC_V12_H0p5_T5,LC_V12_H1p0_T5,LC_V12_H1p0_T6,LC_V12_H1p5_T6,LC_V12_H2p0_T7,LC_V12_H2p5_T7,LC_V12_H2p5_T8,LC_V14_H0p5_T5,LC_V14_H1p0_T5,LC_V14_H1p0_T6,LC_V14_H1p5_T6,LC_V14_H2p0_T7,LC_V14_H2p5_T7,LC_V14_H2p5_T8,LC_V14_H3p0_T8,LC_V16_H1p0_T5,LC_V16_H1p5_T6,LC_V16_H2p0_T7,LC_V16_H2p5_T7,LC_V16_H2p5_T8,LC_V16_H3p0_T8,LC_V18_H1p5_T6,LC_V18_H2p0_T7,LC_V18_H2p5_T7,LC_V18_H3p0_T8,LC_V18_H3p5_T8,LC_V20_H2p0_T7,LC_V20_H2p5_T7,LC_V20_H3p0_T8,LC_V20_H3p5_T8,LC_V22_H2p5_T7,LC_V22_H3p0_T8,LC_V22_H3p5_T8,LC_V24_H3p5_T8,worst_bin,worst_bin_contribution
3,"(3, 1)",33,2,single,,TY,6.227368967393322e-05,2.374707516852839e-07,4.2747713270461535e-07,5.738244445757993e-07,1.2751269860038024e-07,3.7084503016830114e-07,1.7233191260754977e-06,1.3808861982509486e-06,3.872632457664249e-07,3.829421381255537e-06,4.467336224348261e-07,1.5582063960167538e-06,1.1780096694503073e-06,2.2825153569965388e-05,1.0154674710743046e-05,7.058027942028578e-06,3.607786620421878e-05,2.122435320616989e-06,1.719289122749835e-05,5.0655683729841e-06,3.529882279302761e-05,8.59068512523454e-06,2.481814992052728e-05,5.8006309771254193e-05,4.7623072960409105e-05,6.202587814070213e-06,1.334989538201723e-05,9.00698107563926e-06,0.0008959543215273447,0.00011097623926516686,0.0009716187679363641,0.0012156802149620402,0.001988719109988844,0.0005995709866418285,0.00018453756842610704,0.0006249722331174747,0.001059866019764481,0.0009636568269686798,0.002725312875463444,0.001272439195120666,0.00028374014264931705,0.00033413634096432076,0.00040276023185132124,0.0007334123662397865,0.0006233022702452195,0.002863164523649648,0.0021023604644914984,0.0007036458492081137,0.00046377095580832627,0.0003705457400827187,0.0002979259482531291,0.0014209438913427635,0.003315281864619593,0.0013595876435629273,0.0005614033733410301,0.0007171142352972149,0.0010671056309216847,0.005400338413143447,0.0028588484875983356,0.0015690492921903922,0.000893120639040487,0.0011874187710345602,0.005020372812163585,0.0018759984753685375,0.0013838218111420241,0.0009493831308268973,0.0010800011017872277,0.0032405914298106837,0.00367070394036584,LC_V18_H2p0_T7,0.005400338413143447
3,"(3, 0)",36,2,single,,TY,5.297641678723037e-06,3.0013958258632283e-07,5.273161816675186e-07,3.078154822095199e-07,6.208335401214714e-08,6.892285730177126e-08,1.6336685102281316e-06,1.2730236507272849e-06,2.5575454837835774e-07,2.1170334245603304e-06,2.3041177684662128e-07,4.625700751819185e-07,3.100538787684744e-07,8.029880002660388e-06,3.512578891592679e-06,2.1739050984765315e-06,1.054438858278348e-05,5.683261481606029e-07,3.5048912363106947e-06,9.593780446695809e-07,1.4811020455943455e-05,3.558270379598098e-06,9.068773052271675e-06,2.0370977345832218e-05,1.3267976480156444e-05,1.5011664175575488e-06,2.49924899210882e-06,1.5294124863603351e-06,0.00011954130192304222,1.4765380976708651e-05,0.00012624452223388173,0.00015670479271032587,0.00024411498620522748,6.706021118737538e-05,2.0124478461223863e-05,8.910227744577199e-05,0.00014770110915236968,0.00013438757590732004,0.0003630778636233536,0.00015671117603150144,3.182901688307782e-05,3.650648412490301e-05,5.5050005275755334e-05,9.887391077709357e-05,8.408357524298554e-05,0.0003749673747111612,0.00025851067599508016,8.014246070342607e-05,5.1213045673288515e-05,3.6761302981712624e-05,4.753986586994763e-05,0.00021667290902650446,0.0004687639788736623,0.00017153182318531442,6.901525797662021e-05,7.851409888459138e-05,0.00016463960457641807,0.0007774163161558326,0.0003839233774721507,0.0001872335942579134,9.585389181516666e-05,0.00022393274547345793,0.0008862046918852456,0.00029750444004520067,0.00019857431193214353,0.00018079846346503317,0.00018402071909216831,0.0004936687872770829,0.0006938080590435798,LC_V20_H2p5_T7,0.0008862046918852456
4,"(4, 0)",37,1,single,,TY,2.8332813764889115e-05,7.383016483230245e-07,1.2869204598669784e-06,7.481887925188988e-07,1.5064293157005296e-07,2.1686106462614176e-07,5.710190656812161e-06,4.444298360157301e-06,8.752164164252717e-07,7.267320309785773e-06,7.911794869692256e-07,1.5569510335132878e-06,1.1168349383980286e-06,3.738460224194375e-05,1.63492834648927e-05,9.938620393703282e-06,4.8192413107821296e-05,2.614983528876386e-06,1.5749123022483223e-05,4.427824844068959e-06,8.950271402649064e-05,2.1593684034087343e-05,5.3899432654998694e-05,0.00012315036613516715,7.973443152849922e-05,1.0234965315313675e-05,1.6414668472248844e-05,1.135440248912419e-05,0.0006713895729642233,8.303822262249444e-05,0.0007039296638018713,0.0008781414587523086,0.001361618250342258,0.00038510009887492836,0.0001214809748911301,0.0006304479192919951,0.001041856777541448,0.0009509362977275268,0.0025637923383960157,0.0011328544027731375,0.0002333801811839002,0.00028488788797806694,0.00032228450099583774,0.0005734373975148477,0.0004887218299343721,0.0021610537201431374,0.001521099093084912,0.0004757562875229561,0.00032350814388513056,0.00024163618310714543,0.00025109505854991395,0.0011408507688376811,0.0024930058540079438,0.0009112983079887148,0.00038659953450189175,0.00045711608265921463,0.0008342173378690242,0.003941755941221717,0.001943364908456648,0.0009706775202974594,0.0005079424475270997,0.0011523237626083285,0.004576793516227752,0.001556258720060506,0.0010496785886805835,0.0009106410296215519,0.0009546298970629969,0.002619467639757795,0.00373370736706194,LC_V20_H2p5_T7,0.004576793516227752
4,"(4, 1)",45,1,single,,TY,0.0003881542295800685,2.406982191396068e-06,4.313177238030637e-06,5.499027312559121e-06,1.1391601782409368e-06,3.1089686885324065e-06,1.630360984336452e-05,1.2969276274720414e-05,3.7777152188825865e-06,3.5160317439841444e-05,3.907321098439139e-06,1.4240113608393125e-05,9.96648004198203e-06,0.0001961790077033225,8.73365398268197e-05,6.214903435554745e-05,0.0003161188996307143,1.7974757614384152e-05,0.00014902516566684881,4.228954261718779e-05,0.0002452916641501548,5.970071151552501e-05,0.0001797756568118088,0.0004171039227378997,0.0003582642052163507,4.4060095238842815e-05,0.00010102483026276883,6.495559999671863e-05,0.00736774845409376,0.0009126516007616117,0.008046448958892909,0.010050645746426716,0.016568042864520332,0.004977060777389157,0.0015064064183377243,0.0050884151169394,0.008669595874893177,0.007872252713825242,0.022411546235583335,0.010441862811556206,0.0023411523804708245,0.0026922769741504486,0.0031823177731089623,0.005809857757760451,0.004949255545259604,0.022892319721236305,0.016869191681681123,0.0056717490580663905,0.0036710556927589213,0.00292457046249044,0.0022922784516379966,0.011001707379667786,0.025726935108028808,0.01017972340321793,0.004138231586520007,0.005262170022055296,0.008053962295821653,0.040583409623580376,0.0215012164430354,0.011519533265920449,0.006506236464147782,0.008990388748525868,0.03811093062004359,0.013984992048658556,0.010279052724612131,0.0069075604666203995,0.007696523930179781,0.02300751776382288,0.025602586940124537,LC_V18_H2p0_T7,0.040583409623580376
5,"(5, 0)",40,2,thick,,K,5.0704763799150474e-05,1.105503381823833e-05,1.9527258547880663e-05,1.1449717678399455e-05,2.3373402978233592e-06,2.6081278095909546e-06,3.0840249077644235e-05,2.414183236970495e-05,4.873510266492118e-06,4.0921359553774005e-05,4.494763776651568e-06,9.182924533695931e-06,6.252449657433123e-06,9.052500784267642e-05,3.97252699034275e-05,2.5404923147868657e-05,0.00012333853974601466,6.6573329596445425e-06,4.304395606873799e-05,1.179151614211098e-05,0.0001277973390740564,3.0814015531870556e-05,8.069888038487263e-05,0.00018134149923724663,0.00012400838926097244,1.4276260789583822e-05,2.5150484530807774e-05,1.5573089114531606e-05,0.0009639032634646685,0.00011900990474187231,0.0010486144673221807,0.0012952458605303301,0.0020920063844055395,0.0005945611407937545,0.0001783113348839108,0.0010783477739405194,0.0018129111642561525,0.0016487261532525618,0.0045524872627323715,0.002015522408930864,0.0004216998729172577,0.0004812612300975978,0.0008439337581897383,0.001537019002019222,0.0013057753072241772,0.005926575208276574,0.004159449213773093,0.0013188366685586775,0.0008400127420400332,0.0006173123158190503,0.0005935494349172293,0.002737339643953397,0.006049245582683118,0.0022407263844405035,0.000904895961788984,0.001050927927621716,0.001708490169657457,0.008232630996335796,0.004139083639073246,0.002069242564882097,0.0010875945747314043,0.001958345022475023,0.007905954424311907,0.0027160614820710208,0.0018633178945594,0.0016518625977686395,0.0017177231401566012,0.004734208156756066,0.005861881657438086,LC_V18_H2p0_T7,0.008232630996335796
5,"(5, 0)",40,2,thin,,K,0.0016503007373172122,0.0004160649526205494,0.0007355709024237871,0.0004303262474044427,8.787394074276697e-05,9.777364343854616e-05,0.0010544157194238353,0.000825093975855887,0.00016719167158492425,0.0014013884373024399,0.00015393019020956903,0.00031532711324450607,0.00021481897905341557,0.0027735437977648167,0.0012155518320738005,0.0007845618304451543,0.003801329964853306,0.00020440743601433475,0.0013360715293270085,0.0003652682997215475,0.0036966390152294855,0.0008900061846156905,0.0023466785728495816,0.005257569858928505,0.003639521850913977,0.00041836145726968757,0.0007455987452060966,0.0004612031051278778,0.02785060581287119,0.003436802932442496,0.030470205956078186,0.03756896506725061,0.06105195474986604,0.01751698176885808,0.005232370882427447,0.03266589534376081,0.055006536074836195,0.04997728220985161,0.1383195709360021,0.06139365112571842,0.0129074841647522,0.014690347716560878,0.02558388192452068,0.04668201501961377,0.03963808985058309,0.18047783099444825,0.12711401074153728,0.04049763892896622,0.02577271800257409,0.019027195259444518,0.01708201735996014,0.07929114430034459,0.176036043002109,0.0655230992860324,0.026477595589739427,0.030974464820935646,0.047920218052480625,0.23265410550829188,0.11764266968351712,0.059216153690139654,0.031226407027750362,0.05409590552443547,0.2197611677315437,0.07592547924051424,0.052253217457206215,0.04570414938756706,0.04768684993759658,0.13210355495265347,0.16235230462848182,LC_V18_H2p0_T7,0.23265410550829188
5,"(5, 0)",40,2,thick,,Y,0.00024634618766406575,2.4229029658241183e-05,4.2731356164588634e-05,2.5172661842039258e-05,5.12132430134305e-06,5.745291494249969e-06,0.00011756794105492468,9.198968098873098e-05,1.8299779154720424e-05,0.00015423633163002816,1.6912407933160135e-05,3.397451270811428e-05,2.3087256503452682e-05,0.0005823157050781981,0.0002557202728176931,0.00015694250123491209,0.0007669282764117238,4.170852155250977e-05,0.00025839726865097706,7.118284694572118e-05,0.001096600800819374,0.00026408071528810417,0.0006780573550897267,0.0015273481726624035,0.0010025215489314623,0.00011587240161084636,0.00019279780188331843,0.00012011256063886445,0.007874672054853453,0.0009732324575024301,0.008405116733458309,0.01043456188593272,0.016430972780692058,0.004566183029292895,0.0013794426428890328,0.007216887429486745,0.01201924974403616,0.010954909554679428,0.0297658023372249,0.01295582023903143,0.002653029643316725,0.0030451905015932705,0.005437412772615629,0.009843250892799308,0.008355910200836284,0.03743981252746011,0.02590052582083742,0.008067668950183668,0.0051583003773978545,0.0037216731151991627,0.004487631718835776,0.02055199823919926,0.04480304964096329,0.016279227937815128,0.006591610328449608,0.0075043462356192,0.01382774049557662,0.06601739015201,0.03282599895561238,0.016235488775542446,0.008388434022633076,0.017178967887010663,0.06854740453921447,0.023340817688159956,0.0157070099852659,0.015187530377966276,0.01557992558231057,0.04208768723235019,0.05383915616727802,LC_V20_H2p5_T7,0.06854740453921447
5,"(5, 0)",40,2,thin,,Y,0.0071556217962365646,0.0008376076570431872,0.0014773089044194671,0.0008702342520916943,0.00017719987670539172,0.0001987032269691676,0.0035809609914745225,0.002803190628503272,0.0005598237257221222,0.00471276463256455,0.000517102276368671,0.0010433717252075782,0.0007095725186224115,0.01601481670809151,0.0070356711132576666,0.004344500679337706,0.021211741814555495,0.0011531896080883475,0.007198117388590116,0.0019802440775507153,0.028531628784012733,0.006875981313405814,0.01769812800439049,0.03988351958269116,0.026310331143137345,0.003046326340513485,0.005112879952591287,0.0031857900417429975,0.20752039700742658,0.02563356859373079,0.22218613454130295,0.2755620166173213,0.4354918596127583,0.12141921261241588,0.03661874005931112,0.19048233131781617,0.31749452241966825,0.2890673465739132,0.7867942219174792,0.3424668349156067,0.07022536272947745,0.08063124274462671,0.13879869920206048,0.25063499506613135,0.21267906357108887,0.9514745242662813,0.6561410921043298,0.20402431561190848,0.13033405202011056,0.09385920733901333,0.10798137384226322,0.4965106137670785,1.086793533299033,0.3967511370337761,0.16059965664799516,0.18371099985943115,0.3105744396584464,1.489244494435297,0.742446072043189,0.3683855456444304,0.19036686004439698,0.3728677769524017,1.4891389272592213,0.5068706405353959,0.34109270398233865,0.3354228362488205,0.345418652637923,0.934016574143275,1.1535776315011987,LC_V18_H2p0_T7,1.489244494435297
5,"(5, 1)",48,2,thick,,K,0.0001345091069973092,2.4826302864484266e-06,4.394428277627538e-06,3.588902606940539e-06,7.193039154239344e-07,1.2697373847035244e-06,1.3823158694030696e-05,1.0856631301814277e-05,2.708518898153559e-06,2.2891447438374723e-05,2.481180837151336e-06,7.1310603966380616e-06,4.755736296230231e-06,9.393222605483327e-05,4.1429985223392025e-05,2.8930583237437617e-05,0.00014262935205046438,7.757036011227314e-06,5.942291298439905e-05,1.6240811162650027e-05,0.00011155844433964662,2.703781292391326e-05,7.838604529988524e-05,0.0001790370345804884,0.00014413090337306493,1.662940731442056e-05,3.585114243198383e-05,2.1972632143197514e-05,0.0026577125601785225,0.00032833711260052813,0.0029022342465116883,0.003595906480860408,0.005879972503538667,0.0017166122871871388,0.0005119974888710972,0.002017495159301012,0.0034321171690700762,0.0031074595997763865,0.008765945155002283,0.003977467890848479,0.0008699715652265636,0.0009796028147318423,0.0013966006892907386,0.002551826723936962,0.0021672527560001854,0.009975757937077107,0.007183768233296868,0.0023545554762710976,0.0014974331210801377,0.0011487519592086903,0.0010033258574345162,0.0047583385083355785,0.01084476957066527,0.004156817429587894,0.0016699545728339658,0.002039048292803334,0.0032679261334677178,0.01617383195432439,0.008422040204189567,0.004360147971201814,0.002386862259584409,0.0036984965624374693,0.015450929762571987,0.005514555569835908,0.0039436105192549335,0.0030394935053169206,0.0032402173638237455,0.009343712386430742,0.010691144992076728,LC_V18_H2p0_T7,0.01617383195432439
5,"(5, 1)",48,2,thin,,K,0.0020064633527523317,1.438766323497757e-05,2.5527150267981114e-05,2.5368157416351386e-05,5.154026456138131e-06,1.1245343620646184e-05,5.45217945241286e-05,4.293156752410162e-05,1.1612269856669339e-05,0.0001043377912239411,1.1546120246095483e-05,3.9788726636207604e-05,2.7408960718597418e-05,0.0006230744527590393,0.00027606495334027344,0.00019467810360998173,0.0009821475968506213,5.515880591533943e-05,0.00044509399699730966,0.00012459405756137153,0.0009383404980487434,0.0002286220915417976,0.0006497184643644396,0.0015166100420020902,0.001229438826602723,0.00015301980295920402,0.0003306932846042633,0.00021199596796830269,0.019426273079548917,0.0023999931204927083,0.021242411619961033,0.02639391088395255,0.04343075214560047,0.0129562364534699,0.003907818201845509,0.014949669920089389,0.025443393611341982,0.02313694569296496,0.06561896797220114,0.030579369845006008,0.006816849167713815,0.007859695830091483,0.011890898808931898,0.021922833033062052,0.018634704238980056,0.0863978599906671,0.06295900020094687,0.020872596290032963,0.013425070655526367,0.010506986737166797,0.010028504357275331,0.04766458410253849,0.10946960925798002,0.04225153712364841,0.017184796451066048,0.021170169549373605,0.032141027658703,0.16072313763435675,0.08389873537809163,0.04444727690362562,0.024548262994183303,0.03994944089989261,0.16652178636225323,0.05976257966111977,0.04283810942468518,0.034370182453422576,0.03755946559623523,0.10893959238394472,0.13617824727113978,LC_V20_H2p5_T7,0.16652178636225323
