node,sub_joint_id,brace_member,brace_end,chord_t_scenario,direction,treatment,LC_V26_H3p5_T8,LC_V2_H0p5_T5,LC_V2_H0p5_T6,LC_V2_H1p0_T7,LC_V2_H1p0_T8,LC_V2_H1p5_T8,LC_V4_H0p5_T5,LC_V4_H0p5_T6,LC_V4_H1p0_T5,LC_V4_H1p0_T7,LC_V4_H1p0_T8,LC_V4_H1p5_T7,LC_V4_H1p5_T8,LC_V6_H0p5_T5,LC_V6_H0p5_T6,LC_V6_H1p0_T5,LC_V6_H1p0_T6,LC_V6_H1p0_T8,LC_V6_H1p5_T7,LC_V6_H1p5_T8,LC_V8_H0p5_T5,LC_V8_H0p5_T6,LC_V8_H1p0_T5,LC_V8_H1p0_T6,LC_V8_H1p5_T6,LC_V8_H1p5_T8,LC_V8_H2p0_T7,LC_V8_H2p0_T8,LC_V10_H0p5_T5,LC_V10_H0p5_T6,LC_V10_H1p0_T5,LC_V10_H1p0_T6,LC_V10_H1p5_T6,LC_V10_H2p0_T7,LC_V10_H2p0_T8,LC_V12_H0p5_T5,LC_V12_H1p0_T5,LC_V12_H1p0_T6,LC_V12_H1p5_T6,LC_V12_H2p0_T7,LC_V12_H2p5_T7,LC_V12_H2p5_T8,LC_V14_H0p5_T5,LC_V14_H1p0_T5,LC_V14_H1p0_T6,LC_V14_H1p5_T6,LC_V14_H2p0_T7,LC_V14_H2p5_T7,LC_V14_H2p5_T8,LC_V14_H3p0_T8,LC_V16_H1p0_T5,LC_V16_H1p5_T6,LC_V16_H2p0_T7,LC_V16_H2p5_T7,LC_V16_H2p5_T8,LC_V16_H3p0_T8,LC_V18_H1p5_T6,LC_V18_H2p0_T7,LC_V18_H2p5_T7,LC_V18_H3p0_T8,LC_V18_H3p5_T8,LC_V20_H2p0_T7,LC_V20_H2p5_T7,LC_V20_H3p0_T8,LC_V20_H3p5_T8,LC_V22_H2p5_T7,LC_V22_H3p0_T8,LC_V22_H3p5_T8,LC_V24_H3p5_T8,worst_bin,worst_bin_damage
3,"(3, 1)",33,2,single,,TY,2.0446205221676385e-09,4.491921283126407e-12,4.604898790415779e-12,1.1012763806326753e-11,1.2006490246784283e-11,3.410545517860416e-11,2.125902957458974e-11,2.1655054259361312e-11,3.327662354267258e-11,3.760341863154816e-11,3.9666077087088555e-11,7.632404313102433e-11,8.334681646640434e-11,1.7079337534329435e-10,1.724264801811188e-10,2.0298535974279307e-10,2.1004593985776756e-10,2.2208850917290093e-10,3.107025710658126e-10,3.253989252963404e-10,3.2652604222114403e-10,3.2940004679320966e-10,3.8342990335124637e-10,3.95132212773774e-10,5.1868334226926e-10,5.785608475255096e-10,8.010937058010216e-10,8.619988876599086e-10,1.1497294499038778e-08,1.1483265858546177e-08,1.1756851869614774e-08,1.1740523614734209e-08,1.2337075983336327e-08,1.3420712273394886e-08,1.3507254145091117e-08,1.5499902396641787e-08,1.5790238187820663e-08,1.568903134181441e-08,1.6434019679636003e-08,1.777126099403607e-08,1.97849351053425e-08,2.0051958568951415e-08,2.2189484010320325e-08,2.2462272070298378e-08,2.23605421389097e-08,2.311150625282821e-08,2.455575757953309e-08,2.6849043983816107e-08,2.7233586603267755e-08,3.075607536466939e-08,2.663259253612915e-08,2.7194901610400636e-08,2.863097800613416e-08,3.250957499730605e-08,3.265315471972279e-08,3.6808090146305986e-08,6.491018913158735e-08,6.751662559809268e-08,7.156787623252252e-08,7.849086579665612e-08,8.69718732242704e-08,8.117158920258875e-08,8.529481455879084e-08,9.244192634131742e-08,1.0116824777564548e-07,7.048445667625596e-08,7.686719687225974e-08,8.51381397190457e-08,1.1000782599414293e-07,LC_V24_H3p5_T8,1.1000782599414293e-07
3,"(3, 0)",36,2,single,,TY,1.7748706507024845e-10,5.89762246997299e-12,5.902081192472681e-12,6.149150426822114e-12,6.087209017255224e-12,6.612373010816931e-12,2.074995633340888e-11,2.0556299449872216e-11,2.265351259703653e-11,2.1427810601926714e-11,2.10895278051695e-11,2.338637246826441e-11,2.2640354326682326e-11,6.120240665712417e-11,6.075589353713797e-11,6.375974282251684e-11,6.260091734102027e-11,6.063454151513782e-11,6.468039313711946e-11,6.292346523030391e-11,1.3863099082598602e-10,1.380521891836546e-10,1.418881425418305e-10,1.4051408678090304e-10,1.4654255237589798e-10,1.4190114138564952e-10,1.5229410035525922e-10,1.4859432816656783e-10,1.5572396907949032e-09,1.5509371537074588e-09,1.5511128736057779e-09,1.5368077738639505e-09,1.5384319422722699e-09,1.52568251113684e-09,1.496744951971104e-09,2.250754930035734e-09,2.241730513418254e-09,2.228676621619271e-09,2.2309259720798285e-09,2.2311345899481047e-09,2.2639521201296136e-09,2.2346123426008454e-09,3.0878398208379133e-09,3.0839106442052972e-09,3.0719641438779344e-09,3.0838025558088564e-09,3.0781852018622915e-09,3.119031160723611e-09,3.067291770188805e-09,3.114238520555917e-09,4.3135670089259926e-09,4.2100406780392405e-09,4.1108938501041905e-09,4.167422442000756e-09,4.0779465026586665e-09,4.097103671867269e-09,1.0155996567188906e-08,9.859746626019142e-09,9.753942133314356e-09,9.507919060610154e-09,9.48149863193503e-09,1.549251197984023e-08,1.5242319262152992e-08,1.4847800315353155e-08,1.4710610177854757e-08,1.3577794296300785e-08,1.3252145476335273e-08,1.3130537473577299e-08,2.1000852813811147e-08,LC_V24_H3p5_T8,2.1000852813811147e-08
4,"(4, 0)",37,1,single,,TY,8.452289388535989e-10,1.433596272182432e-11,1.4230126362160971e-11,1.4742773888164103e-11,1.4519677054769502e-11,1.886547357132792e-11,7.333372034842702e-11,7.256662546814726e-11,7.827765349543614e-11,7.430586316831914e-11,7.297911102931789e-11,7.896998608424754e-11,7.745215745959794e-11,2.9298912258499364e-10,2.90792214522775e-10,2.992414520781191e-10,2.938218289443915e-10,2.849269023954968e-10,2.950324774884847e-10,2.9020250064634007e-10,7.718872697392835e-10,7.703305955275923e-10,7.789124192463658e-10,7.767177907964006e-10,7.961964271834202e-10,8.578732260075279e-10,8.828850117858679e-10,9.764546103598436e-10,7.961035715139128e-09,7.946135749383434e-09,7.860202661114159e-09,7.81695922245274e-09,7.740142030632181e-09,7.813360728056315e-09,8.012624746935306e-09,1.415037274505418e-08,1.404723612199332e-08,1.4010707912902558e-08,1.399446255242395e-08,1.432999847584463e-08,1.4747684290927403e-08,1.5504625161062036e-08,1.620358454426297e-08,1.604732858722234e-08,1.6019761733981472e-08,1.5947763691110466e-08,1.6109344149603167e-08,1.641651859572131e-08,1.71441875445871e-08,1.812330849700515e-08,2.2349945048753602e-08,2.1707229435955874e-08,2.108724327846973e-08,2.0873059597256527e-08,2.080795995939517e-08,2.12066499572085e-08,5.2502551755012356e-08,5.070522524337255e-08,4.986858429337893e-08,4.88875124356613e-08,4.8704496949105006e-08,8.15149169767444e-08,7.981707235322366e-08,7.723792874933986e-08,7.694714511897634e-08,7.04007827988045e-08,6.841646000122249e-08,6.749384529779483e-08,1.1020007962857568e-07,LC_V24_H3p5_T8,1.1020007962857568e-07
4,"(4, 1)",45,1,single,,TY,1.3291747123960216e-08,4.70859569883471e-11,4.805914357998665e-11,1.0967054725296706e-10,1.1148107207242081e-10,2.982583633285518e-10,2.097733586072586e-10,2.1218010998883087e-10,3.3895615077409924e-10,3.606376986481079e-10,3.624269464748414e-10,7.29593158590446e-10,7.375456769141366e-10,1.5366504874107214e-09,1.552492945267754e-09,1.8712239666118858e-09,1.92738185177167e-09,1.969948591751802e-09,2.821920380601202e-09,2.8465072928470527e-09,2.3833560334140484e-09,2.404557921371992e-09,2.9172786115772083e-09,2.9845695740409263e-09,4.099091438039476e-09,4.317367325509508e-09,6.368711436094936e-09,6.530069314352318e-09,9.914734111808075e-08,9.903540665153805e-08,1.0210629328579962e-07,1.0180332490031214e-07,1.0780367939956207e-07,1.1687324353440116e-07,1.1567658253646999e-07,1.3227138590244156e-07,1.3537988777526996e-07,1.3434598274864236e-07,1.416655410679418e-07,1.5288634930533156e-07,1.7116049161495128e-07,1.694095167779513e-07,1.8366949561941354e-07,1.8640533254240662e-07,1.8600495476095348e-07,1.9359895548603093e-07,2.0647113554958341e-07,2.268041698760151e-07,2.2594289742001804e-07,2.5445884249774843e-07,2.146271673958198e-07,2.2055886128537218e-07,2.3275879652652558e-07,2.5504937501366244e-07,2.522084082697903e-07,2.8309548777320797e-07,5.132128530214664e-07,5.315817285695331e-07,5.640250247007098e-07,6.038879096174359e-07,6.640486844929406e-07,6.436606851593788e-07,6.782304730966671e-07,7.220428772053378e-07,7.874602724949127e-07,5.374885941765699e-07,5.741945912520741e-07,6.337048137138403e-07,8.036305055466846e-07,LC_V24_H3p5_T8,8.036305055466846e-07
5,"(5, 0)",40,2,thick,,K,1.5989271638960246e-09,1.9685949688318175e-10,1.9802524573209065e-10,2.0726896541496939e-10,2.076027052881168e-10,2.2663313321478532e-10,3.641040530616579e-10,3.623270036848583e-10,4.0070968967448646e-10,3.8456106565435953e-10,3.8194598267346133e-10,4.3043056085012153e-10,4.233261686462665e-10,6.57212799602682e-10,6.545603177934838e-10,7.08123821773336e-10,6.961470522451242e-10,6.757079698101073e-10,7.536760397185409e-10,7.341104385349941e-10,1.1561754908547627e-09,1.1555331609543305e-09,1.2189132414194527e-09,1.207420590222053e-09,1.3185266075078092e-09,1.3004906140853315e-09,1.4714838821782251e-09,1.4533015467468432e-09,1.209418846131744e-08,1.204208304580154e-08,1.2398200480860259e-08,1.2226931766995355e-08,1.2676294931430385e-08,1.2988767485575264e-08,1.2739989948230434e-08,2.5994195757064106e-08,2.6250196929850025e-08,2.6092714414069752e-08,2.6679314511221773e-08,2.7340593783424954e-08,2.8548356616960528e-08,2.8046782779956593e-08,4.5155116367182596e-08,4.5702538943068346e-08,4.548579156366176e-08,4.6434013949243697e-08,4.7139666665539366e-08,4.880465743854801e-08,4.7851182032841924e-08,4.968486904293532e-08,5.1763945455279566e-08,5.109570560088731e-08,5.09308521648966e-08,5.2216417408674133e-08,5.129822138538361e-08,5.2547652140810085e-08,1.0153706977621328e-07,1.005144943100678e-07,1.0117085049653595e-07,1.0102016857132845e-07,1.0332744426725562e-07,1.3102074944990095e-07,1.3139239284038653e-07,1.309185504994791e-07,1.3319297027821283e-07,1.2029489122479927e-07,1.1987389721909685e-07,1.218819769262587e-07,1.7220920176852508e-07,LC_V24_H3p5_T8,1.7220920176852508e-07
5,"(5, 0)",40,2,thin,,K,1.402320661908323e-07,2.033568548325928e-08,2.047628288385021e-08,2.1376171260248508e-08,2.14196703909352e-08,2.3309791592563307e-08,3.3749917080398995e-08,3.3573868843335646e-08,3.7287866540462415e-08,3.571634305319399e-08,3.5474570069752747e-08,4.0102126774459506e-08,3.94620444774764e-08,5.385037493160696e-08,5.355992565088068e-08,5.855449855626617e-08,5.7440196019727946e-08,5.551954956225209e-08,6.268360559724349e-08,6.091923135398655e-08,8.877000699566084e-08,8.859453654386659e-08,9.412880593387048e-08,9.298734997848462e-08,1.0293446308323328e-07,1.0132795869528902e-07,1.1619638612518321e-07,1.1462466270898054e-07,9.281673367279587e-07,9.235820194155479e-07,9.575628714523175e-07,9.423393119788049e-07,9.837049338975646e-07,1.0184947826207688e-06,9.948229679875745e-07,2.103545659970138e-06,2.127835538740542e-06,2.1127530948824256e-06,2.1658222162909653e-06,2.2265492510393394e-06,2.3372199524048904e-06,2.289388664562299e-06,3.6573126182614705e-06,3.7097524546140173e-06,3.6897584488586926e-06,3.780113923682216e-06,3.853009104603829e-06,4.010289808255996e-06,3.927959044192894e-06,4.099277739847841e-06,3.960705849828174e-06,3.936164088977797e-06,3.943384216142567e-06,4.0645384483323956e-06,3.995354162628612e-06,4.125484670704137e-06,7.560996237582182e-06,7.545276307692394e-06,7.640385136002921e-06,7.68510584904647e-06,7.889741884480778e-06,9.589906599371887e-06,9.68316734348649e-06,9.704604719982441e-06,9.910052129772575e-06,8.79965832460996e-06,8.802553912992124e-06,9.002385053516305e-06,1.261197324423447e-05,LC_V24_H3p5_T8,1.261197324423447e-05
5,"(5, 0)",40,2,thick,,Y,8.663485822523005e-09,4.668225411230531e-10,4.690564596120384e-10,4.928773878253695e-10,4.919219376053223e-10,5.398301832868235e-10,1.5374681313911267e-09,1.5290912304825933e-09,1.6647473503703456e-09,1.6049319710150944e-09,1.5912687346283032e-09,1.7606494680734623e-09,1.7281801807248093e-09,4.748848821511966e-09,4.731721521482839e-09,4.910450794152645e-09,4.860502016339044e-09,4.751185220231666e-09,5.074828172415349e-09,4.970848830194495e-09,1.1224773137369446e-08,1.1206306064461523e-08,1.1585763711889703e-08,1.1506694952289803e-08,1.2062801994469851e-08,1.1928215681186229e-08,1.2745812111507401e-08,1.2659543922131418e-08,1.114965055661863e-07,1.1113120044176742e-07,1.1209284953293459e-07,1.1109512678837975e-07,1.1228655273823537e-07,1.1251780184053298e-07,1.1118255623542426e-07,1.9559816053384792e-07,1.955979920373821e-07,1.948096258787462e-07,1.958729428766715e-07,1.9724430855757238e-07,2.0141524587850413e-07,1.9900973274818956e-07,3.25941056272395e-07,3.278071529374164e-07,3.259806851819154e-07,3.2848833504884415e-07,3.286544688061912e-07,3.3413744706758847e-07,3.28861600644077e-07,3.350836816544267e-07,4.3980623843407874e-07,4.3104260643719913e-07,4.239004307085832e-07,4.2605980665859456e-07,4.196451878325723e-07,4.213218396725332e-07,9.25651620870838e-07,9.079766166062871e-07,9.035764837880968e-07,8.924913841264328e-07,8.971787801305754e-07,1.2981630879344645e-06,1.2861321508160426e-06,1.271306811562891e-06,1.269075078933534e-06,1.2470084506246208e-06,1.2258942062454618e-06,1.2214065182616934e-06,1.7848525014308704e-06,LC_V24_H3p5_T8,1.7848525014308704e-06
5,"(5, 0)",40,2,thin,,Y,6.080392541044662e-07,4.093910281247439e-08,4.1124240959025746e-08,4.3228309965864004e-08,4.319327118211966e-08,4.737197721727831e-08,1.1462000642066348e-07,1.1406452750622755e-07,1.2485449886962675e-07,1.2011139371867723e-07,1.1917078067203428e-07,1.326921264925189e-07,1.3034780452480388e-07,3.1093934225473483e-07,3.100073660267009e-07,3.2424475533258885e-07,3.2052113839450556e-07,3.132203448628216e-07,3.3770942762047976e-07,3.3026393801388333e-07,6.851501800202627e-07,6.844608366497139e-07,7.098985244899376e-07,7.053948674616898e-07,7.441196730501304e-07,7.37826165006732e-07,7.968068307555782e-07,7.917772125475378e-07,6.915959225493586e-06,6.88858323040347e-06,6.982466521392853e-06,6.911899773704947e-06,7.016900486290095e-06,7.059711323986212e-06,6.962267103831303e-06,1.2266257426221675e-05,1.2281742795818064e-05,1.2220110900370208e-05,1.231970569274449e-05,1.2420164965033822e-05,1.27160426339641e-05,1.2565819183504998e-05,1.9841798656185936e-05,1.991760183805463e-05,1.9797482034700933e-05,1.992866424308103e-05,1.9888583383016208e-05,2.0203563841585353e-05,1.9863904860464036e-05,2.0221317649725586e-05,2.5036999438486285e-05,2.4647736704410332e-05,2.4345266982431966e-05,2.4611324379723584e-05,2.4233790584593186e-05,2.446844257491579e-05,4.9003369875633294e-05,4.829814275434525e-05,4.821867735901371e-05,4.780928404013521e-05,4.809856567150414e-05,6.610051389700399e-05,6.561478344511573e-05,6.478693660896293e-05,6.468972901656018e-05,6.458070859675914e-05,6.376110639258679e-05,6.364989079830232e-05,8.961308099033997e-05,LC_V24_H3p5_T8,8.961308099033997e-05
5,"(5, 1)",48,2,thick,,K,3.84645726753489e-09,4.208804380001055e-11,4.242212832162483e-11,6.122707337148152e-11,6.022652490659183e-11,1.0275960384074106e-10,1.514720533097019e-10,1.5121323330053143e-10,2.0586197601980485e-10,1.9862834298834197e-10,1.9466734965765912e-10,3.067041874608913e-10,2.954409477208561e-10,6.146738873094413e-10,6.151478301862958e-10,7.270205681423745e-10,7.252310132402164e-10,7.085605840433478e-10,9.353678432424338e-10,9.082449288865993e-10,8.99897392912866e-10,9.039961715534667e-10,1.0545983073195088e-09,1.061683762649004e-09,1.3643977187175747e-09,1.347504186644313e-09,1.865684631290969e-09,1.8231312664037346e-09,2.9600741924045347e-08,2.9487579590444298e-08,3.047789652494371e-08,3.01353533730915e-08,3.164592113265434e-08,3.331567535280252e-08,3.2487451576759444e-08,4.353002919916221e-08,4.4478366223204796e-08,4.400845627326899e-08,4.596232434975143e-08,4.8278508231190894e-08,5.2692393976970484e-08,5.1054370295118905e-08,6.697210184024207e-08,6.801632752496765e-08,6.765739258477965e-08,7.005579922691632e-08,7.297242527794213e-08,7.809979861283936e-08,7.642865901594849e-08,8.282125472935778e-08,7.798530001278812e-08,7.915694769020083e-08,8.137105471753206e-08,8.63212545639911e-08,8.434436109455649e-08,9.081913444261668e-08,1.7267143519324587e-07,1.755901570885015e-07,1.830082764422268e-07,1.8920336626018558e-07,2.0149863159304152e-07,2.1963255712483614e-07,2.2797472862563296e-07,2.3586888988788405e-07,2.501484862435996e-07,1.960631549666707e-07,2.0025378789745757e-07,2.1303148224927e-07,2.782756231992458e-07,LC_V24_H3p5_T8,2.782756231992458e-07
5,"(5, 1)",48,2,thin,,K,1.7049650123167866e-07,7.032147085274732e-10,7.106060726211112e-10,1.2601464139351312e-09,1.2563172533687193e-09,2.680953751598494e-09,1.745142841069727e-09,1.7469268464817282e-09,2.5898225942874324e-09,2.659194442862787e-09,2.6609052528698996e-09,5.060181927718552e-09,5.035000313867739e-09,1.2097444763057322e-08,1.216403775270784e-08,1.4529484222166976e-08,1.4840792829091193e-08,1.4981803590533618e-08,2.088218777892346e-08,2.0779723353215365e-08,2.2533033989235172e-08,2.2757896061790935e-08,2.6061184497691645e-08,2.682333331568393e-08,3.4771497656553777e-08,3.706169391177068e-08,5.153625168221097e-08,5.2688210581958e-08,6.4741256502442e-07,6.449571117052011e-07,6.675683353339579e-07,6.620363318044931e-07,6.997817734673461e-07,7.533180889483986e-07,7.42987718048047e-07,9.626955865575745e-07,9.842349839793789e-07,9.780974766431474e-07,1.02746861982412e-06,1.1090148863476044e-06,1.2343595145228888e-06,1.2248790081417842e-06,1.6998489277225544e-06,1.742175945539724e-06,1.7346334716668522e-06,1.809605931806183e-06,1.9083781526195976e-06,2.0669145754541855e-06,2.046083292225392e-06,2.2636576887581574e-06,2.325249707683263e-06,2.366161138371396e-06,2.452229224955033e-06,2.620953511227161e-06,2.5931111381314e-06,2.819651944175548e-06,5.071308084060319e-06,5.212461133411096e-06,5.4488618155018515e-06,5.768392683753787e-06,6.202425356344646e-06,7.082077713886191e-06,7.3373214218253274e-06,7.63870335043145e-06,8.124435550542077e-06,6.61747054036406e-06,6.933131907154374e-06,7.423843806208516e-06,1.0578700530063556e-05,LC_V24_H3p5_T8,1.0578700530063556e-05
