node,sub_joint_id,brace_member,brace_end,chord_t_scenario,direction,treatment,LC_V26_H3p5_T8,LC_V2_H0p5_T5,LC_V2_H0p5_T6,LC_V2_H1p0_T7,LC_V2_H1p0_T8,LC_V2_H1p5_T8,LC_V4_H0p5_T5,LC_V4_H0p5_T6,LC_V4_H1p0_T5,LC_V4_H1p0_T7,LC_V4_H1p0_T8,LC_V4_H1p5_T7,LC_V4_H1p5_T8,LC_V6_H0p5_T5,LC_V6_H0p5_T6,LC_V6_H1p0_T5,LC_V6_H1p0_T6,LC_V6_H1p0_T8,LC_V6_H1p5_T7,LC_V6_H1p5_T8,LC_V8_H0p5_T5,LC_V8_H0p5_T6,LC_V8_H1p0_T5,LC_V8_H1p0_T6,LC_V8_H1p5_T6,LC_V8_H1p5_T8,LC_V8_H2p0_T7,LC_V8_H2p0_T8,LC_V10_H0p5_T5,LC_V10_H0p5_T6,LC_V10_H1p0_T5,LC_V10_H1p0_T6,LC_V10_H1p5_T6,LC_V10_H2p0_T7,LC_V10_H2p0_T8,LC_V12_H0p5_T5,LC_V12_H1p0_T5,LC_V12_H1p0_T6,LC_V12_H1p5_T6,LC_V12_H2p0_T7,LC_V12_H2p5_T7,LC_V12_H2p5_T8,LC_V14_H0p5_T5,LC_V14_H1p0_T5,LC_V14_H1p0_T6,LC_V14_H1p5_T6,LC_V14_H2p0_T7,LC_V14_H2p5_T7,LC_V14_H2p5_T8,LC_V14_H3p0_T8,LC_V16_H1p0_T5,LC_V16_H1p5_T6,LC_V16_H2p0_T7,LC_V16_H2p5_T7,LC_V16_H2p5_T8,LC_V16_H3p0_T8,LC_V18_H1p5_T6,LC_V18_H2p0_T7,LC_V18_H2p5_T7,LC_V18_H3p0_T8,LC_V18_H3p5_T8,LC_V20_H2p0_T7,LC_V20_H2p5_T7,LC_V20_H3p0_T8,LC_V20_H3p5_T8,LC_V22_H2p5_T7,LC_V22_H3p0_T8,LC_V22_H3p5_T8,LC_V24_H3p5_T8,worst_bin,worst_bin_contribution
3,"(3, 1)",33,2,single,,TY,2.4061820145154137e-05,9.19040087130461e-08,1.6542209238122377e-07,2.2169925870405684e-07,4.9256482159549564e-08,1.4305638901576568e-07,6.641751121860425e-07,5.321833745049029e-07,1.492060241302472e-07,1.4754308971333004e-06,1.7211785171398204e-07,6.001437361916437e-07,4.5371389794273476e-07,8.796650115887626e-06,3.913248969918043e-06,2.7197665306678873e-06,1.3900612820034192e-05,8.176677059920528e-07,6.622478961356823e-06,1.9510737337370404e-06,1.359748577266816e-05,3.30909884847691e-06,9.559100739217862e-06,2.234105190277812e-05,1.8339429782303467e-05,2.3887539274114587e-06,5.140387595137884e-06,3.4683335523950816e-06,0.00034498802568945855,4.27311499650487e-05,0.00037410984546522644,0.00046806847167074476,0.0007656794011350777,0.00023082138095319312,7.104275390152125e-05,0.000240697503820476,0.0004081924052376316,0.00037112483653121834,0.0010495536215959116,0.0004900150297697868,0.00010926388691406239,0.00012866764317289337,0.00015522138743390544,0.0002826560895879022,0.00024021333393355583,0.0011034361936536488,0.000810115093940921,0.00027113324493557606,0.0001786891206929375,0.00014275730714442334,0.0001148629626364804,0.000547821386273542,0.0012781113376800243,0.0005240762604101217,0.00021639559103045603,0.0002763580486575869,0.0004113889650615786,0.0020818349779249566,0.0011019648713648646,0.0006047967670950956,0.0003442215414688054,0.0004578825221362561,0.0019357806577094915,0.0007232337392298798,0.0005334347772907869,0.00036608604773025546,0.0004164194299294175,0.0012493412414689568,0.0014161165530130488,LC_V18_H2p0_T7,0.0020818349779249566
3,"(3, 0)",36,2,single,,TY,2.0887307896547838e-06,1.2066443570654204e-07,2.120208640187172e-07,1.237892789912568e-07,2.4972701946781352e-08,2.7735803577434954e-08,6.482706337673123e-07,5.05180946560645e-07,1.0157402366420578e-07,8.407547763085272e-07,9.151104636635734e-08,1.8388943212795483e-07,1.232469798832e-07,3.152207493591937e-06,1.3788655753508218e-06,8.543060186823661e-07,4.142860912835241e-06,2.2323940418711322e-07,1.3786321152525335e-06,3.7728557380684933e-07,5.772994131140608e-06,1.3868496519799678e-06,3.5373429051916756e-06,7.944764826453005e-06,5.181401888981745e-06,5.858794459370903e-07,9.77227381278796e-07,5.978832472450332e-07,4.67265621923063e-05,5.771296155450123e-06,4.935731128360254e-05,6.126909578900444e-05,9.548013239418772e-05,2.6240048735331308e-05,7.87227974938722e-06,3.495190353512208e-05,5.79508275481614e-05,5.271945914691156e-05,0.00014247740231260482,6.152008475260833e-05,1.25028566995854e-05,1.4338863834114954e-05,2.1600267087833187e-05,3.880667639504727e-05,3.3001290583254234e-05,0.0001472331278167866,0.00010155191856319177,3.149732408244846e-05,2.0125577923620087e-05,1.445504017429678e-05,1.8603862372920664e-05,8.480818770932418e-05,0.00018351381628289293,6.718165860777809e-05,2.702494295598324e-05,3.076137803956953e-05,6.436685785146804e-05,0.0003040194206640578,0.00015018611916492298,7.326150184858626e-05,3.752633987890543e-05,8.739203616983234e-05,0.00034592708781811383,0.00011616406717621429,7.756535510467348e-05,7.052109479481333e-05,7.1792013877753e-05,0.00019268123595991577,0.00027034126916217796,LC_V20_H2p5_T7,0.00034592708781811383
4,"(4, 0)",37,1,single,,TY,9.946954208702444e-06,2.9331156087834094e-07,5.111897969565012e-07,2.967885355327243e-07,5.956680088106723e-08,7.913181372461566e-08,2.2910938511348453e-06,1.7833597254265688e-06,3.5098204724171805e-07,2.9155106196838812e-06,3.1666876920508534e-07,6.209490555190189e-07,4.2162522523260884e-07,1.509029723173211e-05,6.599579906439706e-06,4.009485644589317e-06,1.9444810430499082e-05,1.0490210750875484e-06,6.288478297370154e-06,1.7400379425354187e-06,3.214361126294242e-05,7.738614828452525e-06,1.94186791836712e-05,4.391616759408204e-05,2.8151643361762555e-05,3.541974965314717e-06,5.6652188497465194e-06,3.928856911516204e-06,0.00023887898096710755,2.9568898128125905e-05,0.00025011620759419595,0.00031164471674620625,0.00048037860208689363,0.00013438114731888193,4.214320111898094e-05,0.00021974069969639125,0.0003631341738720653,0.00033142401022581355,0.000893752054610552,0.0003951275394637735,8.144526631138985e-05,9.948871432648869e-05,0.00011334841644777733,0.00020193305167887093,0.00017209602303178,0.0007614103326758883,0.0005314608114538384,0.00016578109671562714,0.0001124890320898641,8.41210943497736e-05,9.639245220230805e-05,0.000437276247295384,0.000941352569543892,0.0003364877891499438,0.0001378963482150679,0.00015922120320406805,0.00033275161755884884,0.0015634654507703726,0.0007678504794170318,0.0003766936339956751,0.0001927650445455183,0.000459819206987374,0.0018114623452270006,0.0006042829074494165,0.00040572298247893736,0.0003656514577434848,0.00037063850941310275,0.000990423854151906,0.0014185914092483827,LC_V20_H2p5_T7,0.0018114623452270006
4,"(4, 1)",45,1,single,,TY,0.00015642199872499283,9.633713345722914e-07,1.7264318828456238e-06,2.207790837544603e-06,4.5734976040424153e-07,1.2510539509908735e-06,6.55374430416858e-06,5.214428261608422e-06,1.5198146394462632e-06,1.4150202896979527e-05,1.5726321333352376e-06,5.7368654244988524e-06,4.014967075778009e-06,7.914461940336032e-05,3.523409752662416e-05,2.5072213691782297e-05,0.00012755204359570367,7.252799129224445e-06,6.014790378801535e-05,1.7067498323502526e-05,9.924981644680529e-05,2.4155794530603925e-05,7.272922609504004e-05,0.0001687496529149758,0.0001449342854742023,1.7825485770421097e-05,4.0866187096527607e-05,2.62743477128121e-05,0.002975016902241271,0.0003685272870632839,0.0032490814740042495,0.0040586713387542675,0.006690649939605252,0.0020100902932378636,0.0006084125535088176,0.002054038251266052,0.0034996965438059105,0.003177961073564255,0.009047426288982996,0.004215604566912142,0.0009452475077828976,0.0010870520792232814,0.0012848173452826236,0.0023456488377433,0.0019982015656740022,0.009243192209105215,0.006811656404005754,0.0022903664868093873,0.0014824906559297328,0.0011810953999610216,0.0009256595007007442,0.004442996811507362,0.010390551685715134,0.004111567828498998,0.0016714093336110945,0.0021255032867447793,0.003252649657710804,0.016391006309313054,0.00868456347330366,0.004653145964405963,0.0026282044218717006,0.003630839075789928,0.015392558599031181,0.005649014366461928,0.004152080364337279,0.0027916378223069487,0.0031106348883138913,0.009299164408603986,0.010345031829567256,LC_V18_H2p0_T7,0.016391006309313054
5,"(5, 0)",40,2,thick,,K,1.88167424838716e-05,4.0277145961483845e-06,7.113674368150602e-06,4.172556207775634e-06,8.516876072120357e-07,9.506197028965466e-07,1.137534756424959e-05,8.904360394844164e-06,1.7967057129496695e-06,1.5088874861630892e-05,1.6573285496372033e-06,3.3845194038817123e-06,2.3044547376933195e-06,3.384950404643868e-05,1.4855360305818412e-05,9.488031415015049e-06,4.607025799032474e-05,2.487767546609268e-06,1.606424980518599e-05,4.401685079271267e-06,4.814648069313245e-05,1.1608296627508807e-05,3.0388121440860634e-05,6.826840536556803e-05,4.662001680774118e-05,5.369447440566919e-06,9.442088284579604e-06,5.847495383681317e-06,0.00036289843666568344,4.4810602041296176e-05,0.0003945179302572523,0.00048746047903840085,0.0007867324416919448,0.00022339240919752053,6.700725113171279e-05,0.00040366306009138,0.0006785921083205556,0.0006172244901932551,0.0017038662307096236,0.00075387457767936,0.00015766058328569387,0.00017996812762554083,0.0003158721405596287,0.0005751021491262223,0.0004886417140620708,0.002216946444238956,0.0015551772477558094,0.0004928505144264713,0.0003139684010823694,0.00023061713909508145,0.00022325127096360252,0.001029285587273375,0.0022735967865195857,0.0008417638424931606,0.0003399582377501902,0.0003945319235377212,0.0006435234684949404,0.0030993046259268258,0.001557776045932552,0.000778392119175017,0.0004089544219657134,0.0007390776970076847,0.002981973217788927,0.0010242615722080022,0.0007022931008414764,0.0006247942222623799,0.0006494034123079688,0.001788530743897367,0.0022168268393791954,LC_V18_H2p0_T7,0.0030993046259268258
5,"(5, 0)",40,2,thin,,K,0.0016503007373172122,0.0004160649526205494,0.0007355709024237871,0.0004303262474044427,8.787394074276697e-05,9.777364343854616e-05,0.0010544157194238353,0.000825093975855887,0.00016719167158492425,0.0014013884373024399,0.00015393019020956903,0.00031532711324450607,0.00021481897905341557,0.0027735437977648167,0.0012155518320738005,0.0007845618304451543,0.003801329964853306,0.00020440743601433475,0.0013360715293270085,0.0003652682997215475,0.0036966390152294855,0.0008900061846156905,0.0023466785728495816,0.005257569858928505,0.003639521850913977,0.00041836145726968757,0.0007455987452060966,0.0004612031051278778,0.02785060581287119,0.003436802932442496,0.030470205956078186,0.03756896506725061,0.06105195474986604,0.01751698176885808,0.005232370882427447,0.03266589534376081,0.055006536074836195,0.04997728220985161,0.1383195709360021,0.06139365112571842,0.0129074841647522,0.014690347716560878,0.02558388192452068,0.04668201501961377,0.03963808985058309,0.18047783099444825,0.12711401074153728,0.04049763892896622,0.02577271800257409,0.019027195259444518,0.01708201735996014,0.07929114430034459,0.176036043002109,0.0655230992860324,0.026477595589739427,0.030974464820935646,0.047920218052480625,0.23265410550829188,0.11764266968351712,0.059216153690139654,0.031226407027750362,0.05409590552443547,0.2197611677315437,0.07592547924051424,0.052253217457206215,0.04570414938756706,0.04768684993759658,0.13210355495265347,0.16235230462848182,LC_V18_H2p0_T7,0.23265410550829188
5,"(5, 0)",40,2,thick,,Y,0.00010195497669691771,9.55111636706125e-06,1.6849947094482508e-05,9.922173346721665e-06,2.0181038459625836e-06,2.264334438532263e-06,4.8033616260156735e-05,3.757815248199159e-05,7.464409152316709e-06,6.297209945284238e-05,6.9047855552370944e-06,1.3844166353707376e-05,9.407670255289114e-06,0.0002445877157244563,0.00010738724324959777,6.579430032466707e-05,0.00032166275951763424,1.7492533649031328e-05,0.00010816757225096394,2.98049312183117e-05,0.0004674319144610187,0.00011257671288938588,0.0002888389285623211,0.000650596587288932,0.0004265124636305889,4.9249049909462165e-05,8.178620552565488e-05,5.093686496782444e-05,0.003345566152956086,0.0004135377557542903,0.0035668594859907077,0.004429114740729709,0.006968871762827868,0.001935181521932728,0.0005847757727758375,0.0030374377713871478,0.00505639078269089,0.004608231635452661,0.012509365363825162,0.00543870667152972,0.0011123318085837094,0.0012769881402421009,0.002280045040828484,0.004124991795053203,0.003501923464066374,0.015683353309850382,0.010842587324324514,0.0033742642878656416,0.002157776392247615,0.0015553234115161419,0.0018968280111676622,0.008683037783489464,0.01892327766169941,0.006868371247646232,0.0027810289457044887,0.0031633176566867134,0.005866611504484372,0.02799691872696798,0.01391279993402106,0.00687692635698878,0.0035508981377610177,0.007322835424154368,0.02918899294976433,0.00994626589281807,0.006691514353371712,0.00647678107631894,0.006641144562183691,0.017923266128423276,0.022976176004946912,LC_V20_H2p5_T7,0.02918899294976433
5,"(5, 0)",40,2,thin,,Y,0.0071556217962365646,0.0008376076570431872,0.0014773089044194671,0.0008702342520916943,0.00017719987670539172,0.0001987032269691676,0.0035809609914745225,0.002803190628503272,0.0005598237257221222,0.00471276463256455,0.000517102276368671,0.0010433717252075782,0.0007095725186224115,0.01601481670809151,0.0070356711132576666,0.004344500679337706,0.021211741814555495,0.0011531896080883475,0.007198117388590116,0.0019802440775507153,0.028531628784012733,0.006875981313405814,0.01769812800439049,0.03988351958269116,0.026310331143137345,0.003046326340513485,0.005112879952591287,0.0031857900417429975,0.20752039700742658,0.02563356859373079,0.22218613454130295,0.2755620166173213,0.4354918596127583,0.12141921261241588,0.03661874005931112,0.19048233131781617,0.31749452241966825,0.2890673465739132,0.7867942219174792,0.3424668349156067,0.07022536272947745,0.08063124274462671,0.13879869920206048,0.25063499506613135,0.21267906357108887,0.9514745242662813,0.6561410921043298,0.20402431561190848,0.13033405202011056,0.09385920733901333,0.10798137384226322,0.4965106137670785,1.086793533299033,0.3967511370337761,0.16059965664799516,0.18371099985943115,0.3105744396584464,1.489244494435297,0.742446072043189,0.3683855456444304,0.19036686004439698,0.3728677769524017,1.4891389272592213,0.5068706405353959,0.34109270398233865,0.3354228362488205,0.345418652637923,0.934016574143275,1.1535776315011987,LC_V18_H2p0_T7,1.489244494435297
5,"(5, 1)",48,2,thick,,K,4.526647461668056e-05,8.611148104133829e-07,1.5239330004024548e-06,1.2325695000630258e-06,2.470785957109941e-07,4.3102834385770746e-07,4.732293524830987e-06,3.7161379419257767e-06,9.230457808353852e-07,7.793504020549865e-06,8.446947236140247e-07,2.411646309832109e-06,1.608287750934756e-06,3.165855298055613e-05,1.3960887041800437e-05,9.74122572606366e-06,4.799500303105019e-05,2.6087216734840745e-06,1.993692502045831e-05,5.4457857318880315e-06,3.74743218450755e-05,9.08139728405399e-06,2.6291667319022245e-05,6.0028343118808534e-05,4.8241912007589364e-05,5.563556420758426e-06,1.1971560961820336e-05,7.335540024714468e-06,0.0008882003949862593,0.00010972820808183483,0.0009698243446036932,0.0012014292768764293,0.0019640496641138436,0.0005729927022999125,0.000170871000313124,0.0006759764740028847,0.0011498073096638964,0.0010410222775754478,0.0029353697341632993,0.001331205177622855,0.00029099796112933766,0.000327601190525133,0.00046848780089578645,0.0008558897829288903,0.0007268253040144676,0.003344745409350078,0.0024074216797289696,0.0007886855055054527,0.0005014752582629526,0.00038442288748802284,0.0003363406168367535,0.0015945587683333865,0.003632473454842415,0.0013915568040971126,0.000558958178032291,0.000681877236106787,0.001094360130053587,0.005414218017680476,0.002817866093345382,0.0014578713468917355,0.0007975011575518878,0.001238929903769188,0.0051739261337615215,0.0018453568197157935,0.0013189701806924534,0.0010183235977394174,0.001084852467510232,0.0031260844714667466,0.0035822061998884987,LC_V18_H2p0_T7,0.005414218017680476
5,"(5, 1)",48,2,thin,,K,0.0020064633527523317,1.438766323497757e-05,2.5527150267981114e-05,2.5368157416351386e-05,5.154026456138131e-06,1.1245343620646184e-05,5.45217945241286e-05,4.293156752410162e-05,1.1612269856669339e-05,0.0001043377912239411,1.1546120246095483e-05,3.9788726636207604e-05,2.7408960718597418e-05,0.0006230744527590393,0.00027606495334027344,0.00019467810360998173,0.0009821475968506213,5.515880591533943e-05,0.00044509399699730966,0.00012459405756137153,0.0009383404980487434,0.0002286220915417976,0.0006497184643644396,0.0015166100420020902,0.001229438826602723,0.00015301980295920402,0.0003306932846042633,0.00021199596796830269,0.019426273079548917,0.0023999931204927083,0.021242411619961033,0.02639391088395255,0.04343075214560047,0.0129562364534699,0.003907818201845509,0.014949669920089389,0.025443393611341982,0.02313694569296496,0.06561896797220114,0.030579369845006008,0.006816849167713815,0.007859695830091483,0.011890898808931898,0.021922833033062052,0.018634704238980056,0.0863978599906671,0.06295900020094687,0.020872596290032963,0.013425070655526367,0.010506986737166797,0.010028504357275331,0.04766458410253849,0.10946960925798002,0.04225153712364841,0.017184796451066048,0.021170169549373605,0.032141027658703,0.16072313763435675,0.08389873537809163,0.04444727690362562,0.024548262994183303,0.03994944089989261,0.16652178636225323,0.05976257966111977,0.04283810942468518,0.034370182453422576,0.03755946559623523,0.10893959238394472,0.13617824727113978,LC_V20_H2p5_T7,0.16652178636225323
