member_id,max_tensile_N,max_compressive_N,mean_tensile_unweighted_N,mean_compressive_unweighted_N,mean_tensile_weighted_N,mean_compressive_weighted_N
1,0.0,-10033729.816292856,0.0,-5699428.383220473,0.0,-5792650.655440825
2,0.0,-10029749.708516035,0.0,-5687207.311981767,0.0,-5780495.501098615
3,0.0,-10045092.469351308,0.0,-5702944.833963227,0.0,-5796325.913461061
4,0.0,-9410984.800525991,0.0,-5532136.820891424,0.0,-5621044.302801343
5,2914070.356701891,-5809073.372982865,466527.854379127,-1827375.6402957125,268335.4430192245,-1683736.5186483653
6,2943774.7346738726,-5802382.596226112,474339.3914253333,-1817969.409088476,273418.0151982145,-1671726.900130838
7,2928480.1734610894,-5812459.295639026,470527.752336518,-1826693.6113015148,270662.0375170873,-1681855.029359768
8,2445125.686353024,-5334754.422699637,465137.4390137802,-1845506.9174128915,266785.7970517892,-1723145.446343324
9,2424288.437662157,-5981811.290734885,376556.0637117688,-2018262.1314968285,200375.38917460613,-1894647.2148063204
10,2452383.4779763,-5977644.98599321,383293.7311063757,-2006345.564223303,203920.5845207441,-1881153.748617455
11,2437670.195092248,-5986198.36093115,380081.86942547513,-2016945.7604054103,202330.66398429815,-1892548.9710615785
12,2048536.0980482812,-5402641.087577079,375888.4914619181,-2054042.1135405183,205388.72933198535,-1946150.2892340955
13,0.0,-10563729.234328805,0.0,-6011767.990043221,0.0,-6076626.135353411
14,0.0,-10561315.211493898,0.0,-5999503.018056728,0.0,-6064416.409423959
15,0.0,-10575725.877320409,0.0,-6015803.578276156,0.0,-6080771.199999232
16,0.0,-9850108.572151965,0.0,-5845714.9817718845,0.0,-5906909.937688191
17,0.0,-8774153.36031693,0.0,-5294624.605311226,0.0,-5383836.107502167
18,0.0,-8132980.182529347,0.0,-5048755.3319204245,0.0,-5135995.652135908
19,0.0,-7035297.708470829,0.0,-4328483.851671128,0.0,-4408677.06724771
20,0.0,-7394624.586169468,0.0,-4541249.238736456,0.0,-4625761.690254443
21,2228674.678793159,-4582099.214084083,427889.0767632933,-1694816.5595827932,225239.592583741,-1562655.7753847789
22,2070507.7493527045,-4167892.492023353,380147.9488921137,-1617816.1893145912,199746.8572055425,-1492947.3728333192
