member_id,zone,D_M1,life_years_M1,D_M2,life_years_M2
30,splash,0.074042,337.647496,0.11501,217.371567
22,splash,0.073644,339.470511,0.114392,218.546536
18,splash,0.059315,421.476406,0.092133,271.345686
26,splash,0.058845,424.848529,0.091401,273.518493
31,splash,0.049349,506.593253,0.076597,326.381645
23,splash,0.048668,513.682274,0.07554,330.950981
79,splash,0.044335,563.892449,0.065424,382.122944
77,splash,0.042668,585.917742,0.062964,397.05198
19,splash,0.040214,621.66725,0.062414,400.553167
27,splash,0.03949,633.070656,0.061293,407.878564
