member_id,member_class,LC_V26_H3p5_T8,LC_V2_H0p5_T5,LC_V2_H0p5_T6,LC_V2_H1p0_T7,LC_V2_H1p0_T8,LC_V2_H1p5_T8,LC_V4_H0p5_T5,LC_V4_H0p5_T6,LC_V4_H1p0_T5,LC_V4_H1p0_T7,LC_V4_H1p0_T8,LC_V4_H1p5_T7,LC_V4_H1p5_T8,LC_V6_H0p5_T5,LC_V6_H0p5_T6,LC_V6_H1p0_T5,LC_V6_H1p0_T6,LC_V6_H1p0_T8,LC_V6_H1p5_T7,LC_V6_H1p5_T8,LC_V8_H0p5_T5,LC_V8_H0p5_T6,LC_V8_H1p0_T5,LC_V8_H1p0_T6,LC_V8_H1p5_T6,LC_V8_H1p5_T8,LC_V8_H2p0_T7,LC_V8_H2p0_T8,LC_V10_H0p5_T5,LC_V10_H0p5_T6,LC_V10_H1p0_T5,LC_V10_H1p0_T6,LC_V10_H1p5_T6,LC_V10_H2p0_T7,LC_V10_H2p0_T8,LC_V12_H0p5_T5,LC_V12_H1p0_T5,LC_V12_H1p0_T6,LC_V12_H1p5_T6,LC_V12_H2p0_T7,LC_V12_H2p5_T7,LC_V12_H2p5_T8,LC_V14_H0p5_T5,LC_V14_H1p0_T5,LC_V14_H1p0_T6,LC_V14_H1p5_T6,LC_V14_H2p0_T7,LC_V14_H2p5_T7,LC_V14_H2p5_T8,LC_V14_H3p0_T8,LC_V16_H1p0_T5,LC_V16_H1p5_T6,LC_V16_H2p0_T7,LC_V16_H2p5_T7,LC_V16_H2p5_T8,LC_V16_H3p0_T8,LC_V18_H1p5_T6,LC_V18_H2p0_T7,LC_V18_H2p5_T7,LC_V18_H3p0_T8,LC_V18_H3p5_T8,LC_V20_H2p0_T7,LC_V20_H2p5_T7,LC_V20_H3p0_T8,LC_V20_H3p5_T8,LC_V22_H2p5_T7,LC_V22_H3p0_T8,LC_V22_H3p5_T8,LC_V24_H3p5_T8,worst_bin,worst_bin_damage
18,leg,6.141566082204763e-08,1.718601907178598e-08,1.7078838871242672e-08,1.7223424356207657e-08,1.7111756921138337e-08,1.7337651403426663e-08,1.8712168730058637e-08,1.858205908280529e-08,1.958432528152011e-08,1.8803653050995065e-08,1.8650802679536026e-08,1.9301506820244317e-08,1.8957903067590872e-08,1.380354429099014e-08,1.3651467297347359e-08,1.4622577513972875e-08,1.4113805558984429e-08,1.3673513832850568e-08,1.4273772670741414e-08,1.3937066855359182e-08,1.1854279627684648e-08,1.1793888966366327e-08,1.2288855351218263e-08,1.2017170309411066e-08,1.2502887692653943e-08,1.1941962785005899e-08,1.2583219686848735e-08,1.2193857223194554e-08,3.08934667716609e-08,3.074490242673473e-08,3.1542003870416135e-08,3.100897245194127e-08,3.168021560952395e-08,3.1611581944540363e-08,3.0981915173964575e-08,8.657748820562911e-08,8.738690211173426e-08,8.657406499746508e-08,8.72545492456828e-08,8.696958925130752e-08,8.767312969557035e-08,8.655850585259633e-08,1.4363224375358812e-07,1.45116551303678e-07,1.4401750399458954e-07,1.4532962712357865e-07,1.4502482671896823e-07,1.4613306098802265e-07,1.44558162512454e-07,1.453139675427405e-07,1.2523418574419452e-07,1.2464468328246643e-07,1.2372917382940617e-07,1.243083881792943e-07,1.2263249066570039e-07,1.229501499462893e-07,1.7134026437011634e-07,1.699704268432348e-07,1.7108585951328901e-07,1.6929015349082642e-07,1.70158987454566e-07,2.1482470274111187e-07,2.1650275820539372e-07,2.1374049587561354e-07,2.1450032239383797e-07,1.8853979818054754e-07,1.861890113748403e-07,1.8752077290427329e-07,2.773563957992237e-07,LC_V24_H3p5_T8,2.773563957992237e-07
19,leg,4.681800898627182e-08,1.3562448472957929e-08,1.3472735467041332e-08,1.3576420378645233e-08,1.3486790540223235e-08,1.364626481419692e-08,1.3534166085622068e-08,1.344126107602268e-08,1.4165065911317835e-08,1.361042008131457e-08,1.3499018864602475e-08,1.3975314197439122e-08,1.3728704430179569e-08,8.834856026178865e-09,8.72630758590087e-09,9.458777931048645e-09,9.064134354494926e-09,8.750421011308686e-09,9.167676359759515e-09,8.93225008436228e-09,8.224626490200702e-09,8.178174731550459e-09,8.582625909817457e-09,8.370199951837151e-09,8.74449989951367e-09,8.32858775853437e-09,8.811128752096753e-09,8.543072190053918e-09,1.6387613499138844e-08,1.6271616334446742e-08,1.6988470250934815e-08,1.6581070655263888e-08,1.7087025366323083e-08,1.704036438200282e-08,1.664266531319326e-08,5.948727189749944e-08,6.03089992203209e-08,5.971289556954064e-08,6.039455699853792e-08,6.028945822896464e-08,6.087694848457136e-08,6.006506749332829e-08,1.0270989088493368e-07,1.0383093461970312e-07,1.0302624571430613e-07,1.0393323100935229e-07,1.0367694187806921e-07,1.0436974972597014e-07,1.0334523169010724e-07,1.0372725173589019e-07,8.39249534739791e-08,8.375090886310948e-08,8.330517145190755e-08,8.390344296881119e-08,8.288975598484854e-08,8.30850065261347e-08,1.1035405211685746e-07,1.0985019304298713e-07,1.1091909584147538e-07,1.0994750529774936e-07,1.1072713927761657e-07,1.4227708971943297e-07,1.43924299156981e-07,1.4259791712433343e-07,1.4345606261854927e-07,1.2982431579802658e-07,1.2871673199079715e-07,1.2983063881977395e-07,1.927502048586825e-07,LC_V24_H3p5_T8,1.927502048586825e-07
22,leg,4.703909551591237e-08,1.587287054047835e-08,1.5927137905900352e-08,1.58455398316503e-08,1.5893466696327636e-08,1.5853829842334485e-08,2.4969663851765092e-08,2.4858059312833576e-08,2.5762432543096265e-08,2.502978312606103e-08,2.48997285178919e-08,2.545927745580815e-08,2.5153026616524192e-08,1.9963515060469487e-08,1.985040447494631e-08,2.0685311315265672e-08,2.0225403938939003e-08,1.985982047906412e-08,2.0371408984487395e-08,2.0076496817950974e-08,1.9659322022296118e-08,1.957686210004654e-08,2.022524018082174e-08,1.9866281820872034e-08,2.0403386216456965e-08,1.9771260613565136e-08,2.0439012219435762e-08,2.0035345640627076e-08,4.068729907193731e-08,4.055055680142285e-08,4.12065579397886e-08,4.073264673458716e-08,4.121338733212709e-08,4.107074304968342e-08,4.0537133002266416e-08,1.006040632420771e-07,1.0143370568678462e-07,1.0062772200551865e-07,1.0127277586582423e-07,1.0093181323037678e-07,1.0162211620480774e-07,1.0048606136420948e-07,1.5648736502092284e-07,1.5745253986858715e-07,1.5655213236420163e-07,1.572749626581946e-07,1.5660485725064552e-07,1.5722282881399468e-07,1.5580143619675157e-07,1.5607253727826503e-07,1.5947369477956684e-07,1.5854235671706158e-07,1.5740434511573983e-07,1.5779115595018175e-07,1.5664257096156378e-07,1.5641372927779053e-07,2.191773003371787e-07,2.182423416459083e-07,2.188053871480639e-07,2.174461958131778e-07,2.1794149719981161e-07,2.827488723805473e-07,2.8316182619289276e-07,2.813319334063365e-07,2.814114825987383e-07,2.673494490619477e-07,2.6559082349503136e-07,2.663369457354327e-07,4.0370781174316845e-07,LC_V24_H3p5_T8,4.0370781174316845e-07
23,leg,3.631064868592064e-08,1.2596896581580701e-08,1.2627311174099735e-08,1.2566465677300478e-08,1.2598183057559398e-08,1.2562065385325088e-08,1.86560863128062e-08,1.857035987907309e-08,1.9277409995502043e-08,1.8692354785701227e-08,1.859719861545548e-08,1.8999424940359712e-08,1.8770376177930096e-08,1.3891828084345272e-08,1.3786812238291859e-08,1.451291959644542e-08,1.4111328110677446e-08,1.3807783784875845e-08,1.4215457787795444e-08,1.3983293324588302e-08,1.4249850654554003e-08,1.4185418857803493e-08,1.4682100587026482e-08,1.439515047488808e-08,1.4787140329819028e-08,1.4305648539842934e-08,1.4778099550493543e-08,1.4485784038857012e-08,2.441751836604422e-08,2.431035716376937e-08,2.5024542396792353e-08,2.4617700345282727e-08,2.5141159782526473e-08,2.5109439778898528e-08,2.469324556354233e-08,6.713075930704993e-08,6.80161809921782e-08,6.740937131708138e-08,6.813427640319657e-08,6.803323834819084e-08,6.870955693292709e-08,6.779251099267443e-08,1.0886163096432675e-07,1.0962658878655485e-07,1.0901554560723541e-07,1.0965565331538916e-07,1.0938727762303502e-07,1.0995321684783112e-07,1.0906572729904147e-07,1.0937044508875361e-07,1.0564271812092364e-07,1.0538624410453685e-07,1.0497550032799792e-07,1.0527873191407795e-07,1.0452558492748024e-07,1.0459010769754954e-07,1.358816867999461e-07,1.354492272199092e-07,1.361792040186121e-07,1.3544464402029235e-07,1.360542085760363e-07,1.731867044872672e-07,1.7381340381070283e-07,1.7302748021569845e-07,1.7348215994097442e-07,1.6455934256680965e-07,1.6383311323343007e-07,1.6459512029990828e-07,2.559876272176853e-07,LC_V24_H3p5_T8,2.559876272176853e-07
26,leg,6.169677615112343e-08,1.720157471877044e-08,1.709180451637438e-08,1.723729180991748e-08,1.7122178593494853e-08,1.7352637333567292e-08,1.8744813466872666e-08,1.8601452345558748e-08,1.9722903473024063e-08,1.884311490232105e-08,1.8676545255986237e-08,1.9386017397758964e-08,1.9010978012257384e-08,1.3847531010206999e-08,1.3685404536501786e-08,1.474611543278529e-08,1.4193094663897559e-08,1.3722502059707283e-08,1.437248559170559e-08,1.4016051129191853e-08,1.1741377546546385e-08,1.1674256868870937e-08,1.227782627944179e-08,1.19367663707769e-08,1.2528496193264602e-08,1.1846884201921792e-08,1.2598916855118352e-08,1.214918699591138e-08,3.060079133075803e-08,3.042319371384226e-08,3.137343692704421e-08,3.076587153836386e-08,3.1484388189852447e-08,3.13534475652851e-08,3.065482660162378e-08,8.506818884528096e-08,8.592405751808682e-08,8.514244832758071e-08,8.588864688015065e-08,8.568816976147162e-08,8.648221102773448e-08,8.537922812863207e-08,1.4152461236461472e-07,1.4304244395781073e-07,1.4187543575399848e-07,1.4319797376861876e-07,1.4272166277366427e-07,1.4382417581489086e-07,1.420533457807293e-07,1.4273415745381542e-07,1.2406175793766463e-07,1.2359633488612768e-07,1.2273072309128886e-07,1.2340776243162832e-07,1.2159744390863664e-07,1.2193846811279617e-07,1.705448675760871e-07,1.6908345158186873e-07,1.702690667799957e-07,1.681408864150185e-07,1.6893333739270732e-07,2.147803430817776e-07,2.1662462821116663e-07,2.1377454333950685e-07,2.1459886113748504e-07,1.88730556937569e-07,1.864637634988074e-07,1.8772496206682364e-07,2.770165797106988e-07,LC_V24_H3p5_T8,2.770165797106988e-07
27,leg,4.697075241789764e-08,1.3673575624046133e-08,1.3583624840966124e-08,1.3688409857794274e-08,1.359823184272862e-08,1.3759342501108405e-08,1.3817668304110712e-08,1.3712208722657983e-08,1.4545171082927357e-08,1.3896948867145123e-08,1.3775010133730289e-08,1.4305453335213579e-08,1.4026976308464732e-08,9.007607250002667e-09,8.895977222443068e-09,9.669091553390885e-09,9.252662149208578e-09,8.92348773855699e-09,9.366445522185848e-09,9.117022486155788e-09,8.410835920841615e-09,8.364044955640086e-09,8.826394414198157e-09,8.578420014927522e-09,8.99968086469266e-09,8.531690220676478e-09,9.05844019410348e-09,8.754181537017618e-09,1.6214545551421076e-08,1.608981025836678e-08,1.68491206298873e-08,1.6438746837398928e-08,1.6965297265064457e-08,1.6932831359700657e-08,1.6526667964911554e-08,5.832893308854366e-08,5.920978855820438e-08,5.857853543995714e-08,5.930572752620651e-08,5.920074309547658e-08,5.983307395888415e-08,5.896013563734918e-08,1.0091897338562115e-07,1.0206522927039566e-07,1.0126908787813285e-07,1.0220118734810361e-07,1.0196455193226548e-07,1.0271531797781961e-07,1.016375984104786e-07,1.0206867393176338e-07,8.16031589462066e-08,8.14613404758768e-08,8.104698408422294e-08,8.165416045644396e-08,8.065337910114038e-08,8.087859700092169e-08,1.0672392597029009e-07,1.0622626368912187e-07,1.0728526300460837e-07,1.0633244648221868e-07,1.0712416716614562e-07,1.3847405592139938e-07,1.4016452199186856e-07,1.388423471305685e-07,1.397331538276398e-07,1.2603552691306595e-07,1.2495320575483402e-07,1.2614344004555754e-07,1.8803570291967024e-07,LC_V24_H3p5_T8,1.8803570291967024e-07
30,leg,4.672029975443809e-08,1.5894823224711525e-08,1.594451830751446e-08,1.586868236195777e-08,1.5915367955468992e-08,1.588003524783411e-08,2.4890974203945423e-08,2.4791383713603566e-08,2.5621456077231635e-08,2.495803926316807e-08,2.483970956014256e-08,2.5364259439896176e-08,2.50829764882166e-08,1.9900893258021015e-08,1.9801938758135034e-08,2.053411229674273e-08,2.0122128363203603e-08,1.9790737563860486e-08,2.023693696830647e-08,1.9969098677594508e-08,1.9704176612185958e-08,1.9626477357360566e-08,2.021787744876043e-08,1.990263264282496e-08,2.0403208495559155e-08,1.9868434676947387e-08,2.0492888687332112e-08,2.0148231218991154e-08,4.089955899495432e-08,4.079073514005762e-08,4.135856735068359e-08,4.0950884424554417e-08,4.1408351686525304e-08,4.13582063919796e-08,4.0885733858270167e-08,1.0212805087452424e-07,1.030083137731283e-07,1.0226290930446686e-07,1.0296128023643268e-07,1.0263176209506027e-07,1.0338959669706374e-07,1.0218384794826339e-07,1.5834674001137395e-07,1.5916016440364541e-07,1.5833302195936512e-07,1.589820428705781e-07,1.5837871911930356e-07,1.5901706595584378e-07,1.5771406078312848e-07,1.5806308143635194e-07,1.6049188011209123e-07,1.5952083482234657e-07,1.5837791594259e-07,1.586170202208253e-07,1.576049818067014e-07,1.57275902461051e-07,2.1937906182888384e-07,2.1836114031630324e-07,2.1889358651985923e-07,2.175944457158892e-07,2.181653287460056e-07,2.825264287431836e-07,2.827772047363427e-07,2.809710070738314e-07,2.810729916545163e-07,2.672077936398141e-07,2.6540284488382364e-07,2.662624980811134e-07,4.026790286843611e-07,LC_V24_H3p5_T8,4.026790286843611e-07
31,leg,3.629898698271186e-08,1.2740243811050784e-08,1.2771279945258468e-08,1.271000439772074e-08,1.2742993516798165e-08,1.2706600327478924e-08,1.8670392030528143e-08,1.8587630171782195e-08,1.9266423076571475e-08,1.870501495492949e-08,1.8613933429402657e-08,1.9001940064126718e-08,1.8781569092548802e-08,1.3924818555104677e-08,1.3824075374152572e-08,1.4524769009407401e-08,1.4136755965754285e-08,1.3843084348307691e-08,1.4238221079142251e-08,1.4010647070991878e-08,1.4457761102425829e-08,1.4396352826311398e-08,1.487225759386296e-08,1.4599172320802235e-08,1.496844920553338e-08,1.451861296847489e-08,1.495599867904905e-08,1.4683876626195326e-08,2.463733083333324e-08,2.452949702982209e-08,2.5267318416590708e-08,2.485184116751095e-08,2.5385531308754252e-08,2.535362570204963e-08,2.493731798400281e-08,6.83510038103562e-08,6.915698030065298e-08,6.856492886906975e-08,6.921832875003446e-08,6.908897625982825e-08,6.966630968875869e-08,6.884189934676366e-08,1.1051277254135097e-07,1.1129895412252006e-07,1.1067845539116215e-07,1.1132866456547973e-07,1.1105282234137795e-07,1.1159769882632847e-07,1.107125822566904e-07,1.109974486702895e-07,1.0736126175409124e-07,1.0712062951735596e-07,1.0670973284122306e-07,1.0704707432428154e-07,1.0624356164901847e-07,1.0631947827454655e-07,1.3788718808521185e-07,1.3751344156057544e-07,1.3818140245756756e-07,1.3753540450278598e-07,1.3809323453808064e-07,1.7558387974341287e-07,1.7616518880567123e-07,1.754416419489157e-07,1.758827871923563e-07,1.672020337987518e-07,1.6647014990685586e-07,1.6718513444754728e-07,2.6005452800572093e-07,LC_V24_H3p5_T8,2.6005452800572093e-07
69,brace,1.4078772644903908e-08,7.881128244012634e-10,7.789079339818e-10,8.142160412669263e-10,7.911708768241812e-10,1.1158948504037746e-09,1.42379937649621e-09,1.4135292889637047e-09,1.5389562375719733e-09,1.4296758753611726e-09,1.4108922378332855e-09,2.162731017306919e-09,1.8355088076956916e-09,2.1383330452013476e-09,2.117906577219187e-09,2.6308870742664282e-09,2.51670331613056e-09,2.1986150153678077e-09,3.605779790550342e-09,3.1676947393736976e-09,3.7256865218136146e-09,3.682754694653457e-09,4.336963979121039e-09,4.156000806252817e-09,6.000286056597989e-09,4.903224618855944e-09,7.786252779509721e-09,6.77422746293345e-09,1.1792231850909322e-08,1.1738672314993783e-08,1.3307582784538648e-08,1.3058824097641379e-08,1.5640156216946658e-08,1.8051217910695795e-08,1.6537248077054158e-08,1.664789036889746e-08,1.6819076325314946e-08,1.6662757184869127e-08,1.836628796898271e-08,2.0771233091210482e-08,2.553008169903085e-08,2.2972783712087136e-08,2.2508999486194125e-08,2.2769241013241624e-08,2.2546966932831302e-08,2.297843786990184e-08,2.399490343354883e-08,2.901072370572262e-08,2.6264611500741036e-08,3.163515666703391e-08,2.7353783866408672e-08,2.7260916520197256e-08,2.831763559520665e-08,3.318637156326148e-08,3.021578696875364e-08,3.551651266011763e-08,4.330402799287695e-08,4.3260582573578106e-08,4.8251515282527385e-08,5.093998291118859e-08,5.8730894420117024e-08,5.638941066656301e-08,5.895525897558148e-08,6.139784961307276e-08,6.931782369724883e-08,5.7274487859855954e-08,6.010642182816497e-08,6.804066398798312e-08,8.324215589519298e-08,LC_V24_H3p5_T8,8.324215589519298e-08
70,brace,9.770637878436552e-09,1.933243699303586e-09,1.932082340782919e-09,1.939848112001036e-09,1.9295892040376285e-09,1.9730806683742632e-09,3.431876107086414e-09,3.415985695651645e-09,3.5248109853198493e-09,3.431269029415763e-09,3.412938651448701e-09,3.4815766669809634e-09,3.4382306542353784e-09,3.6013614748445865e-09,3.5843517210033417e-09,3.712565517423402e-09,3.6358807649921518e-09,3.563254142812003e-09,3.679714100531433e-09,3.608256062121491e-09,5.486545118042305e-09,5.470317977326637e-09,5.690360205295437e-09,5.620509752253795e-09,6.052269134921763e-09,5.664716501316623e-09,6.864864659593517e-09,6.077588957235783e-09,1.4440866446578443e-08,1.4410206286099194e-08,1.470006879289476e-08,1.459080523439916e-08,1.520443667593087e-08,1.5869689884444605e-08,1.5163606654656832e-08,2.3174998325105142e-08,2.336436412243714e-08,2.3225032245660246e-08,2.3617293722501574e-08,2.3803345323594944e-08,2.468521969489986e-08,2.3976338350609517e-08,3.090020257391251e-08,3.1112567499855126e-08,3.103037143284406e-08,3.141488747361363e-08,3.16919778696495e-08,3.2540266594619264e-08,3.188066970570745e-08,3.2785484546822025e-08,3.368228434866913e-08,3.36945292577799e-08,3.368830027674099e-08,3.40935912160555e-08,3.343065490156507e-08,3.414424249143968e-08,5.2224683349182544e-08,5.2171715275919637e-08,5.2933971719284375e-08,5.2967771589842846e-08,5.476102649425022e-08,6.588243425961559e-08,6.643137947989888e-08,6.613903807099618e-08,6.772285189422247e-08,6.400932776423304e-08,6.379502526315413e-08,6.520282138767203e-08,8.536443897749377e-08,LC_V24_H3p5_T8,8.536443897749377e-08
