member_id,member_class,LC_V26_H3p5_T8,LC_V2_H0p5_T5,LC_V2_H0p5_T6,LC_V2_H1p0_T7,LC_V2_H1p0_T8,LC_V2_H1p5_T8,LC_V4_H0p5_T5,LC_V4_H0p5_T6,LC_V4_H1p0_T5,LC_V4_H1p0_T7,LC_V4_H1p0_T8,LC_V4_H1p5_T7,LC_V4_H1p5_T8,LC_V6_H0p5_T5,LC_V6_H0p5_T6,LC_V6_H1p0_T5,LC_V6_H1p0_T6,LC_V6_H1p0_T8,LC_V6_H1p5_T7,LC_V6_H1p5_T8,LC_V8_H0p5_T5,LC_V8_H0p5_T6,LC_V8_H1p0_T5,LC_V8_H1p0_T6,LC_V8_H1p5_T6,LC_V8_H1p5_T8,LC_V8_H2p0_T7,LC_V8_H2p0_T8,LC_V10_H0p5_T5,LC_V10_H0p5_T6,LC_V10_H1p0_T5,LC_V10_H1p0_T6,LC_V10_H1p5_T6,LC_V10_H2p0_T7,LC_V10_H2p0_T8,LC_V12_H0p5_T5,LC_V12_H1p0_T5,LC_V12_H1p0_T6,LC_V12_H1p5_T6,LC_V12_H2p0_T7,LC_V12_H2p5_T7,LC_V12_H2p5_T8,LC_V14_H0p5_T5,LC_V14_H1p0_T5,LC_V14_H1p0_T6,LC_V14_H1p5_T6,LC_V14_H2p0_T7,LC_V14_H2p5_T7,LC_V14_H2p5_T8,LC_V14_H3p0_T8,LC_V16_H1p0_T5,LC_V16_H1p5_T6,LC_V16_H2p0_T7,LC_V16_H2p5_T7,LC_V16_H2p5_T8,LC_V16_H3p0_T8,LC_V18_H1p5_T6,LC_V18_H2p0_T7,LC_V18_H2p5_T7,LC_V18_H3p0_T8,LC_V18_H3p5_T8,LC_V20_H2p0_T7,LC_V20_H2p5_T7,LC_V20_H3p0_T8,LC_V20_H3p5_T8,LC_V22_H2p5_T7,LC_V22_H3p0_T8,LC_V22_H3p5_T8,LC_V24_H3p5_T8,worst_bin,worst_bin_contribution
18,leg,0.00012522162753516417,6.092008990813699e-05,0.00010629548227311291,6.007185617486527e-05,1.216257757268833e-05,1.2599648150526184e-05,0.00010129033881391898,7.912270061026797e-05,1.5214571536867797e-05,0.00012783199688107524,1.4022007738403052e-05,2.629613401552649e-05,1.7880932213077397e-05,0.00012317960614012326,5.368033505125783e-05,3.394620683779571e-05,0.00016183243236672415,8.72236042472704e-06,5.271298167867428e-05,1.4478805445948948e-05,8.552996062668158e-05,2.0527957500704973e-05,5.308180778478919e-05,0.00011772472253470711,7.659543061889969e-05,8.54287730248193e-06,1.398996908018146e-05,8.500932627065388e-06,0.00016062064415216102,1.982344634132048e-05,0.00017390938060958316,0.0002142080503501017,0.00034068173749836984,9.420506426991384e-05,2.823513460646574e-05,0.00023294413633026705,0.0003914049828664806,0.00035482601567495177,0.0009655019996827735,0.0004154930077620121,8.38908360519009e-05,9.623396737895243e-05,0.00017408162677317349,0.00031638647486976416,0.00026805691644063895,0.0012021818666352597,0.0008289601408265253,0.00025568244470008423,0.00016433683055463544,0.00011686239835930818,9.358188644024002e-05,0.0004350389314433231,0.0009569917232851398,0.0003472059210541189,0.00014080967925047795,0.0001599420169813186,0.00018815043102706557,0.0009080619816896522,0.00045642636194609106,0.00022601149013830112,0.00011668719899200995,0.00020996105016228876,0.0008513376073265421,0.00028973572126187277,0.00019596163970044103,0.00016966456879113724,0.00017476020069465123,0.00047676613552554526,0.0006185986577323744,LC_V14_H1p5_T6,0.0012021818666352597
19,leg,9.547628490761321e-05,4.8084682569219295e-05,8.386783429524444e-05,4.7360847114789245e-05,9.587870032686374e-06,9.918898556879328e-06,7.327466309102926e-05,5.724346098418961e-05,1.1006459012689805e-05,9.254387730438189e-05,1.0150640629533179e-05,1.904325021809985e-05,1.2951147607756945e-05,7.885555093175629e-05,3.432029795817476e-05,2.196284849633292e-05,0.00010395186533721186,5.582983022642295e-06,3.3862664938610977e-05,9.281204957032226e-06,5.935461924008937e-05,1.4237732530763247e-05,3.708092911163149e-05,8.201559219596928e-05,5.3582368605723746e-05,5.959324925554794e-06,9.79833074106594e-06,5.957105350272623e-06,8.52235447180737e-05,1.0494105085901294e-05,9.369016241639453e-05,0.00011456843422952672,0.00018379397692405185,5.0793609123323646e-05,1.5170657925796922e-05,0.0001600933413788184,0.0002701868977858483,0.00024479268266856325,0.0006684429122017452,0.0002880964037521132,5.826432296789064e-05,6.679422989450556e-05,0.00012451357088098236,0.00022642863164748522,0.0001918060182925494,0.0008599483611092546,0.0005927543498552427,0.0001826527948480701,0.00011751200389995329,8.343681761163011e-05,6.273033588784627e-05,0.00029238857038494086,0.0006445004916924957,0.00023441289288427442,9.520130387853154e-05,0.0001081108930901856,0.00012121478149736375,0.0005870338261083364,0.00029599306876436306,0.00014682528633913906,7.595170672021567e-05,0.0001390946217697767,0.0005661006587358473,0.00019335102259287915,0.0001310928643259996,0.00011686122319352603,0.00012085070372494743,0.00033018519467462574,0.00043001619970200425,LC_V14_H1p5_T6,0.0008599483611092546
22,leg,9.590844812355541e-05,5.626517177284336e-05,9.912727973874347e-05,5.5265925617680844e-05,1.1296618368875173e-05,1.1521284402988371e-05,0.0001351565016303966,0.00010584108215098602,2.001335661319471e-05,0.00017015093373999224,1.8719179154317427e-05,3.4683814943306705e-05,2.3723017613463327e-05,0.00017814629944989702,7.805423262037223e-05,4.8020099579927974e-05,0.00023190551237249293,1.2668361775594299e-05,7.523022897884388e-05,2.085647898737053e-05,0.00014183838694724395,3.407325416650607e-05,8.735953978602801e-05,0.00019460906928846396,0.00012498920804554408,1.414304264910718e-05,2.272274663613923e-05,1.3966868073884206e-05,0.0002115326819304227,2.614486330395861e-05,0.0002271878002624535,0.00028136814784121745,0.0004431840030901263,0.00012238963837263154,3.69418003520947e-05,0.00027068325205882273,0.000454319662342979,0.00041242469187655534,0.0011206156835614314,0.0004821951789971423,9.723764466087186e-05,0.00011171788690238967,0.00018966260737412308,0.0003432830525902998,0.0002913881302764896,0.001300998418965826,0.0008951523964550586,0.00027508590606614605,0.00017711829066766117,0.0001255142292738105,0.0001191670849431332,0.0005533471025364535,0.0012174468302789312,0.0004407248986470246,0.00017986008425516153,0.0002034725787249216,0.000240680400098349,0.001165951256116123,0.0005837324384584852,0.0002903011674009346,0.00014945360555655032,0.00027634677991822935,0.001113453228120855,0.00038135800880180585,0.0002570889615847672,0.00024058668631681581,0.0002492905011301028,0.0006771604409721314,0.000900413595263698,LC_V14_H1p5_T6,0.001300998418965826
23,leg,7.404867855623114e-05,4.466149261176008e-05,7.860523835001427e-05,4.383776452346236e-05,8.9561705740699e-06,9.130862653129938e-06,0.00010100127010930839,7.908414519224559e-05,1.4978334183865565e-05,0.0001270932822548349,1.3983670867853042e-05,2.5888181374334456e-05,1.7706512384209266e-05,0.00012398961529144566,5.4222133340466723e-05,3.369781366906511e-05,0.0001618329435348983,8.809552470213285e-06,5.250681874327414e-05,1.4529338409423276e-05,0.00010283082903117084,2.469450783635864e-05,6.342956199192913e-05,0.00014104266678376662,9.060267720557785e-05,1.0235344039500886e-05,1.6432543651206472e-05,1.0100174645653137e-05,0.0001269719417982344,1.5677201043296735e-05,0.0001379984675040809,0.00017008533886890917,0.0002704079360885527,7.48404682411224e-05,2.250762553865272e-05,0.00018066301319802298,0.0003047146152735301,0.00027634332237601875,0.0007541037142110984,0.00032509970315001307,6.576013828162069e-05,7.5387283705584e-05,0.00013197278263117645,0.0002390697565022132,0.00020295877094176105,0.000907305485520036,0.0006254078168947595,0.0001924265312035887,0.00012401794056821728,8.797715072251123e-05,7.896083453196726e-05,0.00036790901704683376,0.0008121289937219912,0.00029412218685189687,0.0001200466310341856,0.00013608896133215792,0.00014925095758343653,0.0007238154370281006,0.0003633928121107844,0.00018087032208169963,9.332240855880023e-05,0.00016930475544490157,0.0006836298764123232,0.00023460025021121843,0.0001585240727748064,0.0001481195919017338,0.00015381231906260546,0.0004185748005521696,0.0005710693267976646,LC_V14_H1p5_T6,0.000907305485520036
26,leg,0.00012579495319053522,6.0975238551508033e-05,0.00010637618680325152,6.012022351328134e-05,1.2169983620081966e-05,1.2610542114852774e-05,0.00010146701219272325,7.920517848364289e-05,1.5322288137033984e-05,0.00012810025430686004,1.4041343774011709e-05,2.6411311352989938e-05,1.7931001428274984e-05,0.00012357243139294008,5.381390245705878e-05,3.423325461706723e-05,0.00016274239208558658,8.753633395239562e-06,5.3077880102160855e-05,1.4560935926364148e-05,8.471513793950356e-05,2.031966257513172e-05,5.303452057877376e-05,0.00011693710730662098,7.675267671585956e-05,8.474858613599264e-06,1.4007561162951312e-05,8.469789380687398e-06,0.00015909916351297516,1.961601760766006e-05,0.00017298025905094976,0.0002125288641523015,0.0003385769039576398,9.34360730880102e-05,2.7937038346406864e-05,0.00022888322024315416,0.00038485375376196495,0.00034895905652044363,0.0009503893243489526,0.00040937182582400137,8.275164471319225e-05,9.492323705194232e-05,0.00017152713822010765,0.0003118648652062417,0.00026406991049235276,0.0011845506003629904,0.0008157957700107748,0.0002516428491601719,0.00016148921427807004,0.00011478752872633399,9.27060367278363e-05,0.0004313808621070243,0.0009492714877104683,0.00034469120744788054,0.0001396214870437582,0.00015862611954481153,0.00018727769209778323,0.0009033259219467266,0.00045424878627343496,0.00022447725371333918,0.00011584671268246694,0.00020991842607348286,0.0008518196861016057,0.000289782422170825,0.0001960520824395259,0.00016983718321776612,0.0001750192109669613,0.0004772881822524343,0.000617841305230067,LC_V14_H1p5_T6,0.0011845506003629904
27,leg,9.578755882264133e-05,4.847903770060402e-05,8.455878253509071e-05,4.775186440154503e-05,9.667167344784793e-06,1.0001160154386184e-05,7.481059009295436e-05,5.839814053283284e-05,1.130200898088766e-05,9.449338777327363e-05,1.0358308398513981e-05,1.949340426298276e-05,1.3232706686279468e-05,8.039866576370077e-05,3.4988127927084864e-05,2.2451425442602672e-05,0.00010611534043386889,5.693490943041131e-06,3.459726642076602e-05,9.473326713040926e-06,6.0699709476532776e-05,1.4561637494078678e-05,3.8135031291745284e-05,8.405815103401077e-05,5.51473960295562e-05,6.104792210168709e-06,1.0073612485727317e-05,6.104451410107341e-06,8.432113430592612e-05,1.0376442886989713e-05,9.291963709799077e-05,0.0001135828659834896,0.00018248109072054746,5.047208757791301e-05,1.5064643522782722e-05,0.00015697594903305386,0.00026526264521879365,0.0002401425082190266,0.000656392277733572,0.00028289415424181074,5.726497943064448e-05,6.55656571614828e-05,0.0001223426189011768,0.0002225779543709211,0.0001885350305858934,0.0008456177389211902,0.0005829635043610197,0.00017975741638558813,0.00011557019909566475,8.210264347765336e-05,6.0992939845479486e-05,0.0002843862094359791,0.0006270094869313203,0.000228121747955163,9.262987433892247e-05,0.00010523672258689343,0.00011722296476440406,0.0005676460384971641,0.0002862851725022779,0.00014199237489859393,7.347759731808555e-05,0.00013537135405445949,0.0005512887052949199,0.00018825159242450465,0.00012768580306163143,0.00011344555793701642,0.00011731167949518599,0.00032079329613539837,0.0004194825764032977,LC_V14_H1p5_T6,0.0008456177389211902
30,leg,9.525830882285756e-05,5.634311983472423e-05,9.923567773719261e-05,5.5346761705290566e-05,1.1312210948079496e-05,1.1540356498257843e-05,0.00013473053161979675,0.0001055572047945632,1.9903788826109944e-05,0.00016966316884744375,1.867406413015793e-05,3.455433265940895e-05,2.3656941436070623e-05,0.000177587216261954,7.786357403602247e-05,4.7668865620691464e-05,0.00023072073421549029,1.2624272273947273e-05,7.473332619048786e-05,2.0744852007660858e-05,0.00014216166548320418,3.4159535855023524e-05,8.732729424285815e-05,0.0001949646077254057,0.000124987611413781,1.4212556569784283e-05,2.2782602208574928e-05,1.404556343310718e-05,0.0002126351177650114,2.629958700066095e-05,0.00022802436303765727,0.00028287432174227905,0.00044527787461799494,0.00012324577568992488,3.72593297714239e-05,0.00027478289587290434,0.0004613712486100339,0.00041912551712914437,0.0011392970921947079,0.0004903153201298947,9.892855066089637e-05,0.00011360519837023896,0.00019191588343654562,0.00034700551348457436,0.00029470248687930693,0.001315117616684931,0.0009052904793975557,0.0002782250267579489,0.00017929246928215204,0.0001271150726437999,0.00011992779814850732,0.0005567610517226306,0.0012249743940063661,0.00044303041615533244,0.00018096474619634537,0.00020459363231235385,0.0002409017614586226,0.00116658490238226,0.0005839666692902453,0.0002904986355674549,0.0001496069303388878,0.0002761288957407743,0.0011119389101347812,0.00038086818924915804,0.00025677935171946925,0.00024045934174951703,0.00024911409587195175,0.0006769714242883002,0.0008981169302623565,LC_V14_H1p5_T6,0.001315117616684931
31,leg,7.402513643594823e-05,4.51702379264789e-05,7.950236406650916e-05,4.4338998863726216e-05,9.059221980427962e-06,9.236025764228524e-06,0.00010107926089535953,7.915809059290937e-05,1.496986798890712e-05,0.0001271800314155842,1.399632502865688e-05,2.5891741528449717e-05,1.7717167929725847e-05,0.00012428469006500785,5.436900545377643e-05,3.372550963105826e-05,0.00016212542789797706,8.832120826044326e-06,5.259119502655704e-05,1.4557836856476844e-05,0.00010433188818295652,2.50619070428217e-05,6.42517271066737e-05,0.00014304259001131407,9.171425826458796e-05,1.0387795503068692e-05,1.6630464338107486e-05,1.0238368522600342e-05,0.0001281150414875677,1.5818508685951627e-05,0.00013933670539924056,0.00017170340083220913,0.00027303573680558896,7.556803404144254e-05,2.2729985208090638e-05,0.000183946550866277,0.0003098252437787697,0.00028107993910054483,0.000766100605930041,0.00033014395858663387,6.667567126353408e-05,7.655408152288471e-05,0.00013397366839330496,0.00024271585183468727,0.0002060534453530926,0.000921144253341736,0.000634927736063938,0.00019530371078696607,0.00012589014521639073,8.928552561266577e-05,8.024547083724371e-05,0.00037396462336215233,0.0008255473275662294,0.000299063392135849,0.00012201992149744635,0.0001383395729553275,0.00015145143088385617,0.000734834676439751,0.0003687294018813555,0.00018365927452443828,9.471942198874016e-05,0.00017164785933831736,0.0006928775722500821,0.00023787296387727696,0.00016071736189624924,0.00015049871798275856,0.0001562884780791746,0.00042516228403939154,0.0005801434846370614,LC_V14_H1p5_T6,0.000921144253341736
69,brace,2.917707795276444e-05,2.8396293334142625e-06,4.927543189068668e-06,2.886541507390468e-06,5.715943439358774e-07,8.242729720495998e-07,7.833899196199445e-06,6.117823129785581e-06,1.2152413371415336e-06,9.879138143657737e-06,1.078177820283131e-06,2.994848764209895e-06,1.7596731479667333e-06,1.9396939522368655e-05,8.46548423601975e-06,6.2083055789487125e-06,2.9333052096428532e-05,1.4256449695712468e-06,1.353528343536627e-05,3.3450131313580193e-06,2.732584529717706e-05,6.516068935790204e-06,1.9043041049383592e-05,4.138605162061315e-05,3.736428976366947e-05,3.5654451920327313e-06,8.798999367891939e-06,4.800328577194943e-06,6.232075707604835e-05,7.693544755414298e-06,7.458107113690905e-05,9.169555738232921e-05,0.0001709576755742823,5.4678040335025346e-05,1.5318820884307524e-05,4.5532527251098044e-05,7.657695542908327e-05,6.942092749135097e-05,0.00020658377641841842,0.00010086990668286,2.4830989792706707e-05,2.5961508616299814e-05,2.773176877754669e-05,5.0462671582870044e-05,4.265989165590381e-05,0.0001932218274419536,0.00013941939318801448,5.159588444500982e-05,3.035084083483039e-05,2.586048040998765e-05,2.077807223087783e-05,9.671921672863357e-05,0.00022264074065940427,9.42216071361058e-05,3.526699434999952e-05,4.69638099617099e-05,4.833839688406347e-05,0.00023493712480049373,0.00013085002641365944,6.912881665611103e-05,4.0938287175053025e-05,5.60236427789935e-05,0.0002356528314184907,8.460119308186121e-05,6.437088745561835e-05,5.239235463935921e-05,5.734883700872401e-05,0.00017584628333284003,0.0001887252998374798,LC_V20_H2p5_T7,0.0002356528314184907
70,brace,2.0248979244888895e-05,6.96537180748967e-06,1.2222340821843339e-05,6.8768714128404195e-06,1.3940150293175485e-06,1.4574156489546563e-06,1.8881619511570374e-05,1.4783817348128067e-05,2.783241820000435e-06,2.3709075179136695e-05,2.607975219538468e-06,4.821008694111795e-06,3.296067675930342e-06,3.2666401932734466e-05,1.4326246102842491e-05,8.760508126304148e-06,4.237579982911688e-05,2.31039177430129e-06,1.3812700283006629e-05,3.810159813700738e-06,4.023875151788844e-05,9.678391601779164e-06,2.4984710035872e-05,5.596814014665048e-05,3.768800460130494e-05,4.119119104117953e-06,7.75784963473409e-06,4.306721937418556e-06,7.631616272415448e-05,9.444183772232113e-06,8.238375658912795e-05,0.00010245076754373215,0.00016619516274547088,4.807066056797198e-05,1.4046495864995165e-05,6.338163445698009e-05,0.00010637307499515629,9.675674711344623e-05,0.00026563912289108204,0.00011559243847451994,2.400927050917869e-05,2.7095385287290805e-05,3.806837799709522e-05,6.895077253960359e-05,5.870841777338172e-05,0.00026415139271194886,0.00018413695888275315,5.787252420909271e-05,3.6839904310855105e-05,2.680071208589717e-05,2.5584361078700957e-05,0.00011954114778034398,0.0002648606478617262,9.679695884426625e-05,3.901874954391832e-05,4.5149382447234246e-05,5.8294265331256926e-05,0.0002833219775693719,0.00014354651184949127,7.188034190769272e-05,3.817139710929148e-05,6.545316892662742e-05,0.00026553206700527163,9.113350427116372e-05,6.288995732986747e-05,5.8552386787737104e-05,6.08678704368781e-05,0.0001685129750598017,0.00019353649707226812,LC_V18_H2p0_T7,0.0002833219775693719
