point_id,member_id,end,member_class,D_corroded_final,t_corroded_final,z,propset,environment,category,corrosion_horizon_years,D_life,life_years,worst_year,worst_theta_deg,n_bins_used
0,18,1,leg,1.1925,0.027500000000000004,-8.922,3,free_corrosion,B1,25.0,0.0920185006716901,271.68449624273615,25,180.0,345
1,18,2,leg,1.1925,0.027500000000000004,4.378,3,free_corrosion,B1,25.0,0.07835058193656044,319.07867666180465,25,247.49999999999997,345
2,19,1,leg,1.1925,0.027500000000000004,4.378,3,free_corrosion,B1,25.0,0.047982502320349965,521.0232645452757,25,270.0,345
3,19,2,leg,1.1925,0.027500000000000004,15.651,3,free_corrosion,B1,25.0,0.06236326339319935,400.8770330438837,25,180.0,345
4,22,1,leg,1.1925,0.027500000000000004,-8.922,3,free_corrosion,B1,25.0,0.1143921129263189,218.5465357747413,25,180.0,345
5,22,2,leg,1.1925,0.027500000000000004,4.378,3,free_corrosion,B1,25.0,0.09404201239389338,265.83863279411673,25,112.5,345
6,23,1,leg,1.1925,0.027500000000000004,4.378,3,free_corrosion,B1,25.0,0.05596653625272111,446.69550188188555,25,90.0,345
7,23,2,leg,1.1925,0.027500000000000004,15.651,3,free_corrosion,B1,25.0,0.07553988791465638,330.9509808678106,25,180.0,345
8,26,1,leg,1.1925,0.027500000000000004,-8.922,3,free_corrosion,B1,25.0,0.09129681060311048,273.83212879890294,25,180.0,345
9,26,2,leg,1.1925,0.027500000000000004,4.378,3,free_corrosion,B1,25.0,0.07799538282131878,320.53179426368115,25,247.49999999999997,345
10,27,1,leg,1.1925,0.027500000000000004,4.378,3,free_corrosion,B1,25.0,0.0486633557448003,513.7335807893038,25,270.0,345
11,27,2,leg,1.1925,0.027500000000000004,15.651,3,free_corrosion,B1,25.0,0.061242820251597184,408.21111596910845,25,180.0,345
12,30,1,leg,1.1925,0.027500000000000004,-8.922,3,free_corrosion,B1,25.0,0.1150104420348394,217.3715669436946,25,180.0,345
13,30,2,leg,1.1925,0.027500000000000004,4.378,3,free_corrosion,B1,25.0,0.0944004108343576,264.829355921628,25,112.5,345
14,31,1,leg,1.1925,0.027500000000000004,4.378,3,free_corrosion,B1,25.0,0.05694618631037246,439.0109613968368,25,90.0,345
15,31,2,leg,1.1925,0.027500000000000004,15.651,3,free_corrosion,B1,25.0,0.07659744460673962,326.3816453453894,25,180.0,345
16,69,1,brace,0.7925000000000001,0.01625,-8.922,1,free_corrosion,B1,25.0,0.021950532844321052,1138.9245161976964,25,270.0,345
17,69,2,brace,0.7925000000000001,0.01625,-1.958,1,free_corrosion,B1,25.0,0.02064585349149426,1210.896900450232,25,247.49999999999997,345
18,70,1,brace,0.7925000000000001,0.01625,-1.958,1,free_corrosion,B1,25.0,0.023203214009976096,1077.4369442634709,25,202.5,345
19,70,2,brace,0.7925000000000001,0.01625,4.378,1,free_corrosion,B1,25.0,0.02615939887898009,955.6794525614384,25,202.5,345
20,71,1,brace,0.7925000000000001,0.01625,-8.922,1,free_corrosion,B1,25.0,0.025549996590035987,978.4737118027454,25,90.0,345
21,71,2,brace,0.7925000000000001,0.01625,-1.958,1,free_corrosion,B1,25.0,0.021793764715186216,1147.1170918248756,25,157.5,345
22,72,1,brace,0.7925000000000001,0.01625,-1.958,1,free_corrosion,B1,25.0,0.023285868851260102,1073.6125054937402,25,180.0,345
23,72,2,brace,0.7925000000000001,0.01625,4.378,1,free_corrosion,B1,25.0,0.026899469027028382,929.3863746856932,25,135.0,345
24,73,1,brace,0.7925000000000001,0.01625,-8.922,1,free_corrosion,B1,25.0,0.024338775470743423,1027.1675347862674,25,90.0,345
25,73,2,brace,0.7925000000000001,0.01625,-1.958,1,free_corrosion,B1,25.0,0.022504064423046834,1110.9104351122028,25,157.5,345
26,74,1,brace,0.7925000000000001,0.01625,-1.958,1,free_corrosion,B1,25.0,0.02286160477866689,1093.5365317542598,25,157.5,345
27,74,2,brace,0.7925000000000001,0.01625,4.378,1,free_corrosion,B1,25.0,0.027957426743506805,894.2167757197584,25,157.5,345
28,75,1,brace,0.7925000000000001,0.01625,-8.922,1,free_corrosion,B1,25.0,0.024667071589580186,1013.4968761577863,25,270.0,345
29,75,2,brace,0.7925000000000001,0.01625,-1.958,1,free_corrosion,B1,25.0,0.020525726293128956,1217.983697286698,25,202.5,345
30,76,1,brace,0.7925000000000001,0.01625,-1.958,1,free_corrosion,B1,25.0,0.025021126488184286,999.1556539952643,25,180.0,345
31,76,2,brace,0.7925000000000001,0.01625,4.378,1,free_corrosion,B1,25.0,0.026381541123650803,947.6322813297566,25,202.5,345
32,77,1,brace,0.7925000000000001,0.01625,-8.922,1,free_corrosion,B1,25.0,0.06266929031614833,398.91946875227524,25,67.5,345
33,77,2,brace,0.7925000000000001,0.01625,-1.958,1,free_corrosion,B1,25.0,0.059049703673772214,423.37214997920665,25,157.5,345
34,78,1,brace,0.7925000000000001,0.01625,-1.958,1,free_corrosion,B1,25.0,0.061101409862860695,409.15586164233116,25,157.5,345
35,78,2,brace,0.7925000000000001,0.01625,4.378,1,free_corrosion,B1,25.0,0.04545622705511318,549.9796533858579,25,45.0,345
36,79,1,brace,0.7925000000000001,0.01625,-8.922,1,free_corrosion,B1,25.0,0.06495114320615218,384.90469552862305,25,292.5,345
37,79,2,brace,0.7925000000000001,0.01625,-1.958,1,free_corrosion,B1,25.0,0.06263290039600229,399.15124226940145,25,202.5,345
38,80,1,brace,0.7925000000000001,0.01625,-1.958,1,free_corrosion,B1,25.0,0.057591071407159015,434.09506698103047,25,202.5,345
39,80,2,brace,0.7925000000000001,0.01625,4.378,1,free_corrosion,B1,25.0,0.048097751821793995,519.7748138546474,25,202.5,345
40,81,1,brace,0.7925000000000001,0.01625,-8.922,1,free_corrosion,B1,25.0,0.0557401693300865,448.50958115955916,25,292.5,345
41,81,2,brace,0.7925000000000001,0.01625,-1.958,1,free_corrosion,B1,25.0,0.05572862063729748,448.60252620837804,25,180.0,345
42,82,1,brace,0.7925000000000001,0.01625,-1.958,1,free_corrosion,B1,25.0,0.051648030882878594,484.04555938816134,25,202.5,345
43,82,2,brace,0.7925000000000001,0.01625,4.378,1,free_corrosion,B1,25.0,0.040753067032170305,613.450761393372,25,225.0,345
44,83,1,brace,0.7925000000000001,0.01625,-8.922,1,free_corrosion,B1,25.0,0.053251690661158604,469.46866267731133,25,67.5,345
45,83,2,brace,0.7925000000000001,0.01625,-1.958,1,free_corrosion,B1,25.0,0.05303779921029132,471.3619413369072,25,157.5,345
46,84,1,brace,0.7925000000000001,0.01625,-1.958,1,free_corrosion,B1,25.0,0.05345186164234811,467.71055734742345,25,157.5,345
47,84,2,brace,0.7925000000000001,0.01625,4.378,1,free_corrosion,B1,25.0,0.03909764608969783,639.424684101058,25,157.5,345
48,85,1,brace,0.7925000000000001,0.01625,4.378,1,free_corrosion,B1,25.0,0.029662320208580777,842.8201106388148,25,337.5,345
49,85,2,brace,0.7925000000000001,0.01625,10.262,1,free_corrosion,B1,25.0,0.03262398845217527,766.3072844894008,25,202.5,345
50,87,1,brace,0.7925000000000001,0.01625,4.378,1,free_corrosion,B1,25.0,0.027357589089854625,913.8232143881085,25,22.5,345
51,87,2,brace,0.7925000000000001,0.01625,10.262,1,free_corrosion,B1,25.0,0.031082683871205198,804.306349592927,25,157.5,345
52,89,1,brace,0.7925000000000001,0.01625,4.378,1,free_corrosion,B1,25.0,0.030544520481195794,818.4774095697727,25,22.5,345
53,89,2,brace,0.7925000000000001,0.01625,10.262,1,free_corrosion,B1,25.0,0.034354361499343324,727.7096388613676,25,157.5,345
54,91,1,brace,0.7925000000000001,0.01625,4.378,1,free_corrosion,B1,25.0,0.02729430428754743,915.9420125394379,25,337.5,345
55,91,2,brace,0.7925000000000001,0.01625,10.262,1,free_corrosion,B1,25.0,0.02945206486198238,848.8369191482651,25,202.5,345
56,93,1,brace,0.7925000000000001,0.01625,4.378,1,free_corrosion,B1,25.0,0.055589281422807925,449.7269862125374,25,22.5,345
57,93,2,brace,0.7925000000000001,0.01625,10.262,1,free_corrosion,B1,25.0,0.053578960691565466,466.6010627551341,25,135.0,345
58,95,1,brace,0.7925000000000001,0.01625,4.378,1,free_corrosion,B1,25.0,0.05871357565607963,425.79590359885225,25,337.5,345
59,95,2,brace,0.7925000000000001,0.01625,10.262,1,free_corrosion,B1,25.0,0.05823594729941439,429.28811428901395,25,202.5,345
60,97,1,brace,0.7925000000000001,0.01625,4.378,1,free_corrosion,B1,25.0,0.04997864225762598,500.21366869335833,25,337.5,345
61,97,2,brace,0.7925000000000001,0.01625,10.262,1,free_corrosion,B1,25.0,0.05199710791823132,480.79597117812887,25,202.5,345
62,99,1,brace,0.7925000000000001,0.01625,4.378,1,free_corrosion,B1,25.0,0.04869519554746962,513.3976713499221,25,22.5,345
63,99,2,brace,0.7925000000000001,0.01625,10.262,1,free_corrosion,B1,25.0,0.049126128143358185,508.89416578985947,25,135.0,345
