member_id,zone,LC_V26_H3p5_T8,LC_V2_H0p5_T5,LC_V2_H0p5_T6,LC_V2_H1p0_T7,LC_V2_H1p0_T8,LC_V2_H1p5_T8,LC_V4_H0p5_T5,LC_V4_H0p5_T6,LC_V4_H1p0_T5,LC_V4_H1p0_T7,LC_V4_H1p0_T8,LC_V4_H1p5_T7,LC_V4_H1p5_T8,LC_V6_H0p5_T5,LC_V6_H0p5_T6,LC_V6_H1p0_T5,LC_V6_H1p0_T6,LC_V6_H1p0_T8,LC_V6_H1p5_T7,LC_V6_H1p5_T8,LC_V8_H0p5_T5,LC_V8_H0p5_T6,LC_V8_H1p0_T5,LC_V8_H1p0_T6,LC_V8_H1p5_T6,LC_V8_H1p5_T8,LC_V8_H2p0_T7,LC_V8_H2p0_T8,LC_V10_H0p5_T5,LC_V10_H0p5_T6,LC_V10_H1p0_T5,LC_V10_H1p0_T6,LC_V10_H1p5_T6,LC_V10_H2p0_T7,LC_V10_H2p0_T8,LC_V12_H0p5_T5,LC_V12_H1p0_T5,LC_V12_H1p0_T6,LC_V12_H1p5_T6,LC_V12_H2p0_T7,LC_V12_H2p5_T7,LC_V12_H2p5_T8,LC_V14_H0p5_T5,LC_V14_H1p0_T5,LC_V14_H1p0_T6,LC_V14_H1p5_T6,LC_V14_H2p0_T7,LC_V14_H2p5_T7,LC_V14_H2p5_T8,LC_V14_H3p0_T8,LC_V16_H1p0_T5,LC_V16_H1p5_T6,LC_V16_H2p0_T7,LC_V16_H2p5_T7,LC_V16_H2p5_T8,LC_V16_H3p0_T8,LC_V18_H1p5_T6,LC_V18_H2p0_T7,LC_V18_H2p5_T7,LC_V18_H3p0_T8,LC_V18_H3p5_T8,LC_V20_H2p0_T7,LC_V20_H2p5_T7,LC_V20_H3p0_T8,LC_V20_H3p5_T8,LC_V22_H2p5_T7,LC_V22_H3p0_T8,LC_V22_H3p5_T8,LC_V24_H3p5_T8,worst_bin,worst_bin_damage
1,submerged,1.2192710793030579e-09,3.2761528056793454e-11,3.258208681866165e-11,4.0734063816583825e-11,4.06449461416683e-11,5.831793786499271e-11,5.128528499833209e-11,5.127144801188876e-11,6.589478830195691e-11,6.442310235483243e-11,6.457447047490374e-11,9.335391183701131e-11,9.383818266334859e-11,1.29234605530749e-10,1.2878524434923358e-10,1.5405324813446575e-10,1.527269143596515e-10,1.516777497856329e-10,2.0110270491729746e-10,2.005004366557985e-10,1.1151755330417683e-10,1.1147743479227186e-10,1.3501830568522658e-10,1.3445561083025553e-10,1.812683486064908e-10,1.8333152873234844e-10,2.696484510243955e-10,2.67957092131878e-10,4.6562531103770975e-09,4.631803495254688e-09,4.7864579652240526e-09,4.729440069871357e-09,4.992839855871226e-09,5.295187602042576e-09,5.1864725181457355e-09,7.3702955473168866e-09,7.525198491904774e-09,7.454501055026196e-09,7.806676595760927e-09,8.270268349879919e-09,9.112583359083605e-09,8.910326532974579e-09,1.0691937423940733e-08,1.0873389174266926e-08,1.0804367065821711e-08,1.1210749847108963e-08,1.1837518054263452e-08,1.284899552110645e-08,1.2728966205476632e-08,1.4096174779660433e-08,1.1460278338629896e-08,1.1626259765275444e-08,1.211238261642793e-08,1.3190822649839852e-08,1.2951920151572018e-08,1.4335122594263804e-08,2.6037202200969715e-08,2.65398946283601e-08,2.7872150337225536e-08,2.9238618973995942e-08,3.167255254492273e-08,3.339378665257817e-08,3.492413074803001e-08,3.622955008116809e-08,3.899524970319104e-08,2.382114362407785e-08,2.5126595315694646e-08,2.7518139068831826e-08,3.734522367501226e-08,LC_V20_H3p5_T8,3.899524970319104e-08
2,submerged,6.818868387210001e-10,2.1280409769773196e-11,2.1139192783553595e-11,2.5699867817240622e-11,2.558203230830929e-11,3.523441159160577e-11,3.121895616028392e-11,3.1163796199708955e-11,3.930971393136422e-11,3.8220259764203636e-11,3.822113851694039e-11,5.339731465366183e-11,5.335789580234959e-11,7.178991444128137e-11,7.141113711886565e-11,8.526438751990446e-11,8.402905042059375e-11,8.30694816172504e-11,1.0892188347015218e-10,1.0832883163749484e-10,5.917021035262514e-11,5.916622069513528e-11,7.16024973930509e-11,7.105935624611166e-11,9.495377532405124e-11,9.498093833782168e-11,1.385071626220665e-10,1.3701960362838716e-10,2.3641051417904977e-09,2.35020792826719e-09,2.42824193401811e-09,2.397364210244974e-09,2.5287288227854727e-09,2.6740224962707855e-09,2.609019048301361e-09,3.863668522939579e-09,3.939806427313429e-09,3.903286245449176e-09,4.078722292124045e-09,4.309686069095869e-09,4.7383768142591455e-09,4.625821232522511e-09,5.679572840644605e-09,5.780067703175245e-09,5.742724669983587e-09,5.960075369826988e-09,6.27484911060105e-09,6.794011058555812e-09,6.713005393642172e-09,7.411314904449417e-09,6.039751097892534e-09,6.119066416430319e-09,6.3542272835792926e-09,6.903352810024022e-09,6.767774461983375e-09,7.473472663318979e-09,1.3593709274483654e-08,1.3807630242382099e-08,1.4477836724022164e-08,1.5106634115172072e-08,1.631061620886322e-08,1.7545791562906422e-08,1.8322404308250543e-08,1.8880320871315844e-08,2.0270769445729875e-08,1.2279014608553967e-08,1.2914941986051945e-08,1.410680268306569e-08,1.9483812384434288e-08,LC_V20_H3p5_T8,2.0270769445729875e-08
3,submerged,3.9257644121540927e-10,1.871195630491645e-11,1.8551578512333538e-11,2.0943003210465223e-11,2.0703486250414e-11,2.5367728111482707e-11,2.326872677807819e-11,2.3137020263569918e-11,2.781238368090091e-11,2.6505219736064646e-11,2.6290857867259146e-11,3.340302859828696e-11,3.2794399847391805e-11,4.13326760684497e-11,4.0861894057962746e-11,4.830540668899562e-11,4.6873922039121964e-11,4.5562722195922765e-11,5.723287501399526e-11,5.614347823712771e-11,3.0387017863597635e-11,3.028245256100915e-11,3.587560099333523e-11,3.530038052907254e-11,4.5253979602297477e-11,4.3782020171982e-11,6.077337252111965e-11,5.899784943501259e-11,9.888173619633638e-10,9.816925846778448e-10,1.0177195236298968e-09,9.995306460927503e-10,1.0493125617232126e-09,1.096563029088662e-09,1.0629292150310556e-09,1.8203333028894927e-09,1.8541091242728084e-09,1.8356820432412239e-09,1.9089716047718908e-09,1.9957217851704507e-09,2.161627886173532e-09,2.1052738862890757e-09,2.8326580831933024e-09,2.887044858293098e-09,2.865267996759521e-09,2.973351723464655e-09,3.1038140885180953e-09,3.333526723534789e-09,3.265978640199371e-09,3.561722369985684e-09,2.935980714678069e-09,2.9656925052536572e-09,3.0365286500061117e-09,3.25898043112951e-09,3.1747635747179176e-09,3.451001435412596e-09,6.4209384473174924e-09,6.442816474797136e-09,6.6948095676025716e-09,6.8540129519210795e-09,7.305851392672997e-09,8.484593987968967e-09,8.802337878852e-09,8.88640196393433e-09,9.389483009629132e-09,5.603115207617537e-09,5.767017258631558e-09,6.210762667945736e-09,9.219316418871288e-09,LC_V20_H3p5_T8,9.389483009629132e-09
4,submerged,8.386240243674883e-11,9.564148670092855e-12,9.536212674478004e-12,1.0030600948256778e-11,9.94175757649501e-12,1.0827265707155047e-11,1.0320346990314579e-11,1.0249120365894244e-11,1.1672507878329303e-11,1.1022324865991245e-11,1.0874347664955118e-11,1.2541121959513447e-11,1.2158874796303242e-11,1.1548405366505864e-11,1.137690451556404e-11,1.322598844204241e-11,1.2677881706621783e-11,1.2007930730072639e-11,1.4236870424131311e-11,1.3639556621388398e-11,1.2027459005373257e-11,1.196972533635208e-11,1.3321428310198128e-11,1.3014707707165828e-11,1.514606628720213e-11,1.4288939983327715e-11,1.7536933046776542e-11,1.673727493077072e-11,1.712620352115019e-10,1.700830610455095e-10,1.769234739787962e-10,1.731726010376192e-10,1.8221552779351398e-10,1.8829491809803704e-10,1.8053574990815984e-10,4.231602267286303e-10,4.2930565228939455e-10,4.255732445748309e-10,4.384932574174385e-10,4.500314021085775e-10,4.742757228244209e-10,4.605786610207408e-10,7.296946497719154e-10,7.474503895162162e-10,7.392047521256177e-10,7.663054697834921e-10,7.880936488131655e-10,8.309554549969253e-10,8.107157630811436e-10,8.581142152852739e-10,6.443520282779502e-10,6.489594777422443e-10,6.550745649084774e-10,6.878696086514229e-10,6.666976389289619e-10,7.024858233647757e-10,1.2866911795621443e-09,1.290038740730974e-09,1.3290424501369538e-09,1.3385421116287072e-09,1.3970565757429993e-09,1.6208733957038212e-09,1.6674711302782424e-09,1.6610690824700738e-09,1.728742428978395e-09,1.0766599107710898e-09,1.0792576436089893e-09,1.1351056873097514e-09,1.7702738195386472e-09,LC_V24_H3p5_T8,1.7702738195386472e-09
5,submerged,9.203069636964225e-10,3.0479810587144077e-11,3.097558957070579e-11,3.721903041662813e-11,3.7872559923264114e-11,5.2273627324261725e-11,6.587770635709129e-11,6.59734806642682e-11,8.12755140140253e-11,8.086313315803996e-11,8.143571377340438e-11,1.1333498709033969e-10,1.1438453731998886e-10,1.483484448519874e-10,1.4795352480393374e-10,1.759080353500897e-10,1.746961936929465e-10,1.7252155579400164e-10,2.2594898383828827e-10,2.253248870088309e-10,1.703127141753036e-10,1.6989076545393495e-10,1.9635184670658731e-10,1.9606226915983296e-10,2.506376297272914e-10,2.634524888485803e-10,3.5681473573051647e-10,3.667676011584652e-10,4.161848242198796e-09,4.1453733270618556e-09,4.307024110674834e-09,4.269309812921225e-09,4.5410332602477435e-09,4.896406203655408e-09,4.809667217714002e-09,7.696392720034526e-09,7.875808345210351e-09,7.80435768185754e-09,8.17589417915007e-09,8.740014167972811e-09,9.64421607553707e-09,9.513722788763652e-09,1.3177637313768392e-08,1.3439761256961693e-08,1.333538024928262e-08,1.3874367771981777e-08,1.4593412032265097e-08,1.5794257685815894e-08,1.554985191256314e-08,1.7121672538238263e-08,1.5674828160312186e-08,1.5839119396694823e-08,1.6370882166255594e-08,1.745094991075471e-08,1.721636424148439e-08,1.8669248096385434e-08,3.034303514395235e-08,3.108298689846311e-08,3.262707860776715e-08,3.45045314797732e-08,3.728345964297543e-08,4.036770982539494e-08,4.194303046124212e-08,4.375967841774208e-08,4.68666025038216e-08,3.617507401018717e-08,3.7703120302715125e-08,4.055587676180623e-08,5.630122580656962e-08,LC_V24_H3p5_T8,5.630122580656962e-08
6,submerged,5.049048751120896e-10,1.9780636693038042e-11,2.0097179731655175e-11,2.351243152930861e-11,2.3872514944924455e-11,3.156164917338197e-11,4.080241026831036e-11,4.081330729634974e-11,4.937992403922222e-11,4.8791863353732825e-11,4.903672595401409e-11,6.611378474248344e-11,6.632447765662325e-11,8.401501655225251e-11,8.3796437326283e-11,9.895772534386569e-11,9.785721243880089e-11,9.621694975937922e-11,1.2426242089018962e-10,1.234827698946263e-10,9.611734401123332e-11,9.575174463093565e-11,1.0957064802370837e-10,1.0900918904298975e-10,1.3700816076791568e-10,1.424744019205396e-10,1.9046137518747938e-10,1.9464339739872122e-10,2.096025470726314e-09,2.0880528004648644e-09,2.1719178776201093e-09,2.1521154293579357e-09,2.2886987571006617e-09,2.4585463029038742e-09,2.4112227663219637e-09,4.077924231913909e-09,4.169374229084855e-09,4.131691617555632e-09,4.324013673411045e-09,4.598362712512423e-09,5.057618627599222e-09,4.993268890348264e-09,7.122219897643963e-09,7.264194996720249e-09,7.195179865161987e-09,7.478605669153651e-09,7.828835540300098e-09,8.439730357031183e-09,8.278041704146765e-09,9.077879106575611e-09,8.492729857742051e-09,8.565065511781827e-09,8.835570506388588e-09,9.380872874700109e-09,9.260553539888778e-09,9.979087251123477e-09,1.621502565583448e-08,1.6556818838239338e-08,1.733858127541754e-08,1.8247913542618373e-08,1.9657608291985393e-08,2.1826787162053095e-08,2.2620098116145007e-08,2.34465813791055e-08,2.499778263964695e-08,1.959987466768419e-08,2.034067580653344e-08,2.1744534928117735e-08,3.0943385368285295e-08,LC_V24_H3p5_T8,3.0943385368285295e-08
7,submerged,2.746924057501455e-10,1.7563710948631317e-11,1.7828821362590773e-11,1.936068998434741e-11,1.9511069215621114e-11,2.2865165150913854e-11,3.167369368472334e-11,3.161501532269328e-11,3.629345079173278e-11,3.5325881516415057e-11,3.502011113238868e-11,4.318041769896892e-11,4.2514348473385894e-11,5.019819399583925e-11,4.999246508043935e-11,5.744670964689926e-11,5.6425040786305436e-11,5.47460757097478e-11,6.713927857638516e-11,6.598549239327663e-11,5.807283294209394e-11,5.775073544090823e-11,6.470328694894079e-11,6.358260963902059e-11,7.577015535655046e-11,7.501086298140815e-11,9.633765878930765e-11,9.539176731993066e-11,8.561651173055117e-10,8.531645288080305e-10,8.887925010776714e-10,8.802522371252679e-10,9.353356814390415e-10,9.948580827797408e-10,9.674314560685044e-10,2.0110305751983476e-09,2.049082910265498e-09,2.0251373128313864e-09,2.106276279242325e-09,2.2035482347907e-09,2.3890530585578384e-09,2.338239591082087e-09,3.715566548973509e-09,3.787632766081436e-09,3.742284722615237e-09,3.8590699465475516e-09,3.972377740701989e-09,4.2193829897795715e-09,4.127670939812218e-09,4.437271216365752e-09,4.495716195050582e-09,4.500525058774013e-09,4.584978405537486e-09,4.787662255711983e-09,4.72745445977518e-09,5.004744333371858e-09,8.263689274607748e-09,8.365463994926517e-09,8.654083296770468e-09,8.929113414369259e-09,9.468403085820948e-09,1.1615092223356942e-08,1.189307445268427e-08,1.2102515147358013e-08,1.2656915688442098e-08,1.0485855926310748e-08,1.0712889618284398e-08,1.1255374626038217e-08,1.7170306866217346e-08,LC_V24_H3p5_T8,1.7170306866217346e-08
8,submerged,5.499403008876218e-11,9.292178377117344e-12,9.419949530899438e-12,9.660409268515313e-12,9.736606442671693e-12,1.030112111693064e-11,1.3553098441033455e-11,1.3514751732555779e-11,1.48529646373516e-11,1.4325592114851524e-11,1.4155672657077003e-11,1.600130326114337e-11,1.5566151884601606e-11,1.4743191562647092e-11,1.467700626988721e-11,1.6363446265481935e-11,1.5975905551065667e-11,1.5390042930875425e-11,1.7674741733862683e-11,1.7108359076786303e-11,2.03822078734247e-11,2.027577252323556e-11,2.2140529948944687e-11,2.1663245454585948e-11,2.423191335440621e-11,2.314308904957479e-11,2.7149405722382516e-11,2.6202025066644326e-11,1.7471629801861703e-10,1.7426246309373123e-10,1.8066864199841627e-10,1.7931832194433796e-10,1.8946049117604189e-10,1.9714165765028478e-10,1.909136229812692e-10,4.758275083387754e-10,4.835214974807404e-10,4.764800910917404e-10,4.906156916430241e-10,4.9927278445345e-10,5.262292195867247e-10,5.113487818446577e-10,8.640524571002648e-10,8.837878724020641e-10,8.745364024335606e-10,9.012713159436567e-10,9.1529409974269e-10,9.562228702907608e-10,9.272030391885422e-10,9.69838989664436e-10,9.394041142796757e-10,9.327870804489085e-10,9.286255095632118e-10,9.453824033610462e-10,9.27159520369913e-10,9.477717721581315e-10,1.6310451377033383e-09,1.625359113151553e-09,1.6508063044994633e-09,1.6518653580682262e-09,1.7067516544014397e-09,2.330933368133286e-09,2.354277932720819e-09,2.336438166955127e-09,2.373563196694699e-09,2.011185827202205e-09,2.004906241904177e-09,2.0545291866580582e-09,3.523817844893139e-09,LC_V24_H3p5_T8,3.523817844893139e-09
9,submerged,1.1949894802450115e-09,3.380819019034883e-11,3.366914113297565e-11,4.169902570281992e-11,4.165722029037758e-11,5.93575840225716e-11,5.62566860512408e-11,5.609993630848771e-11,7.184526623336472e-11,6.996487816080653e-11,6.974069339371135e-11,9.905362340045036e-11,9.851533736710179e-11,1.2783675673413738e-10,1.2748224303669383e-10,1.5442275405265043e-10,1.53388838104418e-10,1.5147444745169131e-10,2.0322496946697356e-10,2.01300359148016e-10,1.0463778200908813e-10,1.0498210701371046e-10,1.28872283325911e-10,1.2863022455355787e-10,1.7409512161853006e-10,1.7205683431969085e-10,2.5320024819876416e-10,2.4798184595223306e-10,4.083498863176169e-09,4.066013826251471e-09,4.199866447837211e-09,4.1592729039122875e-09,4.387970607194522e-09,4.674630709246937e-09,4.575472110571118e-09,6.754569612349789e-09,6.919207447711199e-09,6.856885712061364e-09,7.195549395478828e-09,7.68150199972139e-09,8.482006957434922e-09,8.328802765677806e-09,9.56885862437612e-09,9.785954113815707e-09,9.725303124288597e-09,1.0159495293394484e-08,1.0738115144982529e-08,1.1709576309736701e-08,1.1587232979547344e-08,1.2911936655375694e-08,1.0551283020916776e-08,1.0869828001356479e-08,1.137819916814609e-08,1.2413302295441722e-08,1.2088954003087283e-08,1.340291133305762e-08,2.4067778297740557e-08,2.4435221854841057e-08,2.5773173202239473e-08,2.7065836880500794e-08,2.9501234138863557e-08,3.1044644260430765e-08,3.259634377213749e-08,3.360186954605549e-08,3.62450400682689e-08,2.22093002809387e-08,2.3482044991470037e-08,2.568979487441369e-08,3.4337852248941665e-08,LC_V20_H3p5_T8,3.62450400682689e-08
10,submerged,6.680342288041764e-10,2.1849462717331357e-11,2.171798566943764e-11,2.619887645182473e-11,2.608310900163542e-11,3.567227364422855e-11,3.3520592212091775e-11,3.3431979320822666e-11,4.213553836856273e-11,4.087136867526608e-11,4.0670953848635204e-11,5.6229461256512135e-11,5.576433410622933e-11,7.125962152938374e-11,7.084811213781705e-11,8.528758248993367e-11,8.426954316951222e-11,8.283569122790241e-11,1.09644982505047e-10,1.0829423050552203e-10,5.553307566112551e-11,5.5423368250867446e-11,6.845848658608492e-11,6.805485809474294e-11,9.135874400415067e-11,8.980733562681047e-11,1.3037950628082302e-10,1.2737652224898255e-10,2.1130235814908856e-09,2.103968209875645e-09,2.1751318392342947e-09,2.1512547955371235e-09,2.267196046705332e-09,2.406338011474742e-09,2.3495183367610507e-09,3.594371385540944e-09,3.6789670492320663e-09,3.647064853042977e-09,3.821488158964971e-09,4.0629028298003605e-09,4.466968720108318e-09,4.3787756938482896e-09,5.190982064499044e-09,5.318729993137184e-09,5.282538825570923e-09,5.509798970793628e-09,5.8058882944538276e-09,6.302036882464411e-09,6.225019486563571e-09,6.896187408477118e-09,5.6359377895691615e-09,5.791442135521751e-09,6.043443746075304e-09,6.57378520898783e-09,6.397225684243795e-09,7.05342166126345e-09,1.2792828379783367e-08,1.2954566893256354e-08,1.359974412893235e-08,1.417915728397608e-08,1.5390918325365504e-08,1.6540924936612748e-08,1.7323139580704577e-08,1.777459175959105e-08,1.906280614314618e-08,1.1611464316973501e-08,1.2208166131464319e-08,1.3294214980589738e-08,1.8068906896061578e-08,LC_V20_H3p5_T8,1.906280614314618e-08
