member_id,zone,LC_V26_H3p5_T8,LC_V2_H0p5_T5,LC_V2_H0p5_T6,LC_V2_H1p0_T7,LC_V2_H1p0_T8,LC_V2_H1p5_T8,LC_V4_H0p5_T5,LC_V4_H0p5_T6,LC_V4_H1p0_T5,LC_V4_H1p0_T7,LC_V4_H1p0_T8,LC_V4_H1p5_T7,LC_V4_H1p5_T8,LC_V6_H0p5_T5,LC_V6_H0p5_T6,LC_V6_H1p0_T5,LC_V6_H1p0_T6,LC_V6_H1p0_T8,LC_V6_H1p5_T7,LC_V6_H1p5_T8,LC_V8_H0p5_T5,LC_V8_H0p5_T6,LC_V8_H1p0_T5,LC_V8_H1p0_T6,LC_V8_H1p5_T6,LC_V8_H1p5_T8,LC_V8_H2p0_T7,LC_V8_H2p0_T8,LC_V10_H0p5_T5,LC_V10_H0p5_T6,LC_V10_H1p0_T5,LC_V10_H1p0_T6,LC_V10_H1p5_T6,LC_V10_H2p0_T7,LC_V10_H2p0_T8,LC_V12_H0p5_T5,LC_V12_H1p0_T5,LC_V12_H1p0_T6,LC_V12_H1p5_T6,LC_V12_H2p0_T7,LC_V12_H2p5_T7,LC_V12_H2p5_T8,LC_V14_H0p5_T5,LC_V14_H1p0_T5,LC_V14_H1p0_T6,LC_V14_H1p5_T6,LC_V14_H2p0_T7,LC_V14_H2p5_T7,LC_V14_H2p5_T8,LC_V14_H3p0_T8,LC_V16_H1p0_T5,LC_V16_H1p5_T6,LC_V16_H2p0_T7,LC_V16_H2p5_T7,LC_V16_H2p5_T8,LC_V16_H3p0_T8,LC_V18_H1p5_T6,LC_V18_H2p0_T7,LC_V18_H2p5_T7,LC_V18_H3p0_T8,LC_V18_H3p5_T8,LC_V20_H2p0_T7,LC_V20_H2p5_T7,LC_V20_H3p0_T8,LC_V20_H3p5_T8,LC_V22_H2p5_T7,LC_V22_H3p0_T8,LC_V22_H3p5_T8,LC_V24_H3p5_T8,worst_bin,worst_bin_contribution
1,submerged,1.4348814902471537e-05,6.702957532436171e-07,1.170448520368686e-06,8.200222860452432e-07,1.6674540380684053e-07,2.446163982307857e-07,1.602256104764731e-06,1.26002049645866e-06,2.9545964484140913e-07,2.5277445286252553e-06,2.8019960505058807e-07,7.340513308734273e-07,5.108256012299134e-07,6.656180928760998e-06,2.922803529138373e-06,2.0641334367547716e-06,1.0107301789073485e-05,5.584350049407604e-07,4.286409435938179e-06,1.2021893901637151e-06,4.643912424692099e-06,1.1198840276238572e-06,3.3660744099587643e-06,7.602214355270228e-06,6.4092248200581245e-06,7.569366491887181e-07,1.7302564514696506e-06,1.0781505481592715e-06,0.00013971561464253118,1.72357143170264e-05,0.00015230786859904918,0.00018855221947553503,0.00030987201797009556,9.107135968726924e-05,2.727877085643931e-05,0.00011445309107512196,0.00019453340955112984,0.00017633660263619846,0.0004985710041385567,0.0002280398556428015,5.0324970607207936e-05,5.717499918805637e-05,7.479296771969505e-05,0.00013682630389958109,0.00011606843062211606,0.0005352462537046174,0.00039052967596283494,0.00012975470753819805,8.35192151412703e-05,6.542876256874753e-05,4.94267135588834e-05,0.00023420249254932563,0.0005407071160844799,0.00021264495172988442,8.583361822880232e-05,0.00010762923291241758,0.00016501904877894546,0.0008183418596281798,0.0004291608495022731,0.00022529274012099654,0.00012535518041736988,0.00018837171239804792,0.0007926092241252914,0.00028344750064028117,0.00020561216387725084,0.00012372356591763486,0.0001361205159441004,0.0004038089878475338,0.00048074024683457877,LC_V18_H2p0_T7,0.0008183418596281798
2,submerged,8.024686387896475e-06,4.3539386414563543e-07,7.593846598287051e-07,5.173670973131413e-07,1.0494998056045116e-07,1.4779183168774972e-07,9.753433776145382e-07,7.658652813938195e-07,1.7625724911287626e-07,1.4996336557883084e-06,1.6584801761855221e-07,4.198685316478376e-07,2.904636303687092e-07,3.6975131963995973e-06,1.620688182450515e-06,1.1424431186977089e-06,5.560951553373289e-06,3.058385718598631e-07,2.321618643959179e-06,6.495336080838473e-07,2.464018146799757e-06,5.94374149843135e-07,1.785086347667445e-06,4.017745743704525e-06,3.357343398577969e-06,3.921559684760614e-07,8.887605724829655e-07,5.513112550415568e-07,7.093738143845823e-05,8.745516185806235e-06,7.726806672077798e-05,9.557756014554984e-05,0.00015694120497260517,4.599022411893164e-05,1.372239658644584e-05,5.9998788719004506e-05,0.00010184767592525525,9.233243520369879e-05,0.00026048634701875844,0.00011883292627096969,2.6168065026891272e-05,2.9682562612581985e-05,3.973013414583031e-05,7.27340194892021e-05,6.16925578221468e-05,0.00028455795169845177,0.00020701254930683064,6.860885868207388e-05,4.404638465257945e-05,3.44003370265477e-05,2.604867339706997e-05,0.00012326411380237195,0.0002836581388033071,0.00011128670015738119,4.485069106591218e-05,5.6111423160539295e-05,8.615445532658944e-05,0.0004257500629838578,0.00022292218692356006,0.00011640135934051298,6.455495605163309e-05,9.897442408882167e-05,0.00041583015387409577,0.00014771311678647456,0.00010688267932420275,6.377542141971108e-05,6.996525173593399e-05,0.00020700722890326794,0.000250812603413025,LC_V18_H2p0_T7,0.0004257500629838578
3,submerged,4.619978924859567e-06,3.828437069334069e-07,6.664296164058964e-07,4.216060898472575e-07,8.493580390048843e-08,1.0640572196318568e-07,7.269621204501616e-07,5.686034018839775e-07,1.2470541625987662e-07,1.0399751287795896e-06,1.1408050173187486e-07,2.626514209772474e-07,1.785224153276489e-07,2.1288243118133846e-06,9.273677956150307e-07,6.472359806121218e-07,3.1020653960915234e-06,1.6774918556317276e-07,1.2198917742391773e-06,3.366331514750364e-07,1.265403029612706e-06,3.042125521056779e-07,8.943968140667479e-07,1.9959082253801318e-06,1.600074869678949e-06,1.807665919377969e-07,3.8996522873673866e-07,2.3738339299962e-07,2.9670471561785208e-05,3.6530420502479014e-06,3.238442551922702e-05,3.984905590731587e-05,6.512377932574503e-05,1.8859669108488756e-05,5.59058249937734e-06,2.8267899430238542e-05,4.793045260037417e-05,4.3423152352655354e-05,0.00012191588548447414,5.502894084447351e-05,1.1937762931624224e-05,1.3508936209437747e-05,1.9815202444303447e-05,3.632939746950302e-05,3.07808090626324e-05,0.00014195976117877926,0.0001023974370878604,3.366339293779887e-05,2.142923221685078e-05,1.653207986735844e-05,1.2662509016875035e-05,5.974170463142108e-05,0.0001355532351682686,5.253696110261829e-05,2.1039462986958813e-05,2.5910391406191167e-05,4.069473926830085e-05,0.00019866041252456716,0.00010308318972615967,5.281232195461882e-05,2.891545662863943e-05,4.786092440320789e-05,0.00019977058976733707,6.952414315714465e-05,4.9508387149539e-05,2.9101767936660386e-05,3.12421700927035e-05,9.113849524603343e-05,0.00011867907096831207,LC_V20_H2p5_T7,0.00019977058976733707
4,submerged,9.869225230285252e-07,1.9568098978290724e-07,3.425700163677352e-07,2.0192722133087006e-07,4.0785941156479864e-08,4.541530165389877e-08,3.2242852835973586e-07,2.51877062818747e-07,5.233729587742383e-08,4.324787281941499e-07,4.71856431573433e-08,9.86121211620941e-08,6.618909650438881e-08,5.94796380137115e-07,2.582008275621116e-07,1.772127839428795e-07,8.390084811983413e-07,4.4209838727523035e-08,3.034521875243891e-07,8.178201768667403e-08,5.008580681480548e-07,1.2024589769403783e-07,3.321099217731077e-07,7.358606840585509e-07,5.355294772664216e-07,5.89959753580037e-08,1.1252944872444758e-07,6.734399898779948e-08,5.13889171127296e-06,6.329074740215355e-07,5.629807557620203e-06,6.9040050821243604e-06,1.130889332179664e-05,3.2384639605169846e-06,9.495458302169575e-07,6.571242042901871e-06,1.1097952083160089e-05,1.0066956804653099e-05,2.8004237267534682e-05,1.2408919714564961e-05,2.6192256213556907e-06,2.9554006211157192e-06,5.104409633320687e-06,9.405611489363533e-06,7.941079284416693e-06,3.658650290914697e-05,2.5999872261104982e-05,8.39134715731551e-06,5.319390682808224e-06,3.983020367325481e-06,2.7790078209031798e-06,1.3072813640779803e-05,2.924308866626743e-05,1.1088921715577168e-05,4.418269256155568e-06,5.274319058202782e-06,8.154814518270189e-06,3.977757699738884e-05,2.046390321609229e-05,1.0313887272322238e-05,5.529338971247854e-06,9.143218776166996e-06,3.7843547441641386e-05,1.2995631432412406e-05,9.115224913653403e-06,5.592015460857979e-06,5.846757407395616e-06,1.665686322559849e-05,2.278850651359829e-05,LC_V18_H2p0_T7,3.977757699738884e-05
5,submerged,1.0830499057751612e-05,6.236121697625161e-07,1.112738210488555e-06,7.492607303817605e-07,1.5537172261447197e-07,2.1926335029406286e-07,2.058152883073199e-06,1.6213300205685904e-06,3.644238812157128e-07,3.172795704278881e-06,3.533634061341431e-07,8.911645636600242e-07,6.226735044253009e-07,7.64063220822235e-06,3.3578309893385925e-06,2.3569620371978774e-06,1.156120490262143e-05,6.351760623978917e-07,4.8159961685417265e-06,1.3510354043112774e-06,7.0923124298146085e-06,1.7066947676646958e-06,4.895150499725962e-06,1.1085497941885366e-05,8.861960345741092e-06,1.0877389476231743e-06,2.2895773965388335e-06,1.4757239194155935e-06,0.00012488049326868543,1.5425626427342784e-05,0.0001370520052756574,0.0001702078531416668,0.00028183141872006857,8.421276148479937e-05,2.5296925698288568e-05,0.00011951704396124182,0.000203597001728682,0.00018461247898658188,0.0005221509717519062,0.0002409923698799324,5.326095481443951e-05,6.104681918333319e-05,9.218110461660999e-05,0.00016912048567477438,0.00014325842947151665,0.0006624180785184857,0.0004814489360039447,0.00015949723723068918,0.00010202803639634807,7.94719038884691e-05,6.760352747742194e-05,0.0003190674660110188,0.0007308101770059019,0.00028132107450160574,0.00011409449859928424,0.00014017018957826144,0.0001923086343099738,0.0009584254066369054,0.0005023747576944438,0.00026586824947453716,0.00014756230346449069,0.00022771106207597664,0.0009519043744051903,0.00034236062685135993,0.00024711583148542284,0.0001878880890231807,0.0002042524314904853,0.000595128453471745,0.0007247584169498417,LC_V18_H2p0_T7,0.0009584254066369054
6,submerged,5.941899811549735e-06,4.0470874096023415e-07,7.219523541084706e-07,4.733315570958637e-07,9.793670609137325e-08,1.3238631586887505e-07,1.2747498808603986e-06,1.0030066580086044e-06,2.2141014782638096e-07,1.9144276063348866e-06,2.1277869015787933e-07,5.19859433036191e-07,3.6104963047667277e-07,4.3271625940126906e-06,1.9017747257000876e-06,1.325917838026873e-06,6.476084339838772e-06,3.542438682681017e-07,2.648594973674152e-06,7.403957732530651e-07,4.002603310930539e-06,9.6190632327626e-07,2.7316514788376537e-06,6.16345585492297e-06,4.844288102665462e-06,5.88246316007897e-07,1.222135791702001e-06,7.831660059131102e-07,6.289337800307225e-05,7.769993175347437e-06,6.91116865782409e-05,8.580003864686256e-05,0.00014204415179759036,4.228427234064302e-05,1.2682067261747e-05,6.33259589817399e-05,0.00010778221801737347,9.773537592955096e-05,0.0002761518057801986,0.00012679273813041378,2.793110348040691e-05,3.2040368407924384e-05,4.982183693895209e-05,9.140967331136396e-05,7.729589617841122e-05,0.0003570586911615796,0.00025827986852518963,8.522804310881513e-05,5.431513721354508e-05,4.2135856427444034e-05,3.6628056807019675e-05,0.00017253697510689027,0.0003944274218179696,0.0001512259934484833,6.137057732198276e-05,7.49237754293279e-05,0.00010276788147200957,0.0005105196575699012,0.0002669704410780348,0.00014060590369072693,7.78018453208261e-05,0.00012312318206495572,0.0005133670626429832,0.00018343796363954565,0.00013180703341541581,0.00010179890704212487,0.00011019333302620459,0.0003190854809831192,0.0003983302081492241,LC_V20_H2p5_T7,0.0005133670626429832
7,submerged,3.2326777466717534e-06,3.593507860700887e-07,6.40465962168201e-07,3.8975235399700587e-07,8.004392732425504e-08,9.590864404562783e-08,9.89550298266775e-07,7.769542083775574e-07,1.627329013010286e-07,1.386068047921075e-06,1.51958215622327e-07,3.395320287695979e-07,2.3143476358369215e-07,2.585439559018504e-06,1.134587693689495e-06,7.697187540648727e-07,3.7341480909185222e-06,2.0155972186209264e-07,1.4310421002554401e-06,3.9564531720251264e-07,2.4183201876861635e-06,5.801544171187517e-07,1.6130855540937161e-06,3.5950052568169712e-06,2.6790554670142452e-06,3.0970380092555623e-07,6.181710112052558e-07,3.8381774263786903e-07,2.5690105920841294e-05,3.1747676901709922e-06,2.828189288394213e-05,3.5093691971191167e-05,5.805000029114204e-05,1.7110456721055822e-05,5.088302486337906e-06,3.122923146030731e-05,5.297070707380132e-05,4.79047264170294e-05,0.00013451668794699337,6.075943368523433e-05,1.3193736640130348e-05,1.500381004297152e-05,2.599138378190482e-05,4.7662029161832995e-05,4.0202365585034555e-05,0.0001842475088502953,0.00013105208243543854,4.26091522042457e-05,2.7083097848607832e-05,2.0596024766069625e-05,1.9389448497580197e-05,9.065978292465947e-05,0.00020467735617973014,7.718034244643752e-05,3.1329294540558255e-05,3.757601582975824e-05,5.237375863101592e-05,0.0002579441048324822,0.00013325106582627404,6.880162259932724e-05,3.747450968481336e-05,6.551981763967086e-05,0.0002699153940986243,9.468590314520326e-05,6.673673953931738e-05,5.4462015232148714e-05,5.803587966341849e-05,0.0001651645637888786,0.00022103114531923018,LC_V20_H2p5_T7,0.0002699153940986243
8,submerged,6.471892689652349e-07,1.90116520015994e-07,3.3839348755506863e-07,1.9447484857318474e-07,3.994431109178331e-08,4.320837185972019e-08,4.2342622676912984e-07,3.321315244231416e-07,6.659785651763885e-08,5.620877567830571e-07,6.142387012340882e-08,1.2581987967530296e-07,8.473724308807938e-08,7.59342670682835e-07,3.330972110941812e-07,2.1925105108877356e-07,1.057268127463814e-06,5.6661828859462666e-08,3.7672879525392643e-07,1.0258076295630236e-07,8.487738977547035e-07,2.0368708554173062e-07,5.519745704542853e-07,1.2248550622741076e-06,8.567837777664676e-07,9.555286206463769e-08,1.7420991749168054e-07,1.054263108459997e-07,5.242540383239987e-06,6.484597270031106e-07,5.748980976201965e-06,7.1490212574261745e-06,1.1758539512796217e-05,3.390618078628222e-06,1.0041292914322836e-06,7.389110626340085e-06,1.2499482318955788e-05,1.1271160855259764e-05,3.1333020527764404e-05,1.3766674656306332e-05,2.9061429635052544e-06,3.281177864647997e-06,6.0442785034748555e-06,1.1121226884643508e-05,9.394911070124291e-06,4.303031483256895e-05,3.0196322112849225e-05,9.656351632476068e-06,6.08370458838278e-06,4.501601744909477e-06,4.051529701161614e-06,1.8790312935500373e-05,4.145463672171246e-05,1.524020152991993e-05,6.144375148805369e-06,7.115945339333252e-06,1.0337267232548696e-05,5.011698116535581e-05,2.541825540659809e-05,1.2728141269638115e-05,6.755065328621084e-06,1.3148610985903784e-05,5.343074732745929e-05,1.8279486147089313e-05,1.2515202971808778e-05,1.0445807564543309e-05,1.0861355016016786e-05,3.0148744771309356e-05,4.5361652544807396e-05,LC_V20_H2p5_T7,5.343074732745929e-05
9,submerged,1.4063060424788781e-05,6.917102972168673e-07,1.2094988464214813e-06,8.394480486075266e-07,1.7089824635463053e-07,2.489772262677813e-07,1.7575727357733305e-06,1.3786829188504496e-06,3.2214045134455685e-07,2.7451850578823516e-06,3.0261672455319046e-07,7.78868744267328e-07,5.362865628105688e-07,6.5841852395020245e-06,2.893231687628055e-06,2.069084384106028e-06,1.0151107185638716e-05,5.576865026718409e-07,4.331644505227922e-06,1.2069856806313917e-06,4.357418913583961e-06,1.054633029994185e-06,3.2128509749457576e-06,7.27284293741535e-06,6.155596291941757e-06,7.103858487434592e-07,1.6247130710199882e-06,9.977782674823292e-07,0.00012252954039144366,1.5130316471790708e-05,0.0001336421862927198,0.00016582092718186135,0.0002723318484260836,8.039846870822147e-05,2.4065153112759854e-05,0.00010489150211852189,0.00017886797506309066,0.0001621999812199829,0.00045954155310859093,0.00021180553435872374,4.684256198299095e-05,5.344352865215796e-05,6.69367305316223e-05,0.00012314246368493254,0.00010447633480829821,0.00048505513631823683,0.00035425944938781054,0.00011824836011268702,7.602790269758593e-05,5.993200644378185e-05,4.550633310498738e-05,0.00021896472837322928,0.0005079325392263303,0.0002001107995682677,8.011465871804373e-05,0.00010063011711859193,0.00015253719851542944,0.0007534455269370203,0.000396841893144845,0.00020855077183703908,0.00011676143003526699,0.0001751203857461934,0.0007397796936724768,0.0002628894346833448,0.00019111099877492478,0.00011535188531065488,0.0001272113487522499,0.00037697934588889077,0.00044202674241768596,LC_V18_H2p0_T7,0.0007534455269370203
10,submerged,7.861663956718772e-06,4.470365986804156e-07,7.801766760262338e-07,5.274126995179815e-07,1.070056416819013e-07,1.4962845764119964e-07,1.0472511463843843e-06,8.216069725912702e-07,1.889277061568069e-07,1.6036541981058436e-06,1.7647818281138241e-07,4.4213798926500307e-07,3.035635248734031e-07,3.6702006545898086e-06,1.6079102325392702e-06,1.1427539041811803e-06,5.576867103043066e-06,3.0497782110759283e-07,2.337031159308317e-06,6.493261416342018e-07,2.312557372386397e-06,5.567740680158212e-07,1.7067045736683366e-06,3.847869315077432e-06,3.230231499884542e-06,3.7079527003327633e-07,8.366077425062324e-07,5.125114106618727e-07,6.340342362063998e-05,7.829217071638324e-06,6.921395670090201e-05,8.576572709736146e-05,0.00014070962306156608,4.1386347574848846e-05,1.2357526644028423e-05,5.5816881820552365e-05,9.51047343778729e-05,8.627150509903912e-05,0.0002440581680754331,0.00011202826022106723,2.4669192114295792e-05,2.8097342540024644e-05,3.63123107243641e-05,6.692873351053112e-05,5.6748904165242e-05,0.00026305994674775143,0.00019154113758608742,6.364069091905886e-05,4.084453783318337e-05,3.2009322786625165e-05,2.430707828637473e-05,0.00011666436248444247,0.00026978449596920447,0.00010597384830011469,4.239502874314932e-05,5.2957647053077224e-05,8.107861797630186e-05,0.00039944636218625817,0.00020940177463060915,0.00010925485912842286,6.0914930703129534e-05,9.330605083436252e-05,0.00039315166701037744,0.00013906227369288332,0.00010051339202846788,6.0308262000034406e-05,6.613637270260124e-05,0.0001950830861822283,0.00023259870758401112,LC_V18_H2p0_T7,0.00039944636218625817
