point_id,member_id,end,D,t,z,zone,propset,environment,category,not_assessable,not_assessable_reason,sn_curve,D_life,D_life_seed_std,D_life_min,D_life_max,life_years,worst_theta_deg,n_bins_used
0,1,1,1.2,0.05,-45.5,submerged,2,seawater_cp,B1,False,,B1,0.009464817144417555,0.0008957752479234297,0.004344813420992602,0.016321987207708437,2641.3611186081134,90.0,69
1,1,2,1.2,0.05,-45.0,submerged,2,seawater_cp,B1,False,,B1,0.004879377658275217,0.00046011958881559995,0.0022222601130102177,0.00842219437306011,5123.60422801073,90.0,69
2,2,1,1.2,0.05,-45.0,submerged,2,seawater_cp,B1,False,,B1,0.00493690982035006,0.0004660495885113236,0.002247959645475806,0.008528745488226568,5063.896427062411,225.0,69
3,2,2,1.2,0.05,-44.001,submerged,2,seawater_cp,B1,False,,B1,0.0018974376077645718,0.00017600316411449718,0.0008260764640202119,0.003256169094189278,13175.663799271508,202.5,69
4,3,1,1.2,0.05,-44.001,submerged,2,seawater_cp,B1,False,,B1,0.0023131828797953572,0.00021778758969793604,0.0010092154298995439,0.004006395227632974,10807.619327621733,202.5,69
5,3,2,1.2,0.05,-43.127,submerged,2,seawater_cp,B1,False,,B1,0.0008722726556574406,7.438086755157979e-05,0.00038165622683769426,0.0014104046998330126,28660.763166027773,180.0,69
6,4,1,1.2,0.05,-43.127,submerged,2,seawater_cp,B1,False,,B1,0.00045052853037062194,3.5563483217044853e-05,0.00020040497829549984,0.0006909152841189485,55490.38144029202,180.0,69
7,4,2,1.2,0.05,-24.614,submerged,2,seawater_cp,B1,False,,B1,0.0004868507092783306,3.713947805794679e-05,0.00022995309044412192,0.0007493427484147834,51350.443829193646,270.0,69
8,5,1,1.2,0.05,-45.5,submerged,2,seawater_cp,B1,False,,B1,0.011407222649856205,0.0009408920432122984,0.005954486906694021,0.01861271481087374,2191.593937224951,270.0,69
9,5,2,1.2,0.05,-45.0,submerged,2,seawater_cp,B1,False,,B1,0.006024207785915107,0.0004978863325236976,0.0031348939175102576,0.009831059393527445,4149.923257702237,270.0,69
10,6,1,1.2,0.05,-45.0,submerged,2,seawater_cp,B1,False,,B1,0.006093162984252561,0.0005034057763550065,0.003170590669842186,0.009940941082810309,4102.95934387626,135.0,69
11,6,2,1.2,0.05,-44.001,submerged,2,seawater_cp,B1,False,,B1,0.0025571161422012017,0.00021901737669001025,0.0013040585693839062,0.004203517891278099,9776.638451188865,157.5,69
12,7,1,1.2,0.05,-44.001,submerged,2,seawater_cp,B1,False,,B1,0.003085005840842337,0.00026287017540754435,0.001578950804519883,0.0050676508407411225,8103.712371959056,157.5,69
13,7,2,1.2,0.05,-43.127,submerged,2,seawater_cp,B1,False,,B1,0.0011968284324721812,0.00010451411756468953,0.000603885344540448,0.0019773362198301845,20888.54118243142,180.0,69
14,8,1,1.2,0.05,-43.127,submerged,2,seawater_cp,B1,False,,B1,0.000622940186776458,5.528867748041701e-05,0.0003107684099924458,0.0010320642914211698,40132.26394875572,180.0,69
15,8,2,1.2,0.05,-24.614,submerged,2,seawater_cp,B1,False,,B1,0.0006134677203461364,5.1116880380490734e-05,0.0003133660316656224,0.0010051368147440645,40751.94043770432,90.0,69
16,9,1,1.2,0.05,-45.5,submerged,2,seawater_cp,B1,False,,B1,0.008709680383705036,0.0008218797141146155,0.0038744194548594223,0.015019383410111794,2870.3693934363614,247.49999999999997,69
17,9,2,1.2,0.05,-45.0,submerged,2,seawater_cp,B1,False,,B1,0.004556751248324942,0.000430195737326514,0.002005959056853075,0.007876650459755287,5486.36487655322,247.49999999999997,69
18,10,1,1.2,0.05,-45.0,submerged,2,seawater_cp,B1,False,,B1,0.0046132559698072555,0.00043585172908319465,0.002031280535183391,0.00798043140194145,5419.166021486667,202.5,69
19,10,2,1.2,0.05,-44.001,submerged,2,seawater_cp,B1,False,,B1,0.0018601687504370794,0.0001726692267674565,0.0008011537677308791,0.0031946515645932603,13439.640889637465,202.5,69
20,11,1,1.2,0.05,-44.001,submerged,2,seawater_cp,B1,False,,B1,0.002257212497241147,0.00021239744028813857,0.0009701445653657919,0.003909255257864433,11075.607649060943,202.5,69
21,11,2,1.2,0.05,-43.127,submerged,2,seawater_cp,B1,False,,B1,0.0008615838327410905,7.396450509920675e-05,0.0003771998173041104,0.0013992528278537245,29016.329055831535,180.0,69
22,12,1,1.2,0.05,-43.127,submerged,2,seawater_cp,B1,False,,B1,0.00044385913275155476,3.5231920800659166e-05,0.0001975609990803514,0.0006828879505723579,56324.17619757184,180.0,69
23,12,2,1.2,0.05,-24.614,submerged,2,seawater_cp,B1,False,,B1,0.00047938851021537903,3.6676909002217525e-05,0.00022720969106603998,0.000739212248478003,52149.768856095514,270.0,69
24,13,1,1.2,0.05,-45.5,submerged,2,seawater_cp,B1,False,,B1,0.010671096693633792,0.000887723759729492,0.005443620454415648,0.017459414264361938,2342.777009500308,90.0,69
25,13,2,1.2,0.05,-45.0,submerged,2,seawater_cp,B1,False,,B1,0.005714903863859107,0.0004750059355286917,0.0029213063439881026,0.009352454572754717,4374.526780423955,90.0,69
26,14,1,1.2,0.05,-45.0,submerged,2,seawater_cp,B1,False,,B1,0.00578330312121391,0.00048044410159319345,0.002957102882607053,0.009462249622574793,4322.789152845325,135.0,69
27,14,2,1.2,0.05,-44.001,submerged,2,seawater_cp,B1,False,,B1,0.0025427045413516413,0.00021584527830946637,0.0012954896971329025,0.004171971148013949,9832.05071349367,157.5,69
28,15,1,1.2,0.05,-44.001,submerged,2,seawater_cp,B1,False,,B1,0.0030523272483024212,0.000258226440556494,0.0015588757474223538,0.005007941992281394,8190.471717573524,157.5,69
29,15,2,1.2,0.05,-43.127,submerged,2,seawater_cp,B1,False,,B1,0.001202876171459253,0.000103862422306465,0.0006077118720172349,0.0019810766697225066,20783.51919605456,180.0,69
30,16,1,1.2,0.05,-43.127,submerged,2,seawater_cp,B1,False,,B1,0.0006275901600886213,5.4962213081191844e-05,0.00031372192163099243,0.0010352644543400419,39834.91391335673,180.0,69
31,16,2,1.2,0.05,-24.614,submerged,2,seawater_cp,B1,False,,B1,0.0006166668248314534,5.091345180890999e-05,0.000316968104336073,0.0010104014762499572,40540.53014256599,90.0,69
32,17,1,1.2,0.035,-24.614,submerged,3,seawater_cp,B1,False,,B1,0.001046866770770192,7.510818124650607e-05,0.0005222661719441214,0.001561084219813538,23880.78473596713,270.0,69
33,17,2,1.2,0.035,-8.922,submerged,3,seawater_cp,B1,False,,B1,0.0010969549932542092,8.409812325221127e-05,0.0005162394233633543,0.0016660009811082566,22790.360729235937,180.0,69
34,18,1,1.2,0.035,-8.922,splash,3,free_corrosion,B1,False,,B1,0.05924100327835533,0.0029606057796269978,0.03653528344286345,0.08354098768071316,422.0050069465005,180.0,69
