member_id,zone,member_class,l0_loss_mm,l0_allowance_mm,l0_pass,l2_section_loss_frac,l2_section_ok,l2_D25,l2_fatigue_ok,l2_pass,l2_capacity_N_b_Rd_N,l2_capacity_N_c_Rd_N,l3_D25,l3_fatigue_ok,l3_loss_mm,l3_corrosion_limit_mm,l3_corrosion_ok,l3_pass,l3_note,in_structural_reuse_bay_A,reuse_level_A,reuse_category_A,in_structural_reuse_bay_B,reuse_level_B,reuse_category_B
1,submerged,leg,0.0,33.75999999999968,True,0.0,True,0.009465,True,True,41253638.38594691,35485717.018957436,,,,,,,,False,L2,L2 - Component reuse,False,L2,L2 - Component reuse
2,submerged,leg,0.0,33.619999999999656,True,0.0,True,0.004937,True,True,40680511.63596647,35485717.018957436,,,,,,,,False,L2,L2 - Component reuse,False,L2,L2 - Component reuse
3,submerged,leg,0.0,33.63999999999966,True,0.0,True,0.002313,True,True,40822254.77374295,35485717.018957436,,,,,,,,False,L2,L2 - Component reuse,False,L2,L2 - Component reuse
4,submerged,leg,0.0,27.359999999999506,True,0.0,True,0.000488,True,True,25286370.939080823,35485717.018957436,,,,,,,,False,L2,L2 - Component reuse,False,L2,L2 - Component reuse
5,submerged,leg,0.0,38.74000000000046,True,0.0,True,0.011407,True,True,41253638.38594691,35485717.018957436,,,,,,,,False,L2,L2 - Component reuse,False,L2,L2 - Component reuse
6,submerged,leg,0.0,38.64000000000044,True,0.0,True,0.006093,True,True,40680511.63596647,35485717.018957436,,,,,,,,False,L2,L2 - Component reuse,False,L2,L2 - Component reuse
7,submerged,leg,0.0,38.660000000000444,True,0.0,True,0.003085,True,True,40822254.77374295,35485717.018957436,,,,,,,,False,L2,L2 - Component reuse,False,L2,L2 - Component reuse
8,submerged,leg,0.0,35.23999999999991,True,0.0,True,0.00064,True,True,25286370.939080823,35485717.018957436,,,,,,,,False,L2,L2 - Component reuse,False,L2,L2 - Component reuse
9,submerged,leg,0.0,38.52000000000042,True,0.0,True,0.00871,True,True,41253638.38594691,35485717.018957436,,,,,,,,False,L2,L2 - Component reuse,False,L2,L2 - Component reuse
10,submerged,leg,0.0,38.42000000000041,True,0.0,True,0.004613,True,True,40680511.63596647,35485717.018957436,,,,,,,,False,L2,L2 - Component reuse,False,L2,L2 - Component reuse
11,submerged,leg,0.0,38.42000000000041,True,0.0,True,0.002257,True,True,40822254.77374295,35485717.018957436,,,,,,,,False,L2,L2 - Component reuse,False,L2,L2 - Component reuse
12,submerged,leg,0.0,35.09999999999989,True,0.0,True,0.000481,True,True,25286370.939080823,35485717.018957436,,,,,,,,False,L2,L2 - Component reuse,False,L2,L2 - Component reuse
13,submerged,leg,0.0,33.19999999999959,True,0.0,True,0.010671,True,True,41253638.38594691,35485717.018957436,,,,,,,,False,L2,L2 - Component reuse,False,L2,L2 - Component reuse
14,submerged,leg,0.0,33.039999999999566,True,0.0,True,0.005783,True,True,40680511.63596647,35485717.018957436,,,,,,,,False,L2,L2 - Component reuse,False,L2,L2 - Component reuse
